v_id,race,avg_income
0011B,white,54998
0011C,white,54060
0012,white,53659
0013A,white,52303
0013A1,white,54999
0013B,white,48419
0013C,white,50072
0014A,white,48419
0014B,white,41394
0014C,white,36458
0014D,white,44722
0015A,white,49475
0015B,white,36317
0015C,white,36318
0031,white,42097
0032,white,49735
0033,,38865
0034,black,41694
005DOUGL,white,47444
005NEW L,white,62392
005TAYLO,white,45212
005WARE,white,44123
005WARNO,white,61075
007A,black,41695
007E,,40460
007H,,40846
007M,black,41694
007N,,38714
0091714,white,48131
009318,white,47040
009319,,46448
009321E,white,41281
009321W,white,54154
009322,white,47945
009CTY1,white,47902
009CTY2,white,37982
009CTY3,white,46191
009CTY4,white,46572
009CTY5,white,50653
009CTY6,white,47675
009MERI,white,43225
009MONT,white,61847
0111,white,42414
01110,white,47583
01111,white,46539
01112,white,52411
01113,white,47583
0112,white,62392
0113,white,47582
0114,white,49846
0115,white,62392
0116,white,50653
0117,white,60654
0118,white,42414
0119,white,59344
0131,white,64469
01310,white,47654
01311,white,64999
01312,white,59246
01313,white,62604
01314,white,51426
01315,white,64079
01316,white,60337
0132,white,75333
0133,white,61516
0134,white,67569
0135,white,61577
0136,white,53221
0137,white,58688
0138,white,67949
0139,white,70006
0151,white,41797
01510,white,48755
01511,white,66292
01512,white,63492
01514,,46351
01515,white,82679
01516,white,55956
01517,white,54596
01518,white,44261
0152,white,50294
0153,white,54805
0154,white,53069
0155,white,57176
0156,white,62187
0157,white,65207
0158,white,52736
0159,white,67332
0171,white,52919
0172,white,50220
01911062,white,46571
0191144,white,54375
0191148,white,49017
0191157,white,45221
0191329,white,54596
0191642,white,47583
019518,white,59402
021EM1,black,39040
021EM2,black,43669
021EM3,black,41125
021EM4,white,32567
021EM5,black,44334
021EM6,black,44617
021GF1,,41388
021GF2,black,33783
021GF3,black,36501
021GF4,black,22532
021GF5,black,48061
021GF6,black,28197
021GF7,black,27614
021HA1,black,36953
021HA2,white,67055
021HA3,white,53313
021HA4,white,85543
021HA5,black,31133
021HA6,black,34167
