precinct_id,avg_income
01A,93010
01B,80133
01C,94351
01C1,38323
01C2,35273
01D,52186
01E,90859
01F,25301
01G,44080
01H,24520
01I,34484
01J,30446
01P,39369
01R,20942
01S,36760
01T,55153
02A,46308
02B,64200
02C,29521
02D,51450
02E,25416
02F1,42943
02F2,27628
02G,59441
02J,27572
02K,42969
02L1,45197
02L2,100913
02S,57334
02W,87920
03A,27796
03B,27415
03C,75652
03D,27405
03E,19676
03F,86889
03G,15402
03H,36098
03I,66180
03L,60795
03M,57388
03N,29810
03P1A,53726
03P2,21241
03S,36029
03T,44356
04A,30395
04B,44043
04C,88961
04D,35718
04F,49901
04G,36806
04I,53424
04J,25308
04K,35105
04L,36149
04M,21568
04S,46593
04T,35396
04V,24310
04W,39289
04X1,35838
04X2,36169
05A1,39534
05A2,74586
05B,60019
05C,34652
05D,52476
05F,29757
05J,43071
05K,30600
06B,67466
06D,71400
06E,72245
06F,58971
06G,27604
06H,59693
06I,69929
06J,45142
06L1,87794
06L2,87833
06N,109957
06Q,74949
06R,37724
06S,59267
07A,157369
07B,124361
07C,176281
07D,131842
07E,126136
07F,120806
07H,129106
07J,125919
07M,77279
07N,52526
08A,263684
08B,170859
08C,256524
08D,256072
08E,269155
08F1,226311
08G,118870
08H,227205
08J,138874
08K,139079
08L,87289
08M,135478
08N1,221734
08N2,222025
08P,67960
09A,100612
09B,58528
09C,40448
09D,26143
09E,42593
09F,93014
09G1,67922
09G2,67908
09H,67896
09I,40781
09K,31108
09L,40167
09M,118789
1,57671
1-1 C,57183
1-10C,116406
1-12C,115894
1-13C,36246
1-14C,66373
1-16C,73827
1-17C,86817
1-5 C,41591
1-6 C,63500
1-8 C,52723
1-9 C,43168
1-A,62455
1-B,62527
10,63542
100,66044
1006,55037
101,53914
1013,42127
102,49906
103,59248
1038,68157
1039,46575
104,66910
105,88248
1054,47627
1055,50529
1056,48960
1058,47775
106,70979
1063,54338
1064,47595
107,68837
108,62409
1083,55318
109,86443
10A,37753
10B,71655
10C,29276
10D,26217
10E,33581
10F,40471
10G,38277
10H,31326
10I,72204
10J,27530
10K,40364
10L,72630
10M,36327
10P,32068
10R,27577
11,57981
110,42648
11062,46599
111,48952
1111,54779
112,52703
1122,59989
113,47594
114,56650
1144,54478
1148,49025
115,55286
1152,54612
1157,45270
116,53564
1161,87684
1163,70142
117,54893
118,54980
119,65338
1199,61748
11B,65783
11C,70742
11E1,51457
11E2,51526
11E3,50087
11G,25729
11H,44826
11J,41645
11K,42016
11M,52646
11N,50389
11P,45829
11R,21546
12,59178
120,57778
1201,43761
1208,46708
121,67543
1214,65307
1216,55324
122,49912
1222,47587
123,36953
1230,42306
1235,62488
124,75394
1240,54547
125,64281
1253,36374
1258,67631
1259,67194
126,99122
1260,93401
1266,39019
127,58779
1270,49074
1271,79637
1272,72877
1273,56284
1274,49630
1275,60753
1276,59587
1277,62476
128,73124
129,111350
1291,44897
12A,48253
12B,67359
12C,41237
12D,24056
12E1,22410
