v_id,race,avg_income
063EW1,black,56862.2945303
063FP1,black,37380.0730443
063FP2,black,36140.1578396
063FP3,,35993.1132663
063FP4,,48873.5560823
063FP5,,37037.8752304
063FP6,,46613.8230662
063JB01,black,39933.0779979
063JB02,black,49034.3307719
063JB03,black,56598.5908975
063JB04,black,37524.6059607
063JB05,black,62825.0
063JB06,white,98786.0904393
063JB07,black,61414.1036329
063JB08,black,44427.2567272
063JB09,black,35822.5347114
063JB10,black,44499.2552632
063JB11,black,71803.0289449
063JB12,black,52807.9999916
063JB13,black,61686.8245944
063JB14,black,66969.206291
063JB15,black,35178.5895145
063JB16,black,40743.0448871
063JB17,black,43596.1683036
063JB18,black,52205.8454371
063LC1,,50361.1557331
063LJ1,black,50463.5165331
063LJ2,black,59069.9955964
063LJ3,black,66907.0979587
063LJ4,black,62823.9968421
063LJ5,black,48898.9998072
063MO1,,40974.4173442
063MO2,black,47053.9136763
063MO3,,50130.6568649
063MO4,black,47832.7742799
063MO5,black,64404.8017229
063MO6,black,58798.2297341
063MO7,black,46943.0012069
063MO8,black,54253.9085824
063MO9,black,44338.0001804
063OAK1,black,40769.3914333
063OAK2,black,46756.5878746
063OAK3,black,34426.8627647
063OAK4,black,50172.3189563
063PH1,black,71320.0
063PH2,black,71320.0
063RD01,black,59697.5995614
063RD02,black,48828.1436927
063RD03,black,48284.7791155
063RD04,black,49299.9556957
063RD05,black,50020.9999236
063RD06,black,36949.3305338
063RD07,black,39854.7245755
063RD08,black,62179.274513
063RD09,black,50495.8311885
063RD10,black,31847.5402106
063RD11,black,65591.2016586
063RD12,black,56430.6573469
067AC1A,white,86606.9200046
067AC1B,white,56038.6551555
067AC1C,white,79031.1637163
067AD01,white,96407.00754
067AU1A,black,59962.8220394
067BF02,white,88512.9901919
067BF03,white,77375.5927994
067BG01,white,69130.7263802
067BG02,white,101215.728602
067BK01,white,83133.409111
067BR01,,81757.9999983
067BR02,white,88901.4144031
067BT01,black,48001.3799581
067BT02,black,40853.856121
067BW01,white,92280.8493667
067CA01,,67115.7864348
067CH02,white,96504.704698
067CH03,white,101431.856003
067CK01,white,57427.9083144
067CL01,black,60280.8508902
067CL02,black,67228.7038238
067CO01,black,64283.2503091
067CR01,white,126045.486549
067DC01,white,132366.422976
067DI01,,48433.5654379
067DL01,white,116142.006679
067DO01,white,135135.423006
067DU01,white,122343.99999
067DV01,white,107699.0
067EA01,white,122972.150886
067EA02,white,103993.958473
067EL01,white,68561.6172113
067EL02,white,71124.8854385
067EL03,white,100849.673996
