,median_income,Geography
0,47045,"Census Tract 9501, Appling County, Georgia"
1,31964,"Census Tract 9502, Appling County, Georgia"
2,41856,"Census Tract 9503, Appling County, Georgia"
3,35625,"Census Tract 9504, Appling County, Georgia"
4,36542,"Census Tract 9505, Appling County, Georgia"
5,31667,"Census Tract 9601, Atkinson County, Georgia"
6,27891,"Census Tract 9602, Atkinson County, Georgia"
7,38250,"Census Tract 9603, Atkinson County, Georgia"
8,40893,"Census Tract 9701, Bacon County, Georgia"
9,39360,"Census Tract 9702.01, Bacon County, Georgia"
10,34320,"Census Tract 9702.02, Bacon County, Georgia"
11,38607,"Census Tract 9601, Baker County, Georgia"
12,48720,"Census Tract 9602, Baker County, Georgia"
13,35000,"Census Tract 9701, Baldwin County, Georgia"
14,34428,"Census Tract 9702, Baldwin County, Georgia"
15,56953,"Census Tract 9703, Baldwin County, Georgia"
16,28174,"Census Tract 9704, Baldwin County, Georgia"
17,19466,"Census Tract 9705, Baldwin County, Georgia"
18,26069,"Census Tract 9706, Baldwin County, Georgia"
19,20313,"Census Tract 9707.01, Baldwin County, Georgia"
20,26066,"Census Tract 9707.02, Baldwin County, Georgia"
21,36024,"Census Tract 9708, Baldwin County, Georgia"
22,42522,"Census Tract 9701, Banks County, Georgia"
23,38125,"Census Tract 9702, Banks County, Georgia"
24,50529,"Census Tract 9703, Banks County, Georgia"
25,48709,"Census Tract 9704, Banks County, Georgia"
26,66869,"Census Tract 1801.03, Barrow County, Georgia"
27,43587,"Census Tract 1801.04, Barrow County, Georgia"
28,50000,"Census Tract 1801.05, Barrow County, Georgia"
29,56583,"Census Tract 1801.06, Barrow County, Georgia"
30,40328,"Census Tract 1801.07, Barrow County, Georgia"
31,60556,"Census Tract 1801.08, Barrow County, Georgia"
32,37466,"Census Tract 1802.03, Barrow County, Georgia"
33,42703,"Census Tract 1802.04, Barrow County, Georgia"
34,35714,"Census Tract 1802.05, Barrow County, Georgia"
35,46000,"Census Tract 1802.06, Barrow County, Georgia"
36,64607,"Census Tract 1803.01, Barrow County, Georgia"
37,57692,"Census Tract 1803.02, Barrow County, Georgia"
38,54563,"Census Tract 1803.03, Barrow County, Georgia"
39,60066,"Census Tract 1804.01, Barrow County, Georgia"
40,49338,"Census Tract 1804.02, Barrow County, Georgia"
41,55648,"Census Tract 1805.01, Barrow County, Georgia"
42,59539,"Census Tract 1805.02, Barrow County, Georgia"
43,64267,"Census Tract 1805.03, Barrow County, Georgia"
44,82688,"Census Tract 9601.01, Bartow County, Georgia"
45,64975,"Census Tract 9601.02, Bartow County, Georgia"
46,45913,"Census Tract 9602, Bartow County, Georgia"
47,52120,"Census Tract 9603, Bartow County, Georgia"
48,41118,"Census Tract 9604.01, Bartow County, Georgia"
49,43059,"Census Tract 9604.02, Bartow County, Georgia"
50,40465,"Census Tract 9605, Bartow County, Georgia"
51,45934,"Census Tract 9606, Bartow County, Georgia"
52,43631,"Census Tract 9607, Bartow County, Georgia"
53,47332,"Census Tract 9608.01, Bartow County, Georgia"
54,24871,"Census Tract 9608.02, Bartow County, Georgia"
55,46802,"Census Tract 9608.03, Bartow County, Georgia"
56,56436,"Census Tract 9609.01, Bartow County, Georgia"
57,56024,"Census Tract 9609.02, Bartow County, Georgia"
58,68944,"Census Tract 9610, Bartow County, Georgia"
59,39394,"Census Tract 9601, Ben Hill County, Georgia"
60,33438,"Census Tract 9602, Ben Hill County, Georgia"
61,24473,"Census Tract 9603, Ben Hill County, Georgia"
62,22365,"Census Tract 9604, Ben Hill County, Georgia"
63,37783,"Census Tract 9605, Ben Hill County, Georgia"
64,31843,"Census Tract 9701, Berrien County, Georgia"
65,30286,"Census Tract 9702, Berrien County, Georgia"
66,31389,"Census Tract 9703, Berrien County, Georgia"
67,28295,"Census Tract 9704, Berrien County, Georgia"
68,31531,"Census Tract 9705, Berrien County, Georgia"
69,40814,"Census Tract 9706, Berrien County, Georgia"
70,14398,"Census Tract 101, Bibb County, Georgia"
71,23788,"Census Tract 102, Bibb County, Georgia"
72,23973,"Census Tract 103, Bibb County, Georgia"
73,16178,"Census Tract 104, Bibb County, Georgia"
74,8845,"Census Tract 105, Bibb County, Georgia"
75,32639,"Census Tract 108, Bibb County, Georgia"
76,25419,"Census Tract 110, Bibb County, Georgia"
77,13384,"Census Tract 111, Bibb County, Georgia"
78,16063,"Census Tract 115, Bibb County, Georgia"
79,36092,"Census Tract 117.01, Bibb County, Georgia"
80,35819,"Census Tract 117.02, Bibb County, Georgia"
81,47440,"Census Tract 118, Bibb County, Georgia"
82,27813,"Census Tract 119, Bibb County, Georgia"
83,57500,"Census Tract 120, Bibb County, Georgia"
84,70313,"Census Tract 121.01, Bibb County, Georgia"
85,40770,"Census Tract 121.02, Bibb County, Georgia"
86,21795,"Census Tract 122, Bibb County, Georgia"
87,18176,"Census Tract 123, Bibb County, Georgia"
88,21740,"Census Tract 124, Bibb County, Georgia"
89,17754,"Census Tract 125, Bibb County, Georgia"
90,21781,"Census Tract 126, Bibb County, Georgia"
91,14315,"Census Tract 127, Bibb County, Georgia"
92,12708,"Census Tract 128, Bibb County, Georgia"
93,17034,"Census Tract 129, Bibb County, Georgia"
94,22856,"Census Tract 131.01, Bibb County, Georgia"
95,35881,"Census Tract 131.02, Bibb County, Georgia"
96,30024,"Census Tract 132.01, Bibb County, Georgia"
97,26875,"Census Tract 132.02, Bibb County, Georgia"
98,36920,"Census Tract 133.02, Bibb County, Georgia"
99,39383,"Census Tract 134.07, Bibb County, Georgia"
100,103796,"Census Tract 134.08, Bibb County, Georgia"
101,56307,"Census Tract 134.09, Bibb County, Georgia"
102,85373,"Census Tract 134.10, Bibb County, Georgia"
103,61917,"Census Tract 134.11, Bibb County, Georgia"
104,29196,"Census Tract 135.02, Bibb County, Georgia"
105,44000,"Census Tract 135.03, Bibb County, Georgia"
106,65728,"Census Tract 135.04, Bibb County, Georgia"
107,57560,"Census Tract 136.03, Bibb County, Georgia"
108,64206,"Census Tract 136.04, Bibb County, Georgia"
109,56944,"Census Tract 136.05, Bibb County, Georgia"
110,63468,"Census Tract 136.06, Bibb County, Georgia"
111,18396,"Census Tract 137, Bibb County, Georgia"
112,19236,"Census Tract 138, Bibb County, Georgia"
113,26302,"Census Tract 139, Bibb County, Georgia"
114,37986,"Census Tract 7901, Bleckley County, Georgia"
115,27458,"Census Tract 7902, Bleckley County, Georgia"
116,39063,"Census Tract 7903, Bleckley County, Georgia"
117,45216,"Census Tract 9601, Brantley County, Georgia"
118,31263,"Census Tract 9602, Brantley County, Georgia"
119,32857,"Census Tract 9603, Brantley County, Georgia"
120,37358,"Census Tract 9602, Brooks County, Georgia"
121,29079,"Census Tract 9603, Brooks County, Georgia"
122,30941,"Census Tract 9604, Brooks County, Georgia"
123,22423,"Census Tract 9605, Brooks County, Georgia"
124,35605,"Census Tract 9606, Brooks County, Georgia"
125,45475,"Census Tract 9201.01, Bryan County, Georgia"
126,43534,"Census Tract 9201.02, Bryan County, Georgia"
127,55781,"Census Tract 9203.01, Bryan County, Georgia"
128,47331,"Census Tract 9203.03, Bryan County, Georgia"
129,92500,"Census Tract 9203.05, Bryan County, Georgia"
130,100000,"Census Tract 9203.06, Bryan County, Georgia"
131,-,"Census Tract 9800, Bryan County, Georgia"
132,37075,"Census Tract 1101, Bulloch County, Georgia"
133,40729,"Census Tract 1102, Bulloch County, Georgia"
134,51229,"Census Tract 1103, Bulloch County, Georgia"
135,22445,"Census Tract 1104.01, Bulloch County, Georgia"
136,18103,"Census Tract 1104.03, Bulloch County, Georgia"
137,6522,"Census Tract 1104.04, Bulloch County, Georgia"
138,27238,"Census Tract 1105, Bulloch County, Georgia"
139,44038,"Census Tract 1106.01, Bulloch County, Georgia"
140,30000,"Census Tract 1106.02, Bulloch County, Georgia"
141,47366,"Census Tract 1107, Bulloch County, Georgia"
142,38458,"Census Tract 1108, Bulloch County, Georgia"
143,40959,"Census Tract 1109, Bulloch County, Georgia"
144,31959,"Census Tract 9501, Burke County, Georgia"
145,31250,"Census Tract 9502, Burke County, Georgia"
146,24155,"Census Tract 9504, Burke County, Georgia"
147,37308,"Census Tract 9505, Burke County, Georgia"
148,42150,"Census Tract 9507, Burke County, Georgia"
149,38603,"Census Tract 9509, Burke County, Georgia"
150,54098,"Census Tract 1501, Butts County, Georgia"
151,40080,"Census Tract 1502, Butts County, Georgia"
152,50000,"Census Tract 1503, Butts County, Georgia"
153,34160,"Census Tract 9501, Calhoun County, Georgia"
154,21438,"Census Tract 9502, Calhoun County, Georgia"
155,48391,"Census Tract 101, Camden County, Georgia"
156,53304,"Census Tract 102, Camden County, Georgia"
157,48107,"Census Tract 103.01, Camden County, Georgia"
158,50394,"Census Tract 103.02, Camden County, Georgia"
159,57021,"Census Tract 104.01, Camden County, Georgia"
160,74048,"Census Tract 104.02, Camden County, Georgia"
161,76865,"Census Tract 104.03, Camden County, Georgia"
162,42865,"Census Tract 105, Camden County, Georgia"
163,37850,"Census Tract 106.01, Camden County, Georgia"
164,56534,"Census Tract 106.02, Camden County, Georgia"
165,-,"Census Tract 9900, Camden County, Georgia"
166,25299,"Census Tract 9501, Candler County, Georgia"
167,37292,"Census Tract 9502, Candler County, Georgia"
168,34095,"Census Tract 9503, Candler County, Georgia"
169,42063,"Census Tract 9101.01, Carroll County, Georgia"
170,52135,"Census Tract 9101.03, Carroll County, Georgia"
171,56474,"Census Tract 9101.04, Carroll County, Georgia"
172,43429,"Census Tract 9102, Carroll County, Georgia"
173,42236,"Census Tract 9103, Carroll County, Georgia"
174,39352,"Census Tract 9104, Carroll County, Georgia"
175,33324,"Census Tract 9105.01, Carroll County, Georgia"
176,25474,"Census Tract 9105.02, Carroll County, Georgia"
177,46058,"Census Tract 9106, Carroll County, Georgia"
178,43644,"Census Tract 9107.01, Carroll County, Georgia"
179,60625,"Census Tract 9107.02, Carroll County, Georgia"
180,43611,"Census Tract 9107.03, Carroll County, Georgia"
181,51042,"Census Tract 9108, Carroll County, Georgia"
182,57635,"Census Tract 9109, Carroll County, Georgia"
183,43248,"Census Tract 9110, Carroll County, Georgia"
184,41792,"Census Tract 9111, Carroll County, Georgia"
185,40962,"Census Tract 9112, Carroll County, Georgia"
186,46780,"Census Tract 301, Catoosa County, Georgia"
187,52234,"Census Tract 302.01, Catoosa County, Georgia"
188,74127,"Census Tract 302.02, Catoosa County, Georgia"
189,56698,"Census Tract 303.01, Catoosa County, Georgia"
190,55205,"Census Tract 303.03, Catoosa County, Georgia"
191,67836,"Census Tract 303.04, Catoosa County, Georgia"
192,63986,"Census Tract 304.01, Catoosa County, Georgia"
193,47569,"Census Tract 304.02, Catoosa County, Georgia"
194,36295,"Census Tract 305, Catoosa County, Georgia"
195,36466,"Census Tract 306, Catoosa County, Georgia"
196,41522,"Census Tract 307, Catoosa County, Georgia"
197,43015,"Census Tract 101, Charlton County, Georgia"
198,32129,"Census Tract 102, Charlton County, Georgia"
199,3788,"Census Tract 1, Chatham County, Georgia"
200,56596,"Census Tract 3, Chatham County, Georgia"
201,26055,"Census Tract 6.01, Chatham County, Georgia"
202,42336,"Census Tract 9, Chatham County, Georgia"
203,24632,"Census Tract 11, Chatham County, Georgia"
204,11935,"Census Tract 12, Chatham County, Georgia"
205,14737,"Census Tract 15, Chatham County, Georgia"
206,20313,"Census Tract 20, Chatham County, Georgia"
207,23935,"Census Tract 21, Chatham County, Georgia"
208,24508,"Census Tract 22, Chatham County, Georgia"
209,24727,"Census Tract 23, Chatham County, Georgia"
210,31438,"Census Tract 26, Chatham County, Georgia"
211,29081,"Census Tract 27, Chatham County, Georgia"
212,21398,"Census Tract 28, Chatham County, Georgia"
213,68571,"Census Tract 29, Chatham County, Georgia"
214,65221,"Census Tract 30, Chatham County, Georgia"
215,27014,"Census Tract 33.01, Chatham County, Georgia"
216,36012,"Census Tract 33.02, Chatham County, Georgia"
217,52167,"Census Tract 34, Chatham County, Georgia"
218,19789,"Census Tract 35.01, Chatham County, Georgia"
219,43333,"Census Tract 35.02, Chatham County, Georgia"
220,35536,"Census Tract 36.01, Chatham County, Georgia"
221,36780,"Census Tract 36.02, Chatham County, Georgia"
222,32378,"Census Tract 37, Chatham County, Georgia"
223,30147,"Census Tract 38, Chatham County, Georgia"
224,40590,"Census Tract 39, Chatham County, Georgia"
225,44325,"Census Tract 40.01, Chatham County, Georgia"
226,33071,"Census Tract 40.02, Chatham County, Georgia"
227,51635,"Census Tract 41, Chatham County, Georgia"
228,35189,"Census Tract 42.07, Chatham County, Georgia"
229,41975,"Census Tract 42.08, Chatham County, Georgia"
230,37277,"Census Tract 42.09, Chatham County, Georgia"
231,36217,"Census Tract 42.10, Chatham County, Georgia"
232,48974,"Census Tract 42.11, Chatham County, Georgia"
233,57886,"Census Tract 42.12, Chatham County, Georgia"
234,44102,"Census Tract 43, Chatham County, Georgia"
235,23469,"Census Tract 44, Chatham County, Georgia"
236,38533,"Census Tract 45, Chatham County, Georgia"
237,20268,"Census Tract 101.01, Chatham County, Georgia"
238,44000,"Census Tract 101.02, Chatham County, Georgia"
239,50804,"Census Tract 102, Chatham County, Georgia"
240,27921,"Census Tract 105.01, Chatham County, Georgia"
241,31039,"Census Tract 105.02, Chatham County, Georgia"
242,26748,"Census Tract 106.01, Chatham County, Georgia"
243,33706,"Census Tract 106.03, Chatham County, Georgia"
244,-,"Census Tract 106.05, Chatham County, Georgia"
245,71816,"Census Tract 107, Chatham County, Georgia"
246,52045,"Census Tract 108.01, Chatham County, Georgia"
247,64188,"Census Tract 108.02, Chatham County, Georgia"
248,53683,"Census Tract 108.03, Chatham County, Georgia"
249,45877,"Census Tract 108.06, Chatham County, Georgia"
250,71111,"Census Tract 108.07, Chatham County, Georgia"
251,45857,"Census Tract 108.08, Chatham County, Georgia"
252,61699,"Census Tract 108.09, Chatham County, Georgia"
253,34095,"Census Tract 109.01, Chatham County, Georgia"
254,58220,"Census Tract 110.03, Chatham County, Georgia"
255,82479,"Census Tract 110.04, Chatham County, Georgia"
256,109068,"Census Tract 110.05, Chatham County, Georgia"
257,113235,"Census Tract 110.06, Chatham County, Georgia"
258,55208,"Census Tract 111.03, Chatham County, Georgia"
259,66396,"Census Tract 111.04, Chatham County, Georgia"
260,55000,"Census Tract 111.06, Chatham County, Georgia"
261,66356,"Census Tract 111.07, Chatham County, Georgia"
262,76609,"Census Tract 111.08, Chatham County, Georgia"
263,78734,"Census Tract 111.09, Chatham County, Georgia"
264,41250,"Census Tract 112, Chatham County, Georgia"
265,15179,"Census Tract 113, Chatham County, Georgia"
266,22563,"Census Tract 114, Chatham County, Georgia"
267,68977,"Census Tract 115, Chatham County, Georgia"
268,31167,"Census Tract 116, Chatham County, Georgia"
269,-,"Census Tract 9800, Chatham County, Georgia"
270,-,"Census Tract 9900, Chatham County, Georgia"
271,36000,"Census Tract 201, Chattahoochee County, Georgia"
272,53824,"Census Tract 202.01, Chattahoochee County, Georgia"
273,43247,"Census Tract 202.03, Chattahoochee County, Georgia"
274,52330,"Census Tract 202.05, Chattahoochee County, Georgia"
275,-,"Census Tract 202.06, Chattahoochee County, Georgia"
276,41891,"Census Tract 101, Chattooga County, Georgia"
277,33016,"Census Tract 102, Chattooga County, Georgia"
278,32953,"Census Tract 103, Chattooga County, Georgia"
279,27397,"Census Tract 104, Chattooga County, Georgia"
280,28977,"Census Tract 105, Chattooga County, Georgia"
281,36422,"Census Tract 106, Chattooga County, Georgia"
282,61698,"Census Tract 901, Cherokee County, Georgia"
283,59413,"Census Tract 902, Cherokee County, Georgia"
284,88237,"Census Tract 903, Cherokee County, Georgia"
285,37061,"Census Tract 904, Cherokee County, Georgia"
286,66157,"Census Tract 905.01, Cherokee County, Georgia"
287,85872,"Census Tract 905.02, Cherokee County, Georgia"
288,50000,"Census Tract 906.01, Cherokee County, Georgia"
289,60127,"Census Tract 906.02, Cherokee County, Georgia"
290,64961,"Census Tract 907.01, Cherokee County, Georgia"
291,54139,"Census Tract 907.02, Cherokee County, Georgia"
292,90147,"Census Tract 908.02, Cherokee County, Georgia"
293,87297,"Census Tract 908.03, Cherokee County, Georgia"
294,86925,"Census Tract 908.04, Cherokee County, Georgia"
295,80962,"Census Tract 909.01, Cherokee County, Georgia"
296,78133,"Census Tract 909.02, Cherokee County, Georgia"
297,59083,"Census Tract 909.04, Cherokee County, Georgia"
298,52750,"Census Tract 909.05, Cherokee County, Georgia"
299,47674,"Census Tract 910.01, Cherokee County, Georgia"
