,index,white,black,hispanic,Geography
0,0,3199,73,87,"Census Tract 9501, Appling County, Georgia"
1,1,2225,2055,322,"Census Tract 9502, Appling County, Georgia"
2,2,3018,748,551,"Census Tract 9503, Appling County, Georgia"
3,3,1041,345,12,"Census Tract 9504, Appling County, Georgia"
4,4,3318,230,758,"Census Tract 9505, Appling County, Georgia"
5,5,1197,548,438,"Census Tract 9601, Atkinson County, Georgia"
6,6,2560,818,1260,"Census Tract 9602, Atkinson County, Georgia"
7,7,965,35,318,"Census Tract 9603, Atkinson County, Georgia"
8,8,2749,145,333,"Census Tract 9701, Bacon County, Georgia"
9,9,2497,959,252,"Census Tract 9702.01, Bacon County, Georgia"
10,10,3145,651,269,"Census Tract 9702.02, Bacon County, Georgia"
11,11,1008,1230,18,"Census Tract 9601, Baker County, Georgia"
12,12,757,316,0,"Census Tract 9602, Baker County, Georgia"
13,13,2994,1869,113,"Census Tract 9701, Baldwin County, Georgia"
14,14,3820,2743,252,"Census Tract 9702, Baldwin County, Georgia"
15,15,3707,2072,202,"Census Tract 9703, Baldwin County, Georgia"
16,16,2522,1979,111,"Census Tract 9704, Baldwin County, Georgia"
17,17,3622,1949,131,"Census Tract 9705, Baldwin County, Georgia"
18,18,1498,2323,0,"Census Tract 9706, Baldwin County, Georgia"
19,19,840,2017,0,"Census Tract 9707.01, Baldwin County, Georgia"
20,20,1063,1377,53,"Census Tract 9707.02, Baldwin County, Georgia"
21,21,4622,2586,97,"Census Tract 9708, Baldwin County, Georgia"
22,22,4606,32,467,"Census Tract 9701, Banks County, Georgia"
23,23,4533,298,48,"Census Tract 9702, Banks County, Georgia"
24,24,3833,52,251,"Census Tract 9703, Banks County, Georgia"
25,25,3287,127,358,"Census Tract 9704, Banks County, Georgia"
26,26,3517,128,219,"Census Tract 1801.03, Barrow County, Georgia"
27,27,1540,164,196,"Census Tract 1801.04, Barrow County, Georgia"
28,28,2099,118,265,"Census Tract 1801.05, Barrow County, Georgia"
29,29,1956,269,219,"Census Tract 1801.06, Barrow County, Georgia"
30,30,2625,205,515,"Census Tract 1801.07, Barrow County, Georgia"
