GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3403,336,3316,355,3199,351,73,54,22,36,22,36,0,13,0,13,0,13,0,13,0,13,87,114,0,13,0,13,0,13,0,13,0,13,87,114,0,13,0,13,0,13
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4676,400,4354,392,2225,341,2055,302,0,13,70,121,0,13,0,13,4,8,0,13,4,8,322,227,273,221,0,13,0,13,0,13,0,13,3,6,46,79,46,79,0,13
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4614,388,4063,382,3018,367,748,243,5,11,73,105,0,13,64,102,155,163,0,13,155,163,551,249,310,216,0,13,0,13,0,13,0,13,241,184,0,13,0,13,0,13
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1398,223,1386,225,1041,190,345,147,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,16,12,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4330,413,3572,393,3318,379,230,127,0,13,0,13,8,12,0,13,16,21,0,13,16,21,758,277,721,273,0,13,0,13,0,13,0,13,37,62,0,13,0,13,0,13
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2269,313,1831,291,1197,235,548,178,4,6,0,13,0,13,0,13,82,99,5,8,77,99,438,150,153,92,0,13,0,13,0,13,0,13,260,124,25,25,12,16,13,20
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4698,334,3438,283,2560,247,818,172,12,19,0,13,0,13,0,13,48,51,0,13,48,51,1260,200,365,164,0,13,0,13,0,13,0,13,873,242,22,28,0,13,22,28
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1330,228,1012,179,965,178,35,36,12,17,0,13,0,13,0,13,0,13,0,13,0,13,318,156,283,148,5,8,0,13,0,13,0,13,14,18,16,27,16,27,0,13
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",3260,304,2927,327,2749,299,145,104,0,13,24,31,9,17,0,13,0,13,0,13,0,13,333,247,138,162,0,13,0,13,0,13,0,13,195,227,0,13,0,13,0,13
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3773,318,3521,330,2497,293,959,178,0,13,29,44,0,13,0,13,36,42,0,13,36,42,252,225,27,46,0,13,0,13,0,13,0,13,225,228,0,13,0,13,0,13
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4163,391,3894,340,3145,306,651,187,0,13,85,120,0,13,0,13,13,17,0,13,13,17,269,242,269,242,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2261,191,2243,193,1008,184,1230,216,0,13,0,13,0,13,0,13,5,10,0,13,5,10,18,18,12,17,6,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1081,191,1081,191,757,224,316,129,8,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",4996,577,4883,565,2994,453,1869,483,0,18,0,18,0,18,0,18,20,31,0,18,20,31,113,165,0,18,0,18,0,18,0,18,0,18,113,165,0,18,0,18,0,18
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",6981,690,6729,674,3820,424,2743,599,9,17,105,108,39,60,0,18,13,22,0,18,13,22,252,178,86,93,10,15,0,18,0,18,0,18,156,168,0,18,0,18,0,18
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",6283,550,6081,582,3707,480,2072,390,55,66,182,136,0,18,0,18,65,72,0,18,65,72,202,155,108,95,0,18,0,18,0,18,0,18,79,115,15,22,15,22,0,18
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4924,534,4813,570,2522,487,1979,331,1,4,224,138,0,13,0,13,87,80,87,80,0,13,111,90,94,68,17,65,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",5993,698,5862,700,3622,574,1949,479,0,18,169,122,0,18,0,18,122,105,0,18,122,105,131,99,115,97,0,18,0,18,0,18,0,18,16,28,0,18,0,18,0,18
