,census_tract,white,black,hispanic,total,median_income,majority_race
0,"Census Tract 9501, Appling County, Georgia",3199,73,87,3403,47045,white
1,"Census Tract 9502, Appling County, Georgia",2225,2055,322,4676,31964,NA
2,"Census Tract 9503, Appling County, Georgia",3018,748,551,4614,41856,white
3,"Census Tract 9504, Appling County, Georgia",1041,345,12,1398,35625,white
4,"Census Tract 9505, Appling County, Georgia",3318,230,758,4330,36542,white
5,"Census Tract 9601, Atkinson County, Georgia",1197,548,438,2269,31667,white
6,"Census Tract 9602, Atkinson County, Georgia",2560,818,1260,4698,27891,white
7,"Census Tract 9603, Atkinson County, Georgia",965,35,318,1330,38250,white
8,"Census Tract 9701, Bacon County, Georgia",2749,145,333,3260,40893,white
9,"Census Tract 9702.01, Bacon County, Georgia",2497,959,252,3773,39360,white
10,"Census Tract 9702.02, Bacon County, Georgia",3145,651,269,4163,34320,white
11,"Census Tract 9601, Baker County, Georgia",1008,1230,18,2261,38607,black
12,"Census Tract 9602, Baker County, Georgia",757,316,0,1081,48720,white
13,"Census Tract 9701, Baldwin County, Georgia",2994,1869,113,4996,35000,white
14,"Census Tract 9702, Baldwin County, Georgia",3820,2743,252,6981,34428,white
15,"Census Tract 9703, Baldwin County, Georgia",3707,2072,202,6283,56953,white
16,"Census Tract 9704, Baldwin County, Georgia",2522,1979,111,4924,28174,white
17,"Census Tract 9705, Baldwin County, Georgia",3622,1949,131,5993,19466,white
18,"Census Tract 9706, Baldwin County, Georgia",1498,2323,0,3946,26069,black
19,"Census Tract 9707.01, Baldwin County, Georgia",840,2017,0,2902,20313,black
20,"Census Tract 9707.02, Baldwin County, Georgia",1063,1377,53,2504,26066,black
21,"Census Tract 9708, Baldwin County, Georgia",4622,2586,97,7325,36024,white
22,"Census Tract 9701, Banks County, Georgia",4606,32,467,5211,42522,white
23,"Census Tract 9702, Banks County, Georgia",4533,298,48,5099,38125,white
24,"Census Tract 9703, Banks County, Georgia",3833,52,251,4185,50529,white
25,"Census Tract 9704, Banks County, Georgia",3287,127,358,3822,48709,white
26,"Census Tract 1801.03, Barrow County, Georgia",3517,128,219,4249,66869,white
27,"Census Tract 1801.04, Barrow County, Georgia",1540,164,196,2002,43587,white
28,"Census Tract 1801.05, Barrow County, Georgia",2099,118,265,2761,50000,white
29,"Census Tract 1801.06, Barrow County, Georgia",1956,269,219,2499,56583,white
30,"Census Tract 1801.07, Barrow County, Georgia",2625,205,515,3942,40328,white
31,"Census Tract 1801.08, Barrow County, Georgia",2763,189,143,3326,60556,white
32,"Census Tract 1802.03, Barrow County, Georgia",1612,745,579,3215,37466,white
33,"Census Tract 1802.04, Barrow County, Georgia",1345,940,383,2801,42703,NA
34,"Census Tract 1802.05, Barrow County, Georgia",2963,809,251,4309,35714,white
35,"Census Tract 1802.06, Barrow County, Georgia",2735,23,125,3007,46000,white
36,"Census Tract 1803.01, Barrow County, Georgia",1795,69,200,2119,64607,white
37,"Census Tract 1803.02, Barrow County, Georgia",4665,190,215,5407,57692,white
38,"Census Tract 1803.03, Barrow County, Georgia",3184,378,129,3930,54563,white
39,"Census Tract 1804.01, Barrow County, Georgia",4530,629,156,5467,60066,white
40,"Census Tract 1804.02, Barrow County, Georgia",4003,1278,927,6246,49338,white
41,"Census Tract 1805.01, Barrow County, Georgia",3365,1037,1039,5521,55648,white
42,"Census Tract 1805.02, Barrow County, Georgia",3975,233,291,4748,59539,white
43,"Census Tract 1805.03, Barrow County, Georgia",3836,692,678,5324,64267,white
44,"Census Tract 9601.01, Bartow County, Georgia",1528,0,45,1573,82688,white
45,"Census Tract 9601.02, Bartow County, Georgia",8708,489,445,9684,64975,white
46,"Census Tract 9602, Bartow County, Georgia",9712,1129,782,11791,45913,white
47,"Census Tract 9603, Bartow County, Georgia",5892,386,428,6926,52120,white
48,"Census Tract 9604.01, Bartow County, Georgia",5720,1404,1604,9098,41118,white
49,"Census Tract 9604.02, Bartow County, Georgia",7083,1019,515,8931,43059,white
50,"Census Tract 9605, Bartow County, Georgia",5804,1218,753,7934,40465,white
51,"Census Tract 9606, Bartow County, Georgia",6016,1852,1011,9015,45934,white
52,"Census Tract 9607, Bartow County, Georgia",4096,1457,708,6453,43631,white
53,"Census Tract 9608.01, Bartow County, Georgia",2989,224,242,3494,47332,white
54,"Census Tract 9608.02, Bartow County, Georgia",2376,68,368,2857,24871,white
55,"Census Tract 9608.03, Bartow County, Georgia",4871,177,272,5589,46802,white
56,"Census Tract 9609.01, Bartow County, Georgia",3003,43,121,3193,56436,white
57,"Census Tract 9609.02, Bartow County, Georgia",4928,954,380,6451,56024,white
58,"Census Tract 9610, Bartow County, Georgia",7159,153,175,7782,68944,white
59,"Census Tract 9601, Ben Hill County, Georgia",2018,574,0,2606,39394,white
60,"Census Tract 9602, Ben Hill County, Georgia",1305,243,65,1631,33438,white
61,"Census Tract 9603, Ben Hill County, Georgia",1994,1189,270,3481,24473,white
62,"Census Tract 9604, Ben Hill County, Georgia",1215,1911,597,3806,22365,black
