Precinct,County,MIKE CRANE,DREW FERGUSON
KANSAS (1006),Carroll,56,53
BOWDON (1111),Carroll,66,134
SANDHILL (1122),Carroll,144,138
CENTER POINT (1152),Carroll,104,137
LOWELL (1163),Carroll,96,95
MT ZION (1240),Carroll,62,84
BURWELL (1371),Carroll,66,70
CLEM (1483),Carroll,200,252
BOWDON JUNCTION (1496),Carroll,40,51
TYUS (1533),Carroll,74,95
FAIRFIELD (1540),Carroll,163,122
HULETT (1542),Carroll,96,84
BETHANY (501),Carroll,119,143
V R COUNTY SOUTH (640),Carroll,74,81
V R COUNTY NORTH (641),Carroll,73,71
VILLA RICA CITY (642),Carroll,94,69
TEMPLE COUNTY (649),Carroll,81,64
TEMPLE CITY (650),Carroll,67,63
WHITESBURG (682),Carroll,131,102
ROOPVILLE (713),Carroll,87,127
WEST CARROLLTON (714A1),Carroll,10,32
EAST CARROLLTON REC (714A2),Carroll,61,104
BONNER (714A3),Carroll,109,220
UNIVERSITY OF W. GA (714A4),Carroll,80,210
COUNTY ADMIN BLDG (714A5),Carroll,88,166
TABERNACLE CHURCH (714A6),Carroll,51,165
EMC (714BN),Carroll,55,97
OLD CAMP CHURCH (714BW),Carroll,120,177
OAK GROVE (715),Carroll,114,115
NEW HOPE (716),Carroll,40,52
SENOIA,Coweta,191,153
MORELAND,Coweta,151,130
PINE ROAD,Coweta,117,95
DRESDEN,Coweta,47,62
NEWNAN,Coweta,88,150
SHARPSBURG,Coweta,221,192
FISCHER ROAD,Coweta,198,142
CEDAR CREEK,Coweta,285,282
GRANTVILLE,Coweta,67,80
HARALSON,Coweta,103,71
WELCOME,Coweta,137,155
PANTHER CREEK,Coweta,140,135
RAYMOND,Coweta,160,78
TURIN,Coweta,188,149
SMOKEY ROAD,Coweta,110,76
TURKEY CREEK,Coweta,13,27
CENTRAL,Coweta,17,13
ARTS CENTRE,Coweta,544,464
GREENTOP,Coweta,123,196
EXPO CENTER,Coweta,113,249
WHITE OAK,Coweta,253,138
MADRAS,Coweta,195,109
CANNONGATE,Coweta,242,136
WESTSIDE,Coweta,14,20
NORTHSIDE,Coweta,124,199
THOMAS CROSSROADS,Coweta,331,208
COWETA CENTRAL LIBRARY,Coweta,147,70
JEFFERSON PARKWAY,Coweta,134,116
BLACKROCK,Fayette,131,84
BROOKS,Fayette,192,175
FAYETTEVILLE EAST,Fayette,98,67
FAYETTEVILLE WEST,Fayette,88,76
FLINT,Fayette,65,40
RAREOVER,Fayette,203,109
SANDY CREEK-03,Fayette,102,51
SHAKERAG EAST,Fayette,121,62
SHAKERAG WEST,Fayette,113,76
STARRSMILL,Fayette,277,183
WHITEWATER,Fayette,213,142
WOOLSEY,Fayette,250,183
MCINTOSH,Fayette,235,115
OAK GROVE,Fayette,92,71
KEDRON,Fayette,138,85
ABERDEEN,Fayette,146,83
WINDGATE,Fayette,86,34
FLAT CREEK,Fayette,113,67
BRAELINN,Fayette,162,84
HARPS CROSSING,Fayette,165,84
WILLOW POND,Fayette,132,77
DOGWOOD-03,Fayette,153,120
JEFF DAVIS,Fayette,87,74
MURPHY,Fayette,188,131
FIELDING RIDGE,Fayette,250,144
WILLOWBEND,Fayette,142,60
CAMP CREEK,Fayette,157,86
RISING STAR,Fayette,198,120
SPRING HILL,Fayette,179,100
ANTIOCH,Fayette,163,89
CATAULA,Harris,40,143
ELLERSLIE,Harris,63,135
GOODMAN,Harris,54,121
HAMILTON,Harris,23,109
LOWER 19TH,Harris,39,113
MULBERRY GROVE,Harris,62,119
PINE MOUNTAIN VALLEY,Harris,51,95
SKINNER,Harris,24,201
UPPER 19TH,Harris,24,106
VALLEY PLAINS,Harris,8,32
WAVERLY HALL,Harris,26,61
WHITESVILLE,Harris,34,122
CENTRALHATCHEE,Heard,46,98
COOKSVILLE - CORINTH,Heard,21,18
ENON GROVE,Heard,32,41
EPHESUS,Heard,55,72
FRANKLIN,Heard,86,94
SOUTHWEST,Heard,17,32
LOCUST GROVE,Henry,87,94
WESTSIDE,Henry,23,18
LOWES,Henry,97,121
SOUTH HAMPTON,Henry,104,187
WESLEY LAKES,Henry,48,59
UNITY GROVE - 03,Henry,82,84
OAKLAND,Henry,100,118
GROVE PARK,Henry,91,105
LAKE HAVEN,Henry,94,119
MCDONOUGH CENTRAL,Henry,121,166
TIMBERRIDGE,Henry,0,0
BARNESVILLE FBC,Lamar,27,31
CHAPPELL MILL V. FD,Lamar,57,36
SENIOR CITZEN BLDG,Lamar,45,35
REDBONE,Lamar,22,48
L C S C,Lamar,101,163
MILNER,Lamar,147,101
CHALYBEATE,Meriwether,11,39
MANCHESTER GILL I,Meriwether,26,89
MANCHESTER GILL II,Meriwether,5,9
ODESSADALE,Meriwether,9,6
GREENVILLE,Meriwether,22,78
LONE OAK,Meriwether,26,41
LUTHERSVILLE,Meriwether,64,88
ALVATON,Meriwether,50,41
GAY,Meriwether,13,19
WOODBURY,Meriwether,16,44
WARM SPRINGS,Meriwether,21,77
DURAND,Meriwether,12,36
RALEIGH,Meriwether,16,25
COVE,Meriwether,10,17
BRITT DAVID BAPT CH,Muscogee,42,55
ST PETER U. M. C.,Muscogee,67,95
CORNERSTONE CHURCH,Muscogee,53,95
ST. MARK/HEIFERHORN,Muscogee,111,202
WYNNBROOK,Muscogee,56,201
ST PAUL U.M.C.-03,Muscogee,18,54
MOON/MORNINGSIDE,Muscogee,72,153
EPWORTH-03,Muscogee,54,87
Concord,Pike,80,85
Hollonville,Pike,86,104
Meansville,Pike,81,81
Molena,Pike,61,110
Second District,Pike,142,144
Lifsey Springs,Pike,70,72
Williamson,Pike,80,93
Zebulon,Pike,95,118
SECOND BAPTISH CH,Spalding,3,15
FAIRMONT,Spalding,7,10
SENIOR CENTER,Spalding,114,193
THIRD WARD,Spalding,94,169
UGA CAMPUS,Spalding,115,182
CITY PARK,Spalding,21,32
FIRST METHODIST,Spalding,146,225
BOY SCOUTS HDQTRS,Spalding,136,237
CABIN,Spalding,106,113
CARVER,Spalding,106,134
FIRST PRESBYTERIA,Spalding,149,206
LIBERTY,Spalding,124,114
COUNTY LINE,Spalding,200,227
SUNNYSIDE METHODI,Spalding,104,98
BLALOCK,Spalding,54,55
GARY REID,Spalding,110,100
AMBUCS,Spalding,92,89
COMMUNITY,Spalding,18,17
FIRST ASSEMBLY,Spalding,218,215
ROBERTS,Spalding,124,145
EAGES LANDING BAPTIST,Spalding,312,243
HOLLIS HAND,Troup,142,570
ADMINISTRATION BLDG,Troup,46,73
HAMMETT RD,Troup,65,148
GRIGGS CENTER,Troup,4,7
WEST POINT,Troup,47,103
HOGANSVILLE,Troup,56,103
EAST VERNON,Troup,105,214
ROSEMONT,Troup,111,228
MOUNTVILLE,Troup,54,88
MCLENDON,Troup,143,193
LONG CANE,Troup,95,206
GARDNER NEWMAN,Troup,44,93
GRAY HILL,Troup,53,105
HIGHLAND,Troup,14,34
NORTHSIDE,Troup,107,303
REDBONE,Upson,490,970
YATESVILLE,Upson,83,151
SALEM,Upson,3,10
TOWN,Upson,350,723
