ID,DATA,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY_NUM,COUNTY_NAM,FIPS2,2012_preci,avg_income,race,XCOORD,YCOORD
878486.000000000000000,1603.000000000000000,121UC032,UC032,UC032,60,FULTON,121,747,40264,black,-84.526731,33.550724
878520.000000000000000,1547.000000000000000,121SC211,SC211,SC211,60,FULTON,121,695,56727,black,-84.508290,33.549134
853191.000000000000000,1548.000000000000000,121SC212,SC212,SC212,60,FULTON,121,696,40211,black,-84.546541,33.542900
853309.000000000000000,1454.000000000000000,121FA01B,FA01B,FA01B,60,FULTON,121,608,40243,black,-84.554360,33.545600
844264.000000000000000,1453.000000000000000,121FA01A,FA01A,FA01A,60,FULTON,121,607,66492,black,-84.596518,33.550136
4976877.000000000000000,1457.000000000000000,121JC02,JC02,JC02,60,FULTON,121,611,117237,white,-84.166600,34.054872
4977085.000000000000000,870.000000000000000,089FG,FG,FLAT ROCK ELEM,44,DEKALB,089,272,63003,black,-84.143566,33.648920
4977119.000000000000000,835.000000000000000,089CF,CF,CANDLER-MURPHEY CANDLER ELEM,44,DEKALB,089,236,62992,black,-84.117098,33.655963
836565.000000000000000,1491.000000000000000,121PA01,PA01,PA01,60,FULTON,121,645,40648,,-84.668609,33.533150
1047777.000000000000000,479.000000000000000,063JB17,JB17,JONESBORO 17,31,CLAYTON,063,23,42415,black,-84.397009,33.505534
1047839.000000000000000,464.000000000000000,063JB02,JB02,JONESBORO 2,31,CLAYTON,063,8,48911,black,-84.400027,33.533033
1047888.000000000000000,510.000000000000000,063RD09,RD09,RIVERDALE 9,31,CLAYTON,063,54,52196,black,-84.403936,33.552853
1047947.000000000000000,478.000000000000000,063JB16,JB16,JONESBORO 16,31,CLAYTON,063,22,44644,black,-84.386491,33.530131
1048007.000000000000000,506.000000000000000,063RD05,RD05,RIVERDALE 5,31,CLAYTON,063,50,49601,black,-84.387697,33.549281
1048062.000000000000000,465.000000000000000,063JB03,JB03,JONESBORO 3,31,CLAYTON,063,9,49749,black,-84.366083,33.509444
