,PRECINCT_N,COUNTY_NAM,avg_income,race,income_bin,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
0,UC032,FULTON,40264.0,black,low,UC032,597.0,205.0,222.0,428.0,0.478971962617,0.518691588785,FULTON,both
1,SC211,FULTON,56727.0,black,mid,SC211,790.0,20.0,546.0,566.0,0.0353356890459,0.964664310954,FULTON,both
2,SC212,FULTON,40211.0,black,low,SC212,2139.0,94.0,1407.0,1504.0,0.0625,0.935505319149,FULTON,both
3,FA01B,FULTON,40243.0,black,low,FA01B,510.0,20.0,337.0,358.0,0.0558659217877,0.941340782123,FULTON,both
4,FA01A,FULTON,66492.0,black,mid,FA01A,6227.0,583.0,3852.0,4449.0,0.1310406833,0.865812542144,FULTON,both
5,JC02,FULTON,117237.0,white,high,JC02,1084.0,448.0,310.0,771.0,0.581063553826,0.402075226978,FULTON,both
6,FLAT ROCK ELEM,DEKALB,63003.0,black,mid,FLAT ROCK ELEM,2398.0,54.0,1853.0,1912.0,0.0282426778243,0.969142259414,DEKALB,both
7,CANDLER-MURPHEY CANDLER ELEM,DEKALB,62992.0,black,mid,CANDLER-MURPHEY CANDLER ELEM,2273.0,137.0,1630.0,1767.0,0.07753254103,0.92246745897,DEKALB,both
8,PA01,FULTON,40648.0,,low,PA01,2047.0,366.0,1067.0,1447.0,0.252937111265,0.737387698687,FULTON,both
9,JONESBORO 17,CLAYTON,42415.0,black,low,JONESBORO 17,3969.0,176.0,2259.0,2439.0,0.0721607216072,0.926199261993,CLAYTON,both
10,JONESBORO 2,CLAYTON,48911.0,black,low,JONESBORO 2,3722.0,92.0,2179.0,2277.0,0.040404040404,0.956960913483,CLAYTON,both
11,RIVERDALE 9,CLAYTON,52196.0,black,mid,RIVERDALE 9,2393.0,152.0,1362.0,1520.0,0.1,0.896052631579,CLAYTON,both
12,JONESBORO 16,CLAYTON,44644.0,black,low,JONESBORO 16,1884.0,144.0,978.0,1132.0,0.127208480565,0.863957597173,CLAYTON,both
13,RIVERDALE 5,CLAYTON,49601.0,black,low,RIVERDALE 5,2582.0,95.0,1557.0,1656.0,0.0573671497585,0.940217391304,CLAYTON,both
14,JONESBORO 3,CLAYTON,49749.0,black,low,JONESBORO 3,3323.0,394.0,1738.0,2148.0,0.183426443203,0.809124767225,CLAYTON,both
15,JONESBORO 10,CLAYTON,42891.0,black,low,JONESBORO 10,2795.0,177.0,1381.0,1567.0,0.112954690491,0.88130185067,CLAYTON,both
16,JONESBORO 9,CLAYTON,36321.0,,low,JONESBORO 9,1290.0,144.0,489.0,637.0,0.226059654631,0.767660910518,CLAYTON,both
17,OAK VIEW ELEM,DEKALB,51276.0,black,mid,OAK VIEW ELEM,3831.0,41.0,2796.0,2841.0,0.0144315381908,0.984160506864,DEKALB,both
18,HARRIS-NARVIE J. HARRIS ELEM,DEKALB,61401.0,black,mid,HARRIS-NARVIE J. HARRIS ELEM,3036.0,27.0,2318.0,2350.0,0.0114893617021,0.986382978723,DEKALB,both
