President of the United States,,,,,,,,,,,,,,,,,
,,MITT ROMNEY (R),,,,,BARACK OBAMA (I) D,,,,,GARY JOHNSON (L),,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Total
ELLENWOOD,4862,86,29,124,0,239,941,90,2281,1,3313,4,0,2,0,6,3558
FOREST PARK 1,2754,158,25,121,0,304,599,16,384,1,1000,3,0,4,0,7,1311
FOREST PARK 2,2202,138,20,76,0,234,555,21,423,1,1000,9,0,3,0,12,1246
FOREST PARK 3,2048,136,12,102,0,250,463,44,343,0,850,1,0,0,0,1,1101
FOREST PARK 4,1588,158,25,145,0,328,316,12,293,0,621,8,3,2,0,13,962
FOREST PARK 5,3173,168,12,136,0,316,661,27,598,0,1286,9,1,3,0,13,1615
FOREST PARK 6,1230,103,8,108,1,220,233,17,247,0,497,3,0,1,0,4,721
JONESBORO 1,4045,71,22,124,0,217,944,73,1353,1,2371,6,1,3,0,10,2598
JONESBORO 2,3722,39,6,47,0,92,795,60,1324,0,2179,3,0,3,0,6,2277
JONESBORO 3,3323,162,25,207,0,394,571,61,1106,0,1738,8,0,8,0,16,2148
JONESBORO 4,2041,85,13,89,0,187,410,21,451,0,882,4,0,3,0,7,1076
JONESBORO 5,1763,192,22,115,0,329,323,36,480,0,839,9,0,0,0,9,1177
JONESBORO 6,2224,352,107,514,0,973,235,47,414,0,696,11,3,8,0,22,1691
JONESBORO 7,2771,126,35,241,0,402,529,45,889,2,1465,4,0,5,0,9,1876
JONESBORO 8,3312,60,13,65,0,138,779,43,812,0,1634,5,0,3,0,8,1780
JONESBORO 9,1290,80,4,60,0,144,224,10,255,0,489,2,1,1,0,4,637
JONESBORO 10,2795,90,6,81,0,177,691,35,655,0,1381,6,0,3,0,9,1567
JONESBORO 11,3305,268,36,310,0,614,638,54,978,0,1670,10,1,8,0,19,2303
JONESBORO 12,2429,53,11,52,0,116,585,29,743,2,1359,1,0,0,0,1,1476
JONESBORO 13,1426,103,13,79,0,195,336,16,488,0,840,3,0,0,0,3,1038
JONESBORO 14,3739,344,88,555,0,987,533,60,1193,0,1786,8,0,6,0,14,2787
JONESBORO 15,2562,53,7,88,0,148,510,9,606,0,1125,2,0,4,0,6,1279
JONESBORO 16,1884,97,7,40,0,144,491,15,471,1,978,7,0,3,0,10,1132
JONESBORO 17,3969,77,10,89,0,176,932,51,1276,0,2259,2,0,2,0,4,2439
JONESBORO 18,2644,90,26,128,0,244,566,30,805,0,1401,8,0,3,0,11,1656
LAKE CITY,2554,81,8,92,0,181,536,26,613,0,1175,5,0,6,0,11,1367
LOVEJOY 1,3141,154,24,182,0,360,617,50,1055,0,1722,8,0,5,0,13,2095
LOVEJOY 2,2696,76,16,106,0,198,455,36,991,0,1482,5,0,2,0,7,1687
LOVEJOY 3,5009,205,39,396,0,640,818,81,1636,0,2535,3,1,7,0,11,3186
LOVEJOY 4,3473,82,9,146,0,237,577,53,1469,1,2100,4,0,2,0,6,2343
LOVEJOY 5,2633,64,6,81,0,151,513,28,908,0,1449,1,0,1,0,2,1602
MORROW 1,2561,75,18,60,0,153,709,31,624,0,1364,7,0,0,0,7,1524
MORROW 2,1781,154,28,261,0,443,251,13,366,1,631,1,0,5,0,6,1080
MORROW 3,3900,162,42,161,0,365,810,51,1087,0,1948,8,0,6,0,14,2327
MORROW 4,1759,102,18,122,0,242,345,19,426,0,790,5,0,1,0,6,1038
MORROW 5,4066,98,28,316,0,442,607,73,1747,0,2427,6,0,9,0,15,2884
MORROW 6,2408,101,19,150,0,270,521,28,738,0,1287,2,0,3,0,5,1562
MORROW 7,1842,105,11,95,0,211,428,27,391,2,848,4,0,5,1,10,1069
MORROW 8,2419,44,3,65,0,112,463,37,1061,0,1561,2,0,4,0,6,1679
MORROW 9,1275,56,10,67,0,133,244,16,390,0,650,4,0,0,0,4,787
OAK 1,2110,9,1,15,0,25,670,18,431,0,1119,0,0,0,0,0,1144
OAK 2,1552,18,3,18,0,39,374,11,243,0,628,2,0,0,0,2,669
OAK 3,3893,28,0,24,0,52,948,39,946,2,1935,1,0,0,0,1,1988
OAK 4,3059,19,3,32,0,54,780,28,851,0,1659,2,0,1,0,3,1716
PANHANDLE 1,2584,101,16,129,0,246,550,60,959,0,1569,2,1,1,0,4,1819
PANHANDLE 2,2330,217,36,292,0,545,352,27,727,0,1106,4,2,5,0,11,1662
RIVERDALE 1,2090,28,12,68,0,108,449,35,924,0,1408,0,0,1,0,1,1517
RIVERDALE 2,2986,35,1,28,0,64,707,47,936,1,1691,4,0,1,0,5,1760
RIVERDALE 3,3164,42,8,40,1,91,740,52,1057,0,1849,3,0,2,0,5,1945
RIVERDALE 4,3900,81,20,123,0,224,922,51,1074,0,2047,1,0,4,0,5,2276
RIVERDALE 5,2582,41,7,47,0,95,618,30,909,0,1557,1,1,2,0,4,1656
RIVERDALE 6,3061,109,23,110,0,242,703,40,595,0,1338,7,1,5,0,13,1593
RIVERDALE 7,2311,76,5,62,0,143,506,20,434,2,962,2,1,4,0,7,1112
RIVERDALE 8,2413,57,15,101,0,173,553,50,950,0,1553,1,1,1,0,3,1729
RIVERDALE 9,2393,72,7,73,0,152,631,34,697,0,1362,3,0,3,0,6,1520
RIVERDALE 10,2667,13,1,13,0,27,621,14,628,0,1263,0,0,1,0,1,1291
RIVERDALE 11,1679,25,4,41,0,70,427,34,657,1,1119,1,0,1,0,2,1191
RIVERDALE 12,2657,54,13,41,0,108,658,69,959,0,1686,2,0,2,0,4,1798
Totals:,156049,5873,1036,7253,2,14164,32963,2150,46347,19,81479,237,18,168,1,424,96067
