President of the United States,,,,,,,,,,,,,,,,,,,,
,,MITT ROMNEY (R),,,,,,BARACK OBAMA (I) D,,,,,,GARY JOHNSON (L),,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional,Total Votes,Total
Acworth 1A,4017,951,116,65,503,0,1635,643,45,89,443,6,1226,31,1,1,4,0,37,2898
Acworth 1B,3674,893,131,84,428,1,1537,566,54,102,218,1,941,32,4,1,4,1,42,2520
Acworth 1C,3700,782,82,53,299,2,1218,766,44,146,339,5,1300,39,1,3,5,0,48,2566
Addison 01,1902,600,79,64,228,0,971,338,25,70,66,1,500,27,3,1,3,2,36,1507
Austell 1A,3439,326,51,23,151,0,551,938,64,284,593,4,1883,18,2,2,1,0,23,2457
Bells Ferry 02,2592,737,114,100,221,0,1172,472,32,86,148,3,741,40,1,0,2,0,43,1956
Bells Ferry 03,4918,1252,199,89,783,3,2326,648,71,85,314,5,1123,88,2,0,22,2,114,3563
Big Shanty 01,2247,623,71,97,169,1,961,357,24,74,67,0,522,34,3,2,1,0,40,1523
Big Shanty 02,2630,874,108,80,244,1,1307,397,60,73,112,0,642,27,1,0,5,0,33,1982
Baker 01,3589,973,91,70,245,0,1379,685,50,143,252,3,1133,41,2,3,4,0,50,2562
Birney 01,1982,382,79,76,112,2,651,446,32,149,134,5,766,13,0,4,1,0,18,1435
Birney 02,3130,616,144,118,275,1,1154,586,73,211,325,3,1198,27,4,0,3,0,34,2386
Bryant 01,1637,27,5,2,39,0,73,400,35,114,694,0,1243,0,3,0,2,0,5,1321
Bryant 02,4168,66,7,5,36,0,114,1111,71,164,1145,9,2500,12,1,0,3,0,16,2630
Blackwell 01,2012,544,74,42,275,4,939,344,29,58,126,1,558,38,0,1,1,0,40,1537
Chattahoochee 01,4554,578,69,106,124,4,881,1105,104,490,290,6,1995,45,7,4,5,0,61,2937
Cheatham Hill 02,2548,902,117,257,199,1,1476,286,31,163,50,0,530,31,4,1,2,0,38,2044
Cheatham Hill 03,3323,927,149,527,141,1,1745,453,56,349,53,1,912,35,4,6,1,0,46,2703
Chalker 01,3399,723,101,95,239,2,1160,566,47,162,200,1,976,47,4,4,8,1,64,2200
Clarkdale 01,1412,272,60,31,99,0,462,295,15,67,152,3,532,15,1,0,1,0,17,1011
Clarkdale 02,3968,658,96,57,217,0,1028,1115,60,274,503,4,1956,23,1,1,4,0,29,3013
Cooper 01,3808,345,110,72,201,2,730,960,66,410,508,11,1955,12,3,0,2,0,17,2702
Chestnut Ridge 01,2856,1221,150,90,254,0,1715,394,51,24,69,2,540,37,4,2,5,0,48,2303
Dickerson 01,2569,970,131,78,221,3,1403,424,40,32,104,1,601,27,3,0,0,0,30,2034
Dobbins 01,2860,199,44,54,54,6,357,850,80,383,171,24,1508,19,0,1,0,0,20,1885
Dowell 01,2725,734,109,335,137,1,1316,413,59,267,71,1,811,30,2,4,2,0,38,2165
Dodgen 01,1920,729,101,92,160,1,1083,270,27,30,52,0,379,20,4,2,1,0,27,1489
Durham 01,3453,1366,196,154,470,1,2187,320,46,76,92,0,534,20,2,1,3,0,26,2747
