President of the United States,,,,,,,,,,,,,,,,,,,,
,,MITT ROMNEY (R),,,,,,BARACK OBAMA (I) D,,,,,,GARY JOHNSON (L),,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional ,Advance in Person 3,Total Votes,Election Day.1,Absentee by Mail.1,Advance in Person.1,Advance in Person 2.1,Provisional .1,Advance in Person 3.1,Total Votes.1,Election Day.2,Absentee by Mail.2,Advance in Person.2,Advance in Person 2.2,Provisional .2,Advance in Person 3.2,Total Votes.2,Total
ALLGOOD ELEM,2246,82,26,62,9,0,1,180,578,131,821,68,0,30,1628,7,0,2,0,0,0,9,1817
ASHFORD DUNWOODY RD,2408,729,73,12,49,1,319,1183,442,44,26,47,3,195,757,19,0,0,0,0,6,25,1965
ASHFORD PARK ELEM,2025,741,37,6,22,1,209,1016,376,25,12,16,0,109,538,32,0,0,0,0,4,36,1590
ASHFORD PARKSIDE,2412,564,102,7,63,0,317,1053,468,93,19,41,0,167,788,20,3,0,0,0,8,31,1872
AUSTIN,2269,964,129,23,68,0,219,1403,327,46,21,28,1,66,489,23,2,0,0,0,2,27,1919
AUSTIN DRIVE,1874,30,3,19,0,0,2,54,534,37,570,45,3,32,1221,5,0,1,0,0,0,6,1281
AVONDALE,2199,438,52,188,9,1,25,713,595,52,387,12,2,54,1102,25,0,5,0,1,1,32,1847
AVONDALE HIGH,2774,183,39,80,6,1,24,333,768,83,559,41,2,171,1624,49,0,7,0,0,1,57,2014
BETHUNE MIDDLE,3581,23,4,17,10,0,2,56,754,104,1145,327,4,210,2544,2,0,1,0,0,0,3,2603
BOULDERCREST RD,1547,17,9,11,7,0,0,44,493,30,232,401,4,25,1185,0,0,0,0,0,0,0,1229
BOULEVARD,3636,205,12,52,7,0,50,326,1333,92,539,59,4,189,2216,51,0,6,0,1,10,68,2610
BRIAR VISTA ELEM,2435,324,41,25,86,1,40,517,622,69,69,156,5,132,1053,29,4,1,4,0,2,40,1610
BRIARCLIFF,1861,414,106,13,90,2,40,665,432,54,43,106,2,42,679,26,3,0,1,0,0,30,1374
BRIARLAKE ELEM,1541,337,69,11,250,0,7,674,304,41,25,157,1,18,546,17,1,0,0,0,1,19,1239
BRIARWOOD,1934,439,30,8,26,3,135,641,472,25,19,48,3,94,661,25,1,0,1,0,2,29,1331
BROCKETT,2144,319,53,23,423,0,8,826,441,36,100,506,0,14,1097,14,0,0,14,0,0,28,1951
BROCKETT ELEM,2238,193,42,23,245,0,3,506,353,69,90,256,2,2,772,25,0,1,7,0,0,33,1311
BROOKHAVEN,2510,757,53,8,45,1,225,1089,469,44,11,53,0,152,729,39,0,0,0,0,1,40,1858
BROWNS MILL ELEM,3121,30,11,12,28,0,1,82,758,79,441,1067,0,92,2437,3,1,0,3,0,1,8,2527
BURGESS ELEM,2392,122,6,28,3,0,20,179,890,60,372,121,0,61,1504,39,2,5,2,0,3,51,1734
CANBY LANE ELEM,1626,13,2,11,1,0,0,27,445,47,521,157,2,42,1214,3,0,0,0,0,0,3,1244
CANDLER,2730,55,5,15,3,1,1,80,790,52,662,103,7,40,1654,11,2,2,0,0,0,15,1749
CANDLER-MURPHEY CANDLER ELEM,2273,67,31,20,11,0,8,137,616,57,425,427,2,103,1630,0,0,0,0,0,0,0,1767
CEDAR GROVE ELEM,3299,21,19,4,15,0,1,60,765,143,377,1049,3,27,2364,5,0,1,5,0,0,11,2435
