President of the United States,,,,,,,,,,,,,,,,,,,,
,,MITT ROMNEY (R),,,,,,BARACK OBAMA (I) D,,,,,,GARY JOHNSON (L),,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Total
01A,2589,214,5,40,1,10,270,1019,40,332,70,36,1497,33,2,5,0,1,41,1808
01B,3202,312,15,44,8,1,380,1408,51,332,67,4,1862,62,0,2,0,0,64,2306
01C1,940,15,1,1,0,0,17,409,7,79,52,14,561,4,0,1,0,0,5,583
01C2,1,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,4
01D,856,32,6,15,0,1,54,305,28,138,49,15,535,3,0,0,0,0,3,592
01E,2364,238,13,64,7,2,324,933,25,299,60,12,1329,50,5,5,0,0,60,1713
01F,860,5,0,2,0,0,7,324,16,63,38,26,467,1,0,0,0,0,1,475
01G,1616,42,1,6,2,0,51,674,22,169,56,24,945,17,0,1,0,1,19,1015
01J,2004,20,1,6,2,0,29,800,46,229,131,18,1224,8,0,0,0,0,8,1261
01P,1018,6,0,0,4,0,10,478,32,61,66,12,649,2,0,0,0,0,2,661
01R,1088,0,0,1,0,1,2,542,9,59,41,20,671,0,0,0,0,0,0,673
01S,1434,14,1,0,3,0,18,620,22,107,137,11,897,1,0,0,0,0,1,916
01T,1211,59,4,8,2,1,74,439,12,98,55,13,617,14,0,0,0,0,14,705
02A,1628,58,2,26,1,3,90,523,30,237,79,25,894,9,0,3,0,0,12,996
02B,3333,121,11,52,3,2,189,531,29,358,35,13,966,17,0,3,0,2,22,1177
02C,1525,111,9,30,1,1,152,564,29,227,35,24,879,16,1,1,0,1,19,1050
02D,3162,198,5,39,2,3,247,1114,63,478,99,55,1809,33,0,5,1,0,39,2095
02E,1660,163,8,20,3,2,196,684,38,179,10,15,926,48,2,2,0,1,53,1175
02F1,2428,248,8,52,3,6,317,914,32,229,23,21,1219,36,5,6,0,0,47,1583
02F2,543,32,4,8,0,2,46,176,9,74,11,12,282,4,0,2,0,0,6,334
02G,2514,207,20,79,8,2,316,825,50,313,38,17,1243,40,1,6,0,0,47,1606
02J,1795,30,27,30,2,2,91,195,135,250,27,15,622,8,1,1,2,0,12,725
02L1,4489,545,35,158,13,1,752,1248,123,548,45,7,1971,46,4,14,0,0,64,2787
02L2,708,109,9,31,0,1,150,163,13,73,5,10,264,14,0,1,0,1,16,430
02S,2367,80,6,24,5,2,117,867,49,360,72,32,1380,16,0,3,0,1,20,1517
02W,1672,153,11,55,2,6,227,418,22,239,23,7,709,20,0,2,0,1,23,959
02X,1461,147,10,16,1,14,188,323,9,50,11,42,435,34,0,1,1,6,42,665
03A,1806,6,1,2,3,1,13,597,50,79,249,41,1016,0,0,0,0,0,0,1029
03B,553,0,0,1,0,0,1,194,7,24,25,10,260,0,0,0,0,0,0,261
03C,1309,4,0,0,1,0,5,505,42,42,265,12,866,1,0,0,0,0,1,872
03D,827,2,0,1,0,0,3,254,22,58,107,15,456,2,0,0,0,0,2,461
03E,1964,12,1,5,3,0,21,637,32,143,164,28,1004,2,0,0,0,0,2,1027
03G,567,3,0,0,1,0,4,130,3,36,41,7,217,1,0,0,1,0,2,223
03H,872,2,0,1,2,0,5,254,28,43,156,9,490,1,0,0,0,0,1,496
03L,537,5,0,1,0,0,6,206,10,18,35,6,275,1,0,0,0,0,1,282
03M,772,103,1,8,1,1,114,224,8,45,19,4,300,18,0,3,0,0,21,435
03N,1809,21,1,5,1,1,29,668,24,157,111,44,1004,5,0,0,1,1,7,1040
03P1,2528,145,18,61,2,0,226,603,30,322,47,25,1027,34,0,5,0,0,39,1292
03P2,90,3,0,0,0,0,3,83,0,3,6,3,95,0,0,0,0,0,0,98
03R,1353,7,0,4,1,0,12,445,22,46,210,8,731,3,0,0,0,0,3,746
03S,589,1,0,0,0,0,1,193,19,14,144,4,374,0,0,0,3,0,3,378
03T,1375,25,3,9,0,0,37,549,18,156,111,9,843,4,0,0,0,0,4,884
03U,838,2,0,0,0,0,2,253,12,59,31,12,367,1,0,0,0,0,1,370
04A,909,5,0,2,3,0,10,370,26,63,98,22,579,1,0,0,0,0,1,590
04B,2014,8,1,6,1,0,16,431,20,244,96,47,838,1,0,0,0,0,1,855
04D,1213,6,0,1,2,0,9,427,44,67,238,6,782,2,0,0,0,0,2,793
04E,2350,48,0,3,3,1,55,872,27,149,157,50,1255,9,0,1,0,0,10,1320
04G,626,1,2,0,0,0,3,260,8,26,55,4,353,2,0,0,0,0,2,358
04H2,720,2,0,1,1,0,4,314,11,48,31,8,412,0,0,0,0,0,0,416
04K,1849,17,0,3,1,1,22,645,51,203,255,9,1163,5,0,0,1,0,6,1191
04L,1194,14,1,3,3,1,22,441,14,68,164,18,705,0,0,0,0,0,0,727
04M,602,2,0,0,1,0,3,264,3,30,44,11,352,1,0,0,0,0,1,356
04S,1769,8,1,1,4,0,14,776,33,75,346,10,1240,2,0,0,2,0,4,1258
04T,914,2,0,0,2,0,4,406,21,38,131,12,608,3,0,0,0,0,3,615
04V,1982,10,0,2,2,0,14,724,28,295,114,32,1193,4,1,0,0,0,5,1212
04W,1914,2,0,0,0,0,2,558,18,76,35,126,813,1,0,0,0,0,1,816
04X1,1589,6,1,1,1,0,9,587,41,94,312,13,1047,1,0,0,0,0,1,1057
04X2,589,3,1,1,1,0,6,159,13,37,98,7,314,4,0,0,0,0,4,324
05A1,1497,108,2,20,3,2,135,660,21,161,21,6,869,32,0,7,0,0,39,1043
05A2,2494,160,12,32,5,0,209,912,73,289,73,14,1361,43,1,4,2,0,50,1620
