President of the United States,,,,,,,,,,,,,,,,,
,,MITT ROMNEY (R),,,,,BARACK OBAMA (I)(D),,,,,GARY JOHNSON (L),,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Total
001 Harbins A,3941,913,132,816,2,1863,571,35,498,4,1108,29,2,14,0,45,3016
002 Rockbridge A,2637,387,61,202,2,652,681,39,601,9,1330,16,0,3,0,19,2001
003 Dacula,3317,627,70,626,0,1323,506,34,617,4,1161,18,1,0,1,20,2504
004 Suwanee A,1166,349,33,146,1,529,229,19,108,0,356,14,1,2,0,17,902
005 Baycreek A,2325,772,110,331,0,1213,368,22,258,0,648,15,1,1,0,17,1878
006 Goodwins A,2968,789,76,261,4,1130,661,42,293,5,1001,39,1,3,0,43,2174
007 Duluth A,3596,1002,180,390,1,1573,619,74,368,7,1068,38,2,4,0,44,2685
008 Duncans A,3367,1085,183,840,1,2109,274,41,245,0,560,23,5,9,0,37,2706
009 Pucketts A,3437,1325,148,543,0,2016,416,33,186,1,636,27,1,3,0,31,2683
010 Cates A,2007,585,148,299,1,1033,264,27,180,1,472,13,1,2,1,17,1522
011 Berkshire A,1733,295,31,96,2,424,466,23,177,2,668,8,0,1,0,9,1101
012 Berkshire B,3511,345,99,316,0,760,805,48,779,4,1636,20,2,5,0,27,2423
013 Duncans C,2384,895,102,548,1,1546,212,19,154,1,386,13,1,2,0,16,1948
014 Garners A,2972,1058,160,401,1,1620,457,43,183,4,687,30,2,7,0,39,2346
015 Lawrenceville A,2743,473,118,341,3,935,466,99,318,2,885,14,1,1,0,16,1836
016 Lawrenceville B,3364,623,63,323,2,1011,714,60,669,1,1444,27,2,4,0,33,2488
017 Martins A,2074,249,17,89,3,358,687,28,364,6,1085,8,1,3,0,12,1455
018 Martins B,2212,436,34,127,0,597,622,28,302,5,957,12,5,5,0,22,1576
019 Martins C,1836,508,48,144,0,700,445,26,168,4,643,18,3,2,0,23,1366
020 Pinckneyville A,1695,176,15,37,0,228,568,18,290,6,882,18,0,4,0,22,1132
