ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1,XCOORD,YCOORD
884305,0.27,1585,121UC034,121UC034,UC034,UC034,60,FULTON,121,black,49669.000098,-84.528968,33.544846
906458,1.42,489,063RD02,063RD02,RD02,RIVERDALE 2,31,CLAYTON,063,black,48828.143693,-84.427636,33.534674
906514,1.25,460,063JB12,063JB12,JB12,JONESBORO 12,31,CLAYTON,063,black,52807.999992,-84.411812,33.530192
906550,1.38,499,063RD12,063RD12,RD12,RIVERDALE 12,31,CLAYTON,063,black,56430.657347,-84.424082,33.552208
865539,2.71,1527,121SC212,121SC212,SC212,SC212,60,FULTON,121,black,49669,-84.546541,33.5429
865657,1.93,1424,121FA01B,121FA01B,FA01B,FA01B,60,FULTON,121,black,49669,-84.55436,33.5456
856612,15.12,1423,121FA01A,121FA01A,FA01A,FA01A,60,FULTON,121,black,60801.42122,-84.596518,33.550136
4914136,2.82,1659,1352,1352,2,ROCKBRIDGE A,67,GWINNETT,135,black,66640.999035,-84.047125,33.795052
4914201,3.08,1732,13575,13575,75,ROCKBRIDGE C,67,GWINNETT,135,black,68494.688622,-84.046614,33.814358
848913,11.04,1469,121PA01,121PA01,PA01,PA01,60,FULTON,121,white,45172.561216,-84.668609,33.53315
849089,0.02,1400,121CH04B,121CH04B,CH04B,CH04B,60,FULTON,121,white,41282,-84.664623,33.537226
1060127,1.93,465,063JB17,063JB17,JB17,JONESBORO 17,31,CLAYTON,063,black,43596.168304,-84.397009,33.505534
1060189,1.49,450,063JB02,063JB02,JB02,JONESBORO 2,31,CLAYTON,063,black,49034.330772,-84.400027,33.533033
1060238,1.33,496,063RD09,063RD09,RD09,RIVERDALE 9,31,CLAYTON,063,black,50495.831189,-84.403936,33.552853
1060297,0.98,464,063JB16,063JB16,JB16,JONESBORO 16,31,CLAYTON,063,black,40743.044887,-84.386491,33.530131
1060357,1.12,492,063RD05,063RD05,RD05,RIVERDALE 5,31,CLAYTON,063,black,50020.999924,-84.387697,33.549281
1060412,4.09,451,063JB03,063JB03,JB03,JONESBORO 3,31,CLAYTON,063,black,56598.590897,-84.366083,33.509444
1060513,1.51,458,063JB10,063JB10,JB10,JONESBORO 10,31,CLAYTON,063,black,44499.255263,-84.375385,33.523475
