,county,dem_votes,precinct,rep_votes,total,prop
1246,FULTON,64,04C,0,64,0.0
1489,FULTON,35,SC17A,0,35,0.0
1241,FULTON,18,03P2,0,18,0.0
1475,FULTON,56,SC08C,0,56,0.0
1479,FULTON,2,SC08G,0,2,0.0
1477,FULTON,270,SC08E,1,271,0.00369003690037
959,DEKALB,486,WADSWORTH ELEM - 05,2,488,0.00409836065574
341,CHATHAM,925,8-11 Butler Elem School,6,931,0.00644468313641
1009,DOUGHERTY,1252,Jackson Heights Elem,12,1264,0.00949367088608
1251,FULTON,398,04J,4,402,0.00995024875622
340,CHATHAM,989,8-10 Carver Heights Comm Ctr,10,999,0.01001001001
1319,FULTON,1183,10C,12,1195,0.0100418410042
817,DEKALB,744,COLUMBIA ELEM,8,752,0.0106382978723
1229,FULTON,183,03B,2,185,0.0108108108108
1335,FULTON,482,11E2,6,488,0.0122950819672
1258,FULTON,640,04W,8,648,0.0123456790123
1395,FULTON,80,CP083,1,81,0.0123456790123
1005,DOUGHERTY,639,Shiloh Baptist Church,8,647,0.0123647604328
1211,FULTON,549,01R,7,556,0.0125899280576
1321,FULTON,509,10E,7,516,0.0135658914729
1324,FULTON,206,10H1,3,209,0.0143540669856
1004,DOUGHERTY,803,Carver Teen Center,12,815,0.0147239263804
1542,FULTON,200,UC01B,3,203,0.0147783251232
304,CHATHAM,1444,5-05 Liberty City Comm Ctr,22,1466,0.0150068212824
339,CHATHAM,701,8-09 Moses Jackson Ctr,11,712,0.0154494382022
1317,FULTON,1621,10A,26,1647,0.0157862780814
1346,FULTON,556,12D,9,565,0.0159292035398
1502,FULTON,555,SC30B,9,564,0.0159574468085
1002,DOUGHERTY,1787,Mt. Zion Center,29,1816,0.0159691629956
1257,FULTON,1157,04V,19,1176,0.016156462585
1354,FULTON,243,12L,4,247,0.0161943319838
1351,FULTON,419,12I,7,426,0.0164319248826
905,DEKALB,2569,OAK VIEW ELEM,43,2612,0.0164624808576
1256,FULTON,531,04T,9,540,0.0166666666667
1401,FULTON,1001,EP04-13,17,1018,0.016699410609
1470,FULTON,408,SC05A,7,415,0.0168674698795
1020,DOUGHERTY,641,Lovett Hall,11,652,0.0168711656442
336,CHATHAM,456,8-06 Tompkins Rec Ctr,8,464,0.0172413793103
338,CHATHAM,840,8-08 Resur Of Our Lord Ch,15,855,0.0175438596491
893,DEKALB,2004,MILLER GROVE MIDDLE,36,2040,0.0176470588235
1390,FULTON,55,CP05B,1,56,0.0178571428571
1493,FULTON,110,SC19A,2,112,0.0178571428571
855,DEKALB,2200,HARRIS-NARVIE J. HARRIS ELEM,40,2240,0.0178571428571
1333,FULTON,1813,11C,33,1846,0.0178764897075
1341,FULTON,1527,11M,28,1555,0.0180064308682
2311,RICHMOND,545,203,10,555,0.018018018018
1242,FULTON,322,03S,6,328,0.0182926829268
1352,FULTON,1169,12J,22,1191,0.0184718723762
1254,FULTON,313,04M,6,319,0.0188087774295
1343,FULTON,939,11P,18,957,0.0188087774295
1255,FULTON,1079,04S,21,1100,0.0190909090909
1314,FULTON,507,09I,10,517,0.0193423597679
1003,DOUGHERTY,498,Alice Coachman Elem,10,508,0.0196850393701
1396,FULTON,199,CP08A,4,203,0.0197044334975
1308,FULTON,1433,09C,29,1462,0.0198358413133
1337,FULTON,931,11G,19,950,0.02
