,PRECINCT_N,XCOORD,YCOORD,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct
0,UC034,-84.528968,33.544846,884305,0.27,1585,121UC034,121UC034,UC034,60,FULTON,121,black,49669,UC034
1,RIVERDALE 2,-84.427636,33.534674,906458,1.42,489,063RD02,063RD02,RD02,31,CLAYTON,63,black,48828,RIVERDALE 2
2,JONESBORO 12,-84.411812,33.530192,906514,1.25,460,063JB12,063JB12,JB12,31,CLAYTON,63,black,52807,JONESBORO 12
3,RIVERDALE 12,-84.424082,33.552208,906550,1.38,499,063RD12,063RD12,RD12,31,CLAYTON,63,black,56430,RIVERDALE 12
4,SC212,-84.546541,33.5429,865539,2.71,1527,121SC212,121SC212,SC212,60,FULTON,121,black,49669,SC212
5,FA01B,-84.55436,33.5456,865657,1.93,1424,121FA01B,121FA01B,FA01B,60,FULTON,121,black,49669,FA01B
6,FA01A,-84.596518,33.550136,856612,15.12,1423,121FA01A,121FA01A,FA01A,60,FULTON,121,black,60801,FA01A
7,ROCKBRIDGE A,-84.047125,33.795052,4914136,2.82,1659,1352,1352,2,67,GWINNETT,135,black,66640,ROCKBRIDGE A
8,ROCKBRIDGE C,-84.046614,33.814358,4914201,3.08,1732,13575,13575,75,67,GWINNETT,135,black,68494,ROCKBRIDGE C
9,PA01,-84.668609,33.53315,848913,11.04,1469,121PA01,121PA01,PA01,60,FULTON,121,white,45172,PA01
10,CH04B,-84.664623,33.537226,849089,0.02,1400,121CH04B,121CH04B,CH04B,60,FULTON,121,white,41282,CH04B
11,JONESBORO 17,-84.397009,33.505534,1060127,1.93,465,063JB17,063JB17,JB17,31,CLAYTON,63,black,43596,JONESBORO 17
12,JONESBORO 2,-84.400027,33.533033,1060189,1.49,450,063JB02,063JB02,JB02,31,CLAYTON,63,black,49034,JONESBORO 2
13,RIVERDALE 9,-84.403936,33.552853,1060238,1.33,496,063RD09,063RD09,RD09,31,CLAYTON,63,black,50495,RIVERDALE 9
14,JONESBORO 16,-84.386491,33.530131,1060297,0.98,464,063JB16,063JB16,JB16,31,CLAYTON,63,black,40743,JONESBORO 16
15,RIVERDALE 5,-84.387697,33.549281,1060357,1.12,492,063RD05,063RD05,RD05,31,CLAYTON,63,black,50020,RIVERDALE 5
16,JONESBORO 3,-84.366083,33.509444,1060412,4.09,451,063JB03,063JB03,JB03,31,CLAYTON,63,black,56598,JONESBORO 3
17,JONESBORO 10,-84.375385,33.523475,1060513,1.51,458,063JB10,063JB10,JB10,31,CLAYTON,63,black,44499,JONESBORO 10
18,JONESBORO 9,-84.371466,33.547033,1060578,1.26,457,063JB09,063JB09,JB09,31,CLAYTON,63,black,35822,JONESBORO 9
19,FLAT ROCK ELEM,-84.143566,33.64892,4876383,2.44,847,089FG,089FG,FG,44,DEKALB,89,black,64793,FLAT ROCK ELEM
