,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
0,0.0,884305.0,0.27,1585.0,121UC034,121UC034,UC034,UC034,60.0,FULTON,121.0,black,49669.0,UC034,36.0,2.0,15.0,17.0,0.0,0.0,FULTON,both
1,1.0,906458.0,1.42,489.0,063RD02,063RD02,RD02,RIVERDALE 2,31.0,CLAYTON,63.0,black,48828.0,RIVERDALE 2,2329.0,62.0,1021.0,1093.0,0.0,0.0,CLAYTON,both
2,2.0,906514.0,1.25,460.0,063JB12,063JB12,JB12,JONESBORO 12,31.0,CLAYTON,63.0,black,52807.0,JONESBORO 12,2062.0,83.0,864.0,957.0,0.0,0.0,CLAYTON,both
3,3.0,906550.0,1.38,499.0,063RD12,063RD12,RD12,RIVERDALE 12,31.0,CLAYTON,63.0,black,56430.0,RIVERDALE 12,2214.0,92.0,1075.0,1178.0,0.0,0.0,CLAYTON,both
4,4.0,865539.0,2.71,1527.0,121SC212,121SC212,SC212,SC212,60.0,FULTON,121.0,black,49669.0,SC212,2250.0,55.0,1007.0,1066.0,0.0,0.0,FULTON,both
5,5.0,865657.0,1.93,1424.0,121FA01B,121FA01B,FA01B,FA01B,60.0,FULTON,121.0,black,49669.0,FA01B,506.0,9.0,227.0,241.0,0.0,0.0,FULTON,both
6,6.0,856612.0,15.12,1423.0,121FA01A,121FA01A,FA01A,FA01A,60.0,FULTON,121.0,black,60801.0,FA01A,6066.0,391.0,2580.0,2992.0,0.0,0.0,FULTON,both
7,7.0,4914136.0,2.82,1659.0,1352,1352,2,ROCKBRIDGE A,67.0,GWINNETT,135.0,black,66640.0,ROCKBRIDGE A,2685.0,417.0,931.0,1376.0,0.0,0.0,GWINNETT,both
8,8.0,4914201.0,3.08,1732.0,13575,13575,75,ROCKBRIDGE C,67.0,GWINNETT,135.0,black,68494.0,ROCKBRIDGE C,3512.0,499.0,1476.0,2013.0,0.0,0.0,GWINNETT,both
9,9.0,848913.0,11.04,1469.0,121PA01,121PA01,PA01,PA01,60.0,FULTON,121.0,white,45172.0,PA01,1916.0,57.0,213.0,271.0,0.0,0.0,FULTON,both
10,10.0,849089.0,0.02,1400.0,121CH04B,121CH04B,CH04B,CH04B,60.0,FULTON,121.0,white,41282.0,CH04B,,,,,,,,left_only
11,11.0,1060127.0,1.93,465.0,063JB17,063JB17,JB17,JONESBORO 17,31.0,CLAYTON,63.0,black,43596.0,JONESBORO 17,3337.0,120.0,1453.0,1591.0,0.0,0.0,CLAYTON,both
12,12.0,1060189.0,1.49,450.0,063JB02,063JB02,JB02,JONESBORO 2,31.0,CLAYTON,63.0,black,49034.0,JONESBORO 2,3076.0,85.0,1392.0,1487.0,0.0,0.0,CLAYTON,both
13,13.0,1060238.0,1.33,496.0,063RD09,063RD09,RD09,RIVERDALE 9,31.0,CLAYTON,63.0,black,50495.0,RIVERDALE 9,2022.0,105.0,839.0,956.0,0.0,0.0,CLAYTON,both
14,14.0,1060297.0,0.98,464.0,063JB16,063JB16,JB16,JONESBORO 16,31.0,CLAYTON,63.0,black,40743.0,JONESBORO 16,1572.0,78.0,570.0,667.0,0.0,0.0,CLAYTON,both
15,15.0,1060357.0,1.12,492.0,063RD05,063RD05,RD05,RIVERDALE 5,31.0,CLAYTON,63.0,black,50020.0,RIVERDALE 5,2175.0,106.0,932.0,1051.0,0.0,0.0,CLAYTON,both
16,16.0,1060412.0,4.09,451.0,063JB03,063JB03,JB03,JONESBORO 3,31.0,CLAYTON,63.0,black,56598.0,JONESBORO 3,2850.0,289.0,1216.0,1526.0,0.0,0.0,CLAYTON,both
17,17.0,1060513.0,1.51,458.0,063JB10,063JB10,JB10,JONESBORO 10,31.0,CLAYTON,63.0,black,44499.0,JONESBORO 10,2241.0,115.0,786.0,920.0,0.0,0.0,CLAYTON,both
18,18.0,1060578.0,1.26,457.0,063JB09,063JB09,JB09,JONESBORO 9,31.0,CLAYTON,63.0,black,35822.0,JONESBORO 9,1049.0,95.0,321.0,428.0,0.0,0.0,CLAYTON,both
19,19.0,4876383.0,2.44,847.0,089FG,089FG,FG,FLAT ROCK ELEM,44.0,DEKALB,89.0,black,64793.0,FLAT ROCK ELEM,2357.0,51.0,1257.0,1317.0,0.0,0.0,DEKALB,both
20,20.0,4876418.0,8.53,812.0,089CF,089CF,CF,CANDLER-MURPHEY CAND,44.0,DEKALB,89.0,black,64793.0,CANDLER-MURPHEY CAND,2267.0,114.0,1108.0,1229.0,0.0,0.0,DEKALB,both
21,21.0,4865051.0,1.23,1435.0,121JC08,121JC08,JC08,JC08,60.0,FULTON,121.0,white,126335.0,JC08,2333.0,756.0,459.0,1242.0,0.0,0.0,FULTON,both
22,22.0,4865113.0,0.72,1432.0,121JC05,121JC05,JC05,JC05,60.0,FULTON,121.0,,98246.0,JC05,1795.0,447.0,312.0,772.0,0.0,0.0,FULTON,both
23,23.0,4865156.0,0.13,1431.0,121JC04B,121JC04B,JC04B,JC04B,60.0,FULTON,121.0,white,113558.0,JC04B,209.0,51.0,36.0,88.0,0.0,0.0,FULTON,both
24,24.0,4865181.0,0.16,1428.0,121JC03A,121JC03A,JC03A,JC03A,60.0,FULTON,121.0,,98246.0,JC03A,462.0,136.0,76.0,213.0,0.0,0.0,FULTON,both
25,25.0,4865211.0,1.44,1430.0,121JC04A,121JC04A,JC04A,JC04A,60.0,FULTON,121.0,white,163061.0,JC04A,3539.0,1042.0,620.0,1683.0,0.0,0.0,FULTON,both
26,26.0,4865253.0,0.56,1429.0,121JC03B,121JC03B,JC03B,JC03B,60.0,FULTON,121.0,,98246.0,JC03B,1156.0,269.0,240.0,520.0,0.0,0.0,FULTON,both
27,27.0,4865282.0,1.73,1433.0,121JC06,121JC06,JC06,JC06,60.0,FULTON,121.0,white,126336.0,JC06,2210.0,740.0,293.0,1044.0,0.0,0.0,FULTON,both
28,28.0,4865324.0,2.33,1768.0,135111,135111,111,DULUTH H,67.0,GWINNETT,135.0,,76509.0,DULUTH H,1991.0,558.0,344.0,923.0,0.0,0.0,GWINNETT,both
29,29.0,4865372.0,2.66,1427.0,121JC02,121JC02,JC02,JC02,60.0,FULTON,121.0,,119965.0,JC02,1383.0,362.0,243.0,614.0,0.0,0.0,FULTON,both
30,30.0,4655028.0,1.47,846.0,089FE,089FE,FE,FLAT SHOALS PARKWAY,44.0,DEKALB,89.0,black,65591.0,FLAT SHOALS PARKWAY,2766.0,58.0,1547.0,1619.0,0.0,0.0,DEKALB,both
31,31.0,4655092.0,1.21,813.0,089CG,089CG,CG,CHAPEL HILL ELEM,44.0,DEKALB,89.0,black,72421.0,CHAPEL HILL ELEM,2585.0,53.0,1454.0,1517.0,0.0,0.0,DEKALB,both
32,32.0,4655353.0,3.45,871.0,089KD,089KD,KD,KING-ML KING JR HIGH,44.0,DEKALB,89.0,black,75793.0,KING-ML KING JR HIGH,3355.0,54.0,2002.0,2065.0,0.0,0.0,DEKALB,both
33,33.0,4655418.0,2.46,803.0,089BJ,089BJ,BJ,BROWNS MILL ELEM,44.0,DEKALB,89.0,black,69589.0,BROWNS MILL ELEM,3026.0,80.0,1748.0,1843.0,0.0,0.0,DEKALB,both
34,34.0,4646997.0,1.98,912.0,089OV,089OV,OV,OAK VIEW ELEM,44.0,DEKALB,89.0,black,51142.0,OAK VIEW ELEM,3621.0,51.0,1825.0,1887.0,0.0,0.0,DEKALB,both
35,35.0,4647062.0,3.26,862.0,089HH,089HH,HH,NARVIE J HARRIS ELEM,44.0,DEKALB,89.0,black,59598.0,NARVIE J HARRIS ELEM,,,,,,,,left_only
36,36.0,4647130.0,1.67,849.0,089FK,089FK,FK,FLAKES MILL FIRE STA,44.0,DEKALB,89.0,black,74727.0,FLAKES MILL FIRE STA,1534.0,33.0,800.0,839.0,0.0,0.0,DEKALB,both
37,37.0,4637993.0,0.79,937.0,089SB,089SB,SB,SCOTT,44.0,DEKALB,89.0,white,70105.0,SCOTT,2045.0,267.0,878.0,1170.0,0.0,0.0,DEKALB,both
38,38.0,4638066.0,0.87,887.0,089MG,089MG,MG,MEDLOCK,44.0,DEKALB,89.0,white,69707.0,MEDLOCK,,,,,,,,left_only
39,39.0,4638128.0,1.03,816.0,089CJ,089CJ,CJ,CLAIRMONT ROAD,44.0,DEKALB,89.0,white,79524.0,CLAIRMONT ROAD,2676.0,378.0,965.0,1374.0,0.0,0.0,DEKALB,both
40,40.0,4638195.0,1.59,456.0,063JB08,063JB08,JB08,JONESBORO 8,31.0,CLAYTON,63.0,black,44427.0,JONESBORO 8,2620.0,60.0,907.0,975.0,0.0,0.0,CLAYTON,both
41,41.0,4638260.0,1.29,480.0,063MO8,063MO8,MO8,MORROW 8,31.0,CLAYTON,63.0,black,54253.0,MORROW 8,2143.0,87.0,1098.0,1193.0,0.0,0.0,CLAYTON,both
42,42.0,4638309.0,2.92,477.0,063MO5,063MO5,MO5,MORROW 5,31.0,CLAYTON,63.0,black,64404.0,MORROW 5,3588.0,325.0,1684.0,2037.0,0.0,0.0,CLAYTON,both
43,43.0,4544214.0,1.9,494.0,063RD07,063RD07,RD07,RIVERDALE 7,31.0,CLAYTON,63.0,black,39854.0,RIVERDALE 7,1766.0,96.0,524.0,636.0,0.0,0.0,CLAYTON,both
44,44.0,4544279.0,4.62,445.0,063FP3,063FP3,FP3,FOREST PARK 3,31.0,CLAYTON,63.0,,35993.0,FOREST PARK 3,1628.0,149.0,540.0,699.0,0.0,0.0,CLAYTON,both
45,45.0,4544380.0,1.68,493.0,063RD06,063RD06,RD06,RIVERDALE 6,31.0,CLAYTON,63.0,black,36949.0,RIVERDALE 6,2371.0,148.0,705.0,867.0,0.0,0.0,CLAYTON,both
46,46.0,4544453.0,2.31,463.0,063JB15,063JB15,JB15,JONESBORO 15,31.0,CLAYTON,63.0,black,35178.0,JONESBORO 15,1955.0,114.0,621.0,749.0,0.0,0.0,CLAYTON,both
47,47.0,4544524.0,2.33,447.0,063FP5,063FP5,FP5,FOREST PARK 5,31.0,CLAYTON,63.0,,37037.0,FOREST PARK 5,2507.0,217.0,705.0,940.0,0.0,0.0,CLAYTON,both
48,48.0,4544594.0,0.86,448.0,063FP6,063FP6,FP6,FOREST PARK 6,31.0,CLAYTON,63.0,,46613.0,FOREST PARK 6,1011.0,163.0,317.0,485.0,0.0,0.0,CLAYTON,both
49,49.0,4538463.0,1.88,491.0,063RD04,063RD04,RD04,RIVERDALE 4,31.0,CLAYTON,63.0,black,49299.0,RIVERDALE 4,3183.0,138.0,1184.0,1334.0,0.0,0.0,CLAYTON,both
50,50.0,4030419.0,0.78,1349.0,12111J,12111J,11J,11J,60.0,FULTON,121.0,black,41628.0,11J,1457.0,13.0,733.0,748.0,0.0,0.0,FULTON,both
51,51.0,4030469.0,3.18,1529.0,121SC23A,121SC23A,SC23A,SC23A,60.0,FULTON,121.0,black,56054.0,SC23A,4037.0,51.0,2019.0,2080.0,0.0,0.0,FULTON,both
52,52.0,4030538.0,1.17,498.0,063RD11,063RD11,RD11,RIVERDALE 11,31.0,CLAYTON,63.0,black,65591.0,RIVERDALE 11,1394.0,69.0,745.0,825.0,0.0,0.0,CLAYTON,both
53,53.0,4030602.0,0.97,1531.0,121SC27,121SC27,SC27,SC27,60.0,FULTON,121.0,black,43809.0,SC27,1781.0,24.0,1014.0,1045.0,0.0,0.0,FULTON,both
54,54.0,4030651.0,0.38,1416.0,121CP083,121CP083,CP083,CP083,60.0,FULTON,121.0,black,41166.0,CP083,,,,,,,,left_only
55,55.0,4030710.0,0.2,1418.0,121CP08A,121CP08A,CP08A,CP08A,60.0,FULTON,121.0,white,57248.0,CP08A,,,,,,,,left_only
56,56.0,4030748.0,1.94,495.0,063RD08,063RD08,RD08,RIVERDALE 8,31.0,CLAYTON,63.0,black,62179.0,RIVERDALE 8,2115.0,137.0,1135.0,1289.0,0.0,0.0,CLAYTON,both
57,57.0,4013924.0,3.46,1504.0,121SC08B,121SC08B,SC08B,SC08B,60.0,FULTON,121.0,black,43010.0,SC08B,2592.0,50.0,1345.0,1406.0,0.0,0.0,FULTON,both
58,58.0,4014046.0,1.22,1532.0,121SC29A,121SC29A,SC29A,SC29A,60.0,FULTON,121.0,black,49669.0,SC29A,2336.0,25.0,1268.0,1300.0,0.0,0.0,FULTON,both
59,59.0,4014094.0,0.71,1530.0,121SC23B,121SC23B,SC23B,SC23B,60.0,FULTON,121.0,black,54597.0,SC23B,369.0,12.0,183.0,198.0,0.0,0.0,FULTON,both
