County Name,County Code,County Precinct,Precinct Description,Combo#,Cong,Senat,House,Judic,Ward,Schol,Watbd,Supcm,Schob,Fire,Cityl,Commi,Munib,Unnamed: 18
CLAYTON,31,88888,88888,0,99999,99999,99999,99999,,,,,,,,99999,,
CLAYTON,31,99999,99999,0,99999,99999,99999,99999,,,,,,,,99999,,
CLAYTON,31,EW1,ELLENWOOD,438,5,44,76,6,,8,,,,,,1,,
CLAYTON,31,FP1,FOREST PARK 1,402,5,34,60,6,,4,,,,,,2,,
CLAYTON,31,FP1,FOREST PARK 1,403,5,34,60,6,,4,,,,,1,2,,
CLAYTON,31,FP1,FOREST PARK 1,404,5,34,60,6,,4,,,,,2,2,,
CLAYTON,31,FP1,FOREST PARK 1,405,5,34,60,6,,4,,,,,3,2,,
CLAYTON,31,FP1,FOREST PARK 1,406,5,34,60,6,,4,,,,,4,2,,
CLAYTON,31,FP2,FOREST PARK 2,407,5,34,60,6,,8,,,,,,1,,
CLAYTON,31,FP2,FOREST PARK 2,408,5,34,60,6,,8,,,,,3,1,,
CLAYTON,31,FP2,FOREST PARK 2,478,5,34,60,6,,4,,,,,,1,,
CLAYTON,31,FP2,FOREST PARK 2,479,5,34,60,6,,4,,,,,3,1,,
CLAYTON,31,FP2,FOREST PARK 2,480,5,34,60,6,,4,,,,,1,1,,
CLAYTON,31,FP3,FOREST PARK 3,405,5,34,60,6,,4,,,,,3,2,,
CLAYTON,31,FP3,FOREST PARK 3,410,5,34,74,6,,4,,,,,,2,,
CLAYTON,31,FP3,FOREST PARK 3,411,5,34,74,6,,4,,,,,4,2,,
CLAYTON,31,FP3,FOREST PARK 3,412,5,34,74,6,,4,,,,,2,2,,
CLAYTON,31,FP3,FOREST PARK 3,413,5,34,74,6,,7,,,,,4,2,,
CLAYTON,31,FP3,FOREST PARK 3,414,5,34,74,6,,7,,,,,5,2,,
CLAYTON,31,FP3,FOREST PARK 3,419,5,34,74,6,,7,,,,,,2,,
CLAYTON,31,FP3,FOREST PARK 3,494,5,34,74,6,,4,,,,,3,2,,
CLAYTON,31,FP3,FOREST PARK 3,495,5,34,74,6,,7,,,,,2,2,,
CLAYTON,31,FP3,FOREST PARK 3,496,5,34,74,6,,7,,,,,3,2,,
CLAYTON,31,FP4,FOREST PARK 4,415,5,34,74,6,,7,,,,,5,1,,
CLAYTON,31,FP4,FOREST PARK 4,416,5,34,74,6,,7,,,,,,1,,
CLAYTON,31,FP4,FOREST PARK 4,417,5,34,74,6,,7,,,,,LRG,1,,
CLAYTON,31,FP4,FOREST PARK 4,418,5,34,74,6,,7,,,,,LRG,1,,
CLAYTON,31,FP4,FOREST PARK 4,470,5,34,74,6,,7,,,,,LRG,2,,
CLAYTON,31,FP5,FOREST PARK 5,413,5,34,74,6,,7,,,,,4,2,,
CLAYTON,31,FP5,FOREST PARK 5,414,5,34,74,6,,7,,,,,5,2,,
CLAYTON,31,FP5,FOREST PARK 5,419,5,34,74,6,,7,,,,,,2,,
CLAYTON,31,FP6,FOREST PARK 6,415,5,34,74,6,,7,,,,,5,1,,
CLAYTON,31,FP6,FOREST PARK 6,416,5,34,74,6,,7,,,,,,1,,
CLAYTON,31,FP6,FOREST PARK 6,418,5,34,74,6,,7,,,,,LRG,1,,
CLAYTON,31,JB01,JONESBORO 1,420,13,34,75,6,,2,,,,,,3,,
CLAYTON,31,JB02,JONESBORO 2,421,13,34,77,6,,2,,,,,,3,,
CLAYTON,31,JB02,JONESBORO 2,422,13,34,77,6,,2,,,,,LRG,3,,
CLAYTON,31,JB03,JONESBORO 3,423,13,44,75,6,,6,,,,,,3,,
CLAYTON,31,JB03,JONESBORO 3,424,13,44,75,6,,6,,,,,LRG,3,,
CLAYTON,31,JB03,JONESBORO 3,429,13,44,78,6,,6,,,,,LRG,4,,
CLAYTON,31,JB03,JONESBORO 3,430,13,44,78,6,,6,,,,,,4,,
CLAYTON,31,JB03,JONESBORO 3,481,13,44,75,6,,5,,,,,LRG,4,,
CLAYTON,31,JB03,JONESBORO 3,482,13,44,78,6,,5,,,,,LRG,4,,
CLAYTON,31,JB03,JONESBORO 3,483,13,44,75,6,,5,,,,,,4,,
CLAYTON,31,JB04,JONESBORO 4,427,13,34,75,6,,5,,,,,,4,,
CLAYTON,31,JB04,JONESBORO 4,428,13,34,75,6,,5,,,,,LRG,4,,
CLAYTON,31,JB05,JONESBORO 5,429,13,44,78,6,,6,,,,,LRG,4,,
CLAYTON,31,JB05,JONESBORO 5,430,13,44,78,6,,6,,,,,,4,,
CLAYTON,31,JB05,JONESBORO 5,482,13,44,78,6,,5,,,,,LRG,4,,
CLAYTON,31,JB06,JONESBORO 6,430,13,44,78,6,,6,,,,,,4,,
CLAYTON,31,JB07,JONESBORO 7,483,13,44,75,6,,5,,,,,,4,,
CLAYTON,31,JB08,JONESBORO 8,432,5,44,78,6,,9,,,,,,1,,
CLAYTON,31,JB09,JONESBORO 9,433,13,34,77,6,,5,,,,,,4,,
CLAYTON,31,JB10,JONESBORO 10,427,13,34,75,6,,5,,,,,,4,,
CLAYTON,31,JB10,JONESBORO 10,434,13,34,75,6,,6,,,,,,4,,
CLAYTON,31,JB10,JONESBORO 10,473,13,34,75,6,,6,,,,,,3,,
CLAYTON,31,JB11,JONESBORO 11,430,13,44,78,6,,6,,,,,,4,,
CLAYTON,31,JB11,JONESBORO 11,431,13,44,75,6,,6,,,,,,4,,
CLAYTON,31,JB11,JONESBORO 11,481,13,44,75,6,,5,,,,,LRG,4,,
CLAYTON,31,JB11,JONESBORO 11,483,13,44,75,6,,5,,,,,,4,,
CLAYTON,31,JB12,JONESBORO 12,421,13,34,77,6,,2,,,,,,3,,
CLAYTON,31,JB13,JONESBORO 13,423,13,44,75,6,,6,,,,,,3,,
CLAYTON,31,JB14,JONESBORO 14,430,13,44,78,6,,6,,,,,,4,,
CLAYTON,31,JB15,JONESBORO 15,459,13,34,77,6,,7,,,,,,4,,
CLAYTON,31,JB15,JONESBORO 15,492,13,34,77,6,,7,,,,,LRG,4,,
CLAYTON,31,JB16,JONESBORO 16,486,13,34,77,6,,2,,,,,,4,,
CLAYTON,31,JB17,JONESBORO 17,420,13,34,75,6,,2,,,,,,3,,
CLAYTON,31,JB17,JONESBORO 17,473,13,34,75,6,,6,,,,,,3,,
CLAYTON,31,JB18,JONESBORO 18,483,13,44,75,6,,5,,,,,,4,,
CLAYTON,31,LC1,LAKE CITY,438,5,44,76,6,,8,,,,,,1,,
CLAYTON,31,LC1,LAKE CITY,439,5,44,76,6,,8,,,,,LRG,1,,
CLAYTON,31,LC1,LAKE CITY,440,5,44,74,6,,8,,,,,LRG,1,,
CLAYTON,31,LC1,LAKE CITY,476,5,44,74,6,,8,,,,,LRG,1,,
CLAYTON,31,LC1,LAKE CITY,477,5,44,74,6,,8,,,,,,1,,
CLAYTON,31,LJ1,LOVEJOY 1,423,13,44,75,6,,6,,,,,,3,,
CLAYTON,31,LJ1,LOVEJOY 1,430,13,44,78,6,,6,,,,,,4,,
CLAYTON,31,LJ2,LOVEJOY 2,436,13,44,78,6,,1,,,,,,4,,
