,PRECINCT_N,ajc_precinct
0,UC034,UC034
1,RIVERDALE 2,RIVERDALE 2
2,JONESBORO 12,JONESBORO 12
3,RIVERDALE 12,RIVERDALE 12
4,SC212,SC212
5,FA01B,FA01B
6,FA01A,FA01A
7,ROCKBRIDGE A,ROCKBRIDGE A
8,ROCKBRIDGE C,ROCKBRIDGE C
9,PA01,PA01
10,CH04B,CH04B
11,JONESBORO 17,JONESBORO 17
12,JONESBORO 2,JONESBORO 2
13,RIVERDALE 9,RIVERDALE 9
14,JONESBORO 16,JONESBORO 16
15,RIVERDALE 5,RIVERDALE 5
16,JONESBORO 3,JONESBORO 3
17,JONESBORO 10,JONESBORO 10
18,JONESBORO 9,JONESBORO 9
19,FLAT ROCK ELEM,FLAT ROCK ELEM
20,CANDLER-MURPHEY CAND,CANDLER-MURPHEY CAND
21,JC08,JC08
22,JC05,JC05
23,JC04B,JC04B
24,JC03A,JC03A
25,JC04A,JC04A
26,JC03B,JC03B
27,JC06,JC06
28,DULUTH H,DULUTH H
29,JC02,JC02
30,FLAT SHOALS PARKWAY,FLAT SHOALS PARKWAY
31,CHAPEL HILL ELEM,CHAPEL HILL ELEM
32,KING-ML KING JR HIGH,KING-ML KING JR HIGH
33,BROWNS MILL ELEM,BROWNS MILL ELEM
34,OAK VIEW ELEM,OAK VIEW ELEM
35,NARVIE J HARRIS ELEM,HARRIS-NARVIE J. HAR
36,FLAKES MILL FIRE STA,FLAKES MILL FIRE STA
37,SCOTT,SCOTT
38,MEDLOCK,MEDLOCK ELEM
39,CLAIRMONT ROAD,CLAIRMONT ROAD
40,JONESBORO 8,JONESBORO 8
41,MORROW 8,MORROW 8
42,MORROW 5,MORROW 5
43,RIVERDALE 7,RIVERDALE 7
44,FOREST PARK 3,FOREST PARK 3
45,RIVERDALE 6,RIVERDALE 6
46,JONESBORO 15,JONESBORO 15
47,FOREST PARK 5,FOREST PARK 5
48,FOREST PARK 6,FOREST PARK 6
49,RIVERDALE 4,RIVERDALE 4
50,11J,11J
51,SC23A,SC23A
52,RIVERDALE 11,RIVERDALE 11
53,SC27,SC27
54,CP083,CP083
55,CP08A,CP08A
56,RIVERDALE 8,RIVERDALE 8
57,SC08B,SC08B
58,SC29A,SC29A
59,SC23B,SC23B
60,SC09B,SC09B
61,SC11B,SC11B
62,SC11A,SC11A
63,SC08D,SC08D
64,UC01B,UC01B
65,SC09A,SC09A
66,UC01A,UC01A
67,UC031,UC031
68,SC08E,SC08E
69,UC035,UC035
70,UC01D,UC01D
71,SC17B,SC17B
72,SC07A,SC07A
73,CH03,CH03
74,CH02,CH02
75,CH01,CH01
76,SC04,SC04
77,CH05,CH05
78,CH04A,CH04A
79,JONESBORO 18,JONESBORO 18
80,JONESBORO 11,JONESBORO 11
81,JONESBORO 7,JONESBORO 7
82,JONESBORO 6,JONESBORO 6
83,UC032,UC032
84,SC211,SC211
85,JONESBORO 1,JONESBORO 1
86,PANHANDLE 1,PANHANDLE 1
87,JONESBORO 13,JONESBORO 13
88,LOVEJOY 4,LOVEJOY 4
89,LOVEJOY 5,LOVEJOY 5
90,PANHANDLE 2,PANHANDLE 2
91,JONESBORO 4,JONESBORO 4
92,LOVEJOY 3,LOVEJOY 3
93,LOVEJOY 1,LOVEJOY 1
94,LOVEJOY 2,LOVEJOY 2
95,JONESBORO 5,JONESBORO 5
96,JONESBORO 14,JONESBORO 14
97,BAYCREEK I,BAYCREEK I
98,BAYCREEK C,BAYCREEK C
99,LAWRENCEVILLE I,LAWRENCEVILLE I
