Precinct,County,CRUZ,J.,total
ELLENWOOD,Clayton,69,69,138
FOREST PARK 1,Clayton,69,69,138
FOREST PARK 2,Clayton,69,69,138
FOREST PARK 3,Clayton,69,69,138
FOREST PARK 4,Clayton,69,69,138
FOREST PARK 5,Clayton,69,69,138
FOREST PARK 6,Clayton,69,69,138
JONESBORO 1,Clayton,69,69,138
JONESBORO 2,Clayton,69,69,138
JONESBORO 3,Clayton,69,69,138
JONESBORO 4,Clayton,69,69,138
JONESBORO 5,Clayton,69,69,138
JONESBORO 6,Clayton,69,69,138
JONESBORO 7,Clayton,69,69,138
JONESBORO 8,Clayton,69,69,138
JONESBORO 9,Clayton,69,69,138
JONESBORO 10,Clayton,69,69,138
JONESBORO 11,Clayton,69,69,138
JONESBORO 12,Clayton,69,69,138
JONESBORO 13,Clayton,69,69,138
JONESBORO 14,Clayton,69,69,138
JONESBORO 15,Clayton,69,69,138
JONESBORO 16,Clayton,69,69,138
JONESBORO 17,Clayton,69,69,138
JONESBORO 18,Clayton,69,69,138
LAKE CITY,Clayton,69,69,138
LOVEJOY 1,Clayton,69,69,138
LOVEJOY 2,Clayton,69,69,138
LOVEJOY 3,Clayton,69,69,138
LOVEJOY 4,Clayton,69,69,138
LOVEJOY 5,Clayton,69,69,138
MORROW 1,Clayton,69,69,138
MORROW 2,Clayton,69,69,138
MORROW 3,Clayton,69,69,138
MORROW 4,Clayton,69,69,138
MORROW 5,Clayton,69,69,138
MORROW 6,Clayton,69,69,138
MORROW 7,Clayton,69,69,138
MORROW 8,Clayton,69,69,138
MORROW 9,Clayton,69,69,138
OAK 1,Clayton,69,69,138
OAK 2,Clayton,69,69,138
OAK 3,Clayton,69,69,138
OAK 4,Clayton,69,69,138
PANHANDLE 1,Clayton,69,69,138
PANHANDLE 2,Clayton,69,69,138
RIVERDALE 1,Clayton,69,69,138
RIVERDALE 2,Clayton,69,69,138
RIVERDALE 3,Clayton,69,69,138
RIVERDALE 4,Clayton,69,69,138
RIVERDALE 5,Clayton,69,69,138
RIVERDALE 6,Clayton,69,69,138
RIVERDALE 7,Clayton,69,69,138
RIVERDALE 8,Clayton,69,69,138
RIVERDALE 9,Clayton,69,69,138
RIVERDALE 10,Clayton,69,69,138
RIVERDALE 11,Clayton,69,69,138
RIVERDALE 12,Clayton,69,69,138
ACWORTH 1A,Cobb,69,69,138
ACWORTH 1B,Cobb,69,69,138
ACWORTH 1C,Cobb,69,69,138
ADDISON 01,Cobb,69,69,138
AUSTELL 1A,Cobb,69,69,138
BELLS FERRY 02,Cobb,69,69,138
BELLS FERRY 03,Cobb,69,69,138
BIG SHANTY 01,Cobb,69,69,138
BIG SHANTY 02,Cobb,69,69,138
BAKER 01,Cobb,69,69,138
BIRNEY 01,Cobb,69,69,138
BIRNEY 02,Cobb,69,69,138
BRYANT 01,Cobb,69,69,138
BRYANT 02,Cobb,69,69,138
BLACKWELL 01,Cobb,69,69,138
CHATTAHOOCHEE 01,Cobb,69,69,138
CHEATHAM HILL 02,Cobb,69,69,138
CHEATHAM HILL 03,Cobb,69,69,138
CHALKER 01,Cobb,69,69,138
CLARKDALE 01,Cobb,69,69,138
CLARKDALE 02,Cobb,69,69,138
COOPER 01,Cobb,69,69,138
CHESTNUT RIDGE 01,Cobb,69,69,138
DICKERSON 01,Cobb,69,69,138
DOBBINS 01,Cobb,69,69,138
DOWELL 01,Cobb,69,69,138
DODGEN 01,Cobb,69,69,138
DURHAM 01,Cobb,69,69,138
DAVIS 01,Cobb,69,69,138
EASTSIDE 01,Cobb,69,69,138
EASTSIDE 02,Cobb,69,69,138
ELIZABETH 01,Cobb,69,69,138
ELIZABETH 02,Cobb,69,69,138
ELIZABETH 03,Cobb,69,69,138
ELIZABETH 04,Cobb,69,69,138
ELIZABETH 05,Cobb,69,69,138
EAST PIEDMONT 01,Cobb,69,69,138
FAIR OAKS 01,Cobb,69,69,138
FAIR OAKS 02,Cobb,69,69,138
FAIR OAKS 04,Cobb,69,69,138
FAIR OAKS 05,Cobb,69,69,138
FULLERS PARK 01,Cobb,69,69,138
FORD 01,Cobb,69,69,138
FREY 01,Cobb,69,69,138
GARRISON MILL 01,Cobb,69,69,138
GRITTERS 01,Cobb,69,69,138
HARMONY LELAND 01,Cobb,69,69,138
HARRISON 01,Cobb,69,69,138
HIGHTOWER 01,Cobb,69,69,138
HAYES 01,Cobb,69,69,138
KENNESAW 1A,Cobb,69,69,138
KENNESAW 2A,Cobb,69,69,138
KENNESAW 3A,Cobb,69,69,138
KENNESAW 4A,Cobb,69,69,138
KENNESAW 5A,Cobb,69,69,138
KELL 01,Cobb,69,69,138
KEMP 01,Cobb,69,69,138
KEMP 02,Cobb,69,69,138
KEMP 03,Cobb,69,69,138
LASSSITER 01,Cobb,69,69,138
LINDLEY 01,Cobb,69,69,138
LOST MOUNTAIN 01,Cobb,69,69,138
LOST MOUNTAIN 02,Cobb,69,69,138
