Precinct,County,rep_votes,dem_votes,total,rep_p,dem_p
ELLENWOOD,Clayton,69,69,138,0,0
FOREST PARK 1,Clayton,69,69,138,0,0
FOREST PARK 2,Clayton,69,69,138,0,0
FOREST PARK 3,Clayton,69,69,138,0,0
FOREST PARK 4,Clayton,69,69,138,0,0
FOREST PARK 5,Clayton,69,69,138,0,0
FOREST PARK 6,Clayton,69,69,138,0,0
JONESBORO 1,Clayton,69,69,138,0,0
JONESBORO 2,Clayton,69,69,138,0,0
JONESBORO 3,Clayton,69,69,138,0,0
JONESBORO 4,Clayton,69,69,138,0,0
JONESBORO 5,Clayton,69,69,138,0,0
JONESBORO 6,Clayton,69,69,138,0,0
JONESBORO 7,Clayton,69,69,138,0,0
JONESBORO 8,Clayton,69,69,138,0,0
JONESBORO 9,Clayton,69,69,138,0,0
JONESBORO 10,Clayton,69,69,138,0,0
JONESBORO 11,Clayton,69,69,138,0,0
JONESBORO 12,Clayton,69,69,138,0,0
JONESBORO 13,Clayton,69,69,138,0,0
JONESBORO 14,Clayton,69,69,138,0,0
JONESBORO 15,Clayton,69,69,138,0,0
JONESBORO 16,Clayton,69,69,138,0,0
JONESBORO 17,Clayton,69,69,138,0,0
JONESBORO 18,Clayton,69,69,138,0,0
LAKE CITY,Clayton,69,69,138,0,0
LOVEJOY 1,Clayton,69,69,138,0,0
LOVEJOY 2,Clayton,69,69,138,0,0
LOVEJOY 3,Clayton,69,69,138,0,0
LOVEJOY 4,Clayton,69,69,138,0,0
LOVEJOY 5,Clayton,69,69,138,0,0
MORROW 1,Clayton,69,69,138,0,0
MORROW 2,Clayton,69,69,138,0,0
MORROW 3,Clayton,69,69,138,0,0
MORROW 4,Clayton,69,69,138,0,0
MORROW 5,Clayton,69,69,138,0,0
MORROW 6,Clayton,69,69,138,0,0
MORROW 7,Clayton,69,69,138,0,0
MORROW 8,Clayton,69,69,138,0,0
MORROW 9,Clayton,69,69,138,0,0
OAK 1,Clayton,69,69,138,0,0
OAK 2,Clayton,69,69,138,0,0
OAK 3,Clayton,69,69,138,0,0
OAK 4,Clayton,69,69,138,0,0
PANHANDLE 1,Clayton,69,69,138,0,0
PANHANDLE 2,Clayton,69,69,138,0,0
RIVERDALE 1,Clayton,69,69,138,0,0
RIVERDALE 2,Clayton,69,69,138,0,0
RIVERDALE 3,Clayton,69,69,138,0,0
RIVERDALE 4,Clayton,69,69,138,0,0
RIVERDALE 5,Clayton,69,69,138,0,0
RIVERDALE 6,Clayton,69,69,138,0,0
RIVERDALE 7,Clayton,69,69,138,0,0
RIVERDALE 8,Clayton,69,69,138,0,0
RIVERDALE 9,Clayton,69,69,138,0,0
RIVERDALE 10,Clayton,69,69,138,0,0
RIVERDALE 11,Clayton,69,69,138,0,0
RIVERDALE 12,Clayton,69,69,138,0,0
ACWORTH 1A,Cobb,69,69,138,0,0
ACWORTH 1B,Cobb,69,69,138,0,0
ACWORTH 1C,Cobb,69,69,138,0,0
ADDISON 01,Cobb,69,69,138,0,0
AUSTELL 1A,Cobb,69,69,138,0,0
BELLS FERRY 02,Cobb,69,69,138,0,0
BELLS FERRY 03,Cobb,69,69,138,0,0
BIG SHANTY 01,Cobb,69,69,138,0,0
BIG SHANTY 02,Cobb,69,69,138,0,0
BAKER 01,Cobb,69,69,138,0,0
BIRNEY 01,Cobb,69,69,138,0,0
BIRNEY 02,Cobb,69,69,138,0,0
BRYANT 01,Cobb,69,69,138,0,0
BRYANT 02,Cobb,69,69,138,0,0
BLACKWELL 01,Cobb,69,69,138,0,0
CHATTAHOOCHEE 01,Cobb,69,69,138,0,0
CHEATHAM HILL 02,Cobb,69,69,138,0,0
CHEATHAM HILL 03,Cobb,69,69,138,0,0
CHALKER 01,Cobb,69,69,138,0,0
CLARKDALE 01,Cobb,69,69,138,0,0
CLARKDALE 02,Cobb,69,69,138,0,0
COOPER 01,Cobb,69,69,138,0,0
CHESTNUT RIDGE 01,Cobb,69,69,138,0,0
DICKERSON 01,Cobb,69,69,138,0,0
DOBBINS 01,Cobb,69,69,138,0,0
DOWELL 01,Cobb,69,69,138,0,0
DODGEN 01,Cobb,69,69,138,0,0
DURHAM 01,Cobb,69,69,138,0,0
DAVIS 01,Cobb,69,69,138,0,0
EASTSIDE 01,Cobb,69,69,138,0,0
EASTSIDE 02,Cobb,69,69,138,0,0
ELIZABETH 01,Cobb,69,69,138,0,0
ELIZABETH 02,Cobb,69,69,138,0,0
ELIZABETH 03,Cobb,69,69,138,0,0
ELIZABETH 04,Cobb,69,69,138,0,0
ELIZABETH 05,Cobb,69,69,138,0,0
EAST PIEDMONT 01,Cobb,69,69,138,0,0
FAIR OAKS 01,Cobb,69,69,138,0,0
FAIR OAKS 02,Cobb,69,69,138,0,0
FAIR OAKS 04,Cobb,69,69,138,0,0
FAIR OAKS 05,Cobb,69,69,138,0,0
FULLERS PARK 01,Cobb,69,69,138,0,0
FORD 01,Cobb,69,69,138,0,0
FREY 01,Cobb,69,69,138,0,0
GARRISON MILL 01,Cobb,69,69,138,0,0
GRITTERS 01,Cobb,69,69,138,0,0
HARMONY LELAND 01,Cobb,69,69,138,0,0
HARRISON 01,Cobb,69,69,138,0,0
HIGHTOWER 01,Cobb,69,69,138,0,0
HAYES 01,Cobb,69,69,138,0,0
KENNESAW 1A,Cobb,69,69,138,0,0
KENNESAW 2A,Cobb,69,69,138,0,0
KENNESAW 3A,Cobb,69,69,138,0,0
KENNESAW 4A,Cobb,69,69,138,0,0
KENNESAW 5A,Cobb,69,69,138,0,0
KELL 01,Cobb,69,69,138,0,0
KEMP 01,Cobb,69,69,138,0,0
KEMP 02,Cobb,69,69,138,0,0
KEMP 03,Cobb,69,69,138,0,0
LASSSITER 01,Cobb,69,69,138,0,0
LINDLEY 01,Cobb,69,69,138,0,0
LOST MOUNTAIN 01,Cobb,69,69,138,0,0
LOST MOUNTAIN 02,Cobb,69,69,138,0,0
LOST MOUNTAIN 03,Cobb,69,69,138,0,0
LOST MOUNTAIN 04,Cobb,69,69,138,0,0
LEWIS 01,Cobb,69,69,138,0,0
MABLETON 01,Cobb,69,69,138,0,0
MABLETON 02,Cobb,69,69,138,0,0
MABLETON 03,Cobb,69,69,138,0,0
MABLETON 04,Cobb,69,69,138,0,0
MABRY 01,Cobb,69,69,138,0,0
MACLAND 01,Cobb,69,69,138,0,0
MURDOCK 01,Cobb,69,69,138,0,0
MCEACHERN 01,Cobb,69,69,138,0,0
MCCLESKEY 01,Cobb,69,69,138,0,0
MCCLURE 01,Cobb,69,69,138,0,0
MARIETTA 1A,Cobb,69,69,138,0,0
MARIETTA 2A,Cobb,69,69,138,0,0
MARIETTA 2B,Cobb,69,69,138,0,0
MARIETTA 3A,Cobb,69,69,138,0,0
MARIETTA 4A,Cobb,69,69,138,0,0
MARIETTA 4B,Cobb,69,69,138,0,0
MARIETTA 4C,Cobb,69,69,138,0,0
MARIETTA 5A,Cobb,69,69,138,0,0
MARIETTA 5B,Cobb,69,69,138,0,0
MARIETTA 6A,Cobb,69,69,138,0,0
MARIETTA 6B,Cobb,69,69,138,0,0
MARIETTA 7A,Cobb,69,69,138,0,0
MARS HILL 01,Cobb,69,69,138,0,0
MARS HILL 02,Cobb,69,69,138,0,0
