Governor,,,,,,,,,,,,,,,,,
,,J. NATHAN DEAL (I)(R,,,,,JASON J. CARTER (D),,,,,ANDREW T. HUNT (L),,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Absentee in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Absentee in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Absentee in Person,Provisional,Total Votes,Total
Acworth 1A,3876,623,57,425,0,1105,432,33,329,3,797,40,2,11,0,53,1955
Acworth 1B,3644,655,72,317,4,1048,390,37,176,3,606,47,2,9,0,58,1712
Acworth 1C,3568,510,32,126,2,670,508,19,263,8,798,47,3,4,0,54,1522
Addison 01,1919,479,50,202,0,731,267,13,99,0,379,34,0,1,0,35,1145
Austell 1A,3232,269,18,71,2,360,846,24,346,7,1223,32,2,9,0,43,1626
Bells Ferry 02,2438,544,50,198,3,795,322,21,123,2,468,42,2,7,0,51,1314
Bells Ferry 03,4664,984,94,438,1,1517,469,32,231,3,735,75,4,12,0,91,2343
Big Shanty 01,2134,440,35,152,1,628,219,12,69,0,300,30,0,8,0,38,966
Big Shanty 02,2557,634,36,197,1,868,282,27,124,0,433,33,2,3,0,38,1339
Baker 01,3456,632,48,136,2,818,471,19,194,7,691,39,0,6,0,45,1554
Birney 01,1928,333,29,90,0,452,341,26,124,1,492,14,2,1,0,17,961
Birney 02,2942,485,52,185,3,725,525,31,277,1,834,34,7,5,0,46,1605
Bryant 01,1605,38,6,17,0,61,531,25,297,0,853,6,0,5,0,11,925
Bryant 02,4031,60,5,12,0,77,944,41,423,8,1416,18,1,3,0,22,1515
Blackwell 01,2061,409,37,214,1,661,272,10,122,1,405,37,1,6,0,44,1110
Chattahoochee 01,4192,311,30,93,0,434,651,33,278,10,972,45,4,6,0,55,1461
Cheatham Hill 02,2487,658,44,311,0,1013,260,13,121,0,394,39,1,8,0,48,1455
Cheatham Hill 03,3233,741,63,413,4,1221,426,22,249,1,698,39,1,13,0,53,1972
Chalker 01,3332,493,50,200,0,743,407,27,146,6,586,43,5,7,0,55,1384
Clarkdale 01,1365,206,27,59,1,293,239,10,96,2,347,11,1,5,0,17,657
Clarkdale 02,3894,525,42,98,2,667,973,35,268,7,1283,36,2,5,0,43,1993
Cooper 01,3622,281,35,155,1,472,761,24,419,12,1216,21,2,8,0,31,1719
