Governor,,,,,,,,,,,,,,,,,,,,,,,
,,J. NATHAN DEAL(I)(R),,,,,,,JASON J. CARTER (D),,,,,,,ANDREW T. HUNT (L),,,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Total
ALLGOOD ELEM,2163,73,14,41,7,1,0,136,556,15,452,32,6,3,1064,13,0,3,0,0,0,16,1216
ASHFORD DUNWOODY RD,2437,581,18,11,4,218,0,832,389,23,14,8,196,0,630,24,0,0,2,8,0,34,1496
ASHFORD PARK ELEM,2042,572,16,4,14,128,0,734,323,17,1,8,96,0,445,32,2,0,1,10,0,45,1224
ASHFORD PARKSIDE,2526,486,43,0,10,201,3,743,365,32,9,9,126,3,544,27,1,0,0,2,1,31,1318
AUSTIN,2235,890,51,7,12,90,2,1052,303,22,5,14,47,0,391,26,1,0,0,4,0,31,1474
AUSTIN DRIVE,1860,29,0,11,1,0,0,41,431,19,238,53,6,1,748,11,0,0,1,0,0,12,801
AVONDALE,2218,389,25,105,5,1,0,525,704,37,245,28,3,1,1018,30,1,6,0,0,0,37,1580
AVONDALE HIGH,2640,154,9,45,12,0,0,220,783,48,302,105,3,2,1243,23,1,6,0,1,0,31,1494
BETHUNE MIDDLE,3394,32,2,10,7,3,0,54,769,61,509,195,104,4,1642,5,0,1,0,0,1,7,1703
BOULDERCREST RD,1539,22,5,5,6,0,0,38,522,20,77,197,5,2,823,8,0,0,0,0,0,8,869
BOULEVARD,3572,157,2,10,20,0,0,189,1273,62,216,152,7,2,1712,45,1,0,1,0,0,47,1948
BRIAR VISTA ELEM,2355,261,17,6,28,13,1,326,557,36,36,79,56,1,765,28,2,0,0,3,0,33,1124
BRIARCLIFF,2402,428,64,8,33,24,1,558,529,48,17,67,40,3,704,20,2,0,1,1,0,24,1286
BRIARLAKE ELEM,1484,344,32,1,96,2,0,475,320,18,12,105,6,0,461,20,2,0,3,1,0,26,962
BRIARWOOD,1845,272,8,2,4,79,2,367,286,6,5,15,107,0,419,21,1,0,0,3,0,25,811
BROCKETT,2027,315,24,10,129,1,0,479,367,21,30,184,1,2,605,17,1,1,9,0,0,28,1112
BROCKETT ELEM,2133,225,21,13,189,1,0,449,318,19,50,277,3,0,667,28,2,1,8,0,0,39,1155
BROOKHAVEN,2552,520,21,4,4,122,0,671,391,10,3,14,126,0,544,40,1,0,0,5,0,46,1261
BROWNS MILL ELEM,3026,47,10,8,12,3,0,80,956,28,256,455,51,2,1748,10,1,1,2,1,0,15,1843
BURGESS ELEM,2333,78,3,8,8,1,0,98,801,30,121,136,2,2,1092,20,0,0,1,1,0,22,1212
CANBY LANE ELEM,1531,16,0,8,6,0,0,30,397,27,239,123,17,2,805,5,0,2,1,0,0,8,843
CANDLER,2530,34,0,2,5,1,1,43,496,33,205,134,5,12,885,11,2,2,1,1,1,18,946
CANDLER-MURPHEY CANDLER ELEM,2267,72,16,14,11,1,0,114,637,28,205,161,74,3,1108,6,0,0,0,1,0,7,1229
CEDAR GROVE ELEM,3189,40,4,3,10,1,0,58,878,32,183,612,10,3,1718,7,2,0,1,0,0,10,1786
CEDAR GROVE MIDDLE,1377,9,0,2,8,0,0,19,302,18,46,206,3,2,577,2,0,1,1,0,0,4,600
CEDAR GROVE SOUTH,2920,45,9,8,14,2,0,78,951,32,171,468,7,2,1631,8,0,0,3,0,0,11,1720
CHAMBLEE ,3408,452,34,1,1,236,1,725,504,24,16,13,272,0,829,60,5,0,0,17,0,82,1636
CHAPEL HILL ELEM,2585,36,1,2,12,2,0,53,784,27,164,459,19,1,1454,7,0,1,2,0,0,10,1517
CHESNUT ELEM,1914,257,16,3,5,50,2,333,336,15,14,10,90,1,466,33,0,0,1,0,0,34,833
CLAIREMONT EAST,2536,254,16,18,75,0,0,363,790,55,87,361,2,1,1296,37,1,1,4,0,1,44,1703
CLAIREMONT WEST,2786,260,28,30,57,0,0,375,937,85,152,232,6,3,1415,38,3,2,4,0,0,47,1837
CLAIRMONT ROAD,2676,263,54,18,41,1,1,378,655,86,88,122,9,5,965,26,3,0,2,0,0,31,1374
CLARKSTON,2332,114,12,16,15,0,1,158,536,21,191,53,4,2,807,20,0,0,1,0,0,21,986
CLIFTON ELEM,1267,29,1,2,6,0,0,38,389,11,52,229,1,0,682,1,0,0,2,0,0,3,723
COAN MIDDLE,2853,89,4,9,9,1,0,112,841,56,119,127,4,6,1153,25,0,2,1,0,0,28,1293
COLUMBIA DRIVE,1862,25,2,9,2,1,1,40,389,24,255,146,16,1,831,1,0,0,0,1,0,2,873
COLUMBIA ELEM,1213,4,1,1,3,0,0,9,250,11,72,155,0,1,489,2,0,2,4,0,0,8,506
COLUMBIA MIDDLE,1621,12,0,4,1,2,0,19,295,23,72,215,3,3,611,7,0,0,0,0,1,8,638
CORALWOOD,2693,420,63,21,132,10,0,646,662,72,65,218,16,1,1034,33,3,1,2,0,0,39,1719
COVINGTON,1907,56,2,26,1,1,0,86,285,9,271,14,0,0,579,18,0,1,0,0,0,19,684
COVINGTON HWY LIBRARY,870,4,0,4,0,0,0,8,85,2,60,10,1,0,158,0,0,0,1,0,0,1,167
CROSS KEYS HIGH,1726,241,12,1,7,73,1,335,255,14,9,12,83,2,375,16,0,0,0,2,0,18,728
CROSSROADS,2285,36,0,20,4,2,0,62,575,31,376,68,138,1,1189,5,0,0,1,1,0,7,1258
DORAVILLE NORTH,2067,217,15,7,10,33,0,282,399,16,16,19,61,1,512,21,0,0,0,2,0,23,817
DORAVILLE SOUTH,950,141,6,2,6,10,0,165,229,5,6,11,31,2,284,21,0,0,0,3,0,24,473
DRESDEN ELEM,2586,244,19,2,12,54,0,331,487,28,22,48,130,1,716,31,2,0,3,2,0,38,1085
DRUID HILLS HIGH,2042,212,22,15,37,4,1,291,578,50,53,117,10,1,809,18,0,2,0,0,0,20,1120
DUNAIRE ELEM,1572,67,8,36,2,1,0,114,367,20,267,17,3,0,674,6,1,5,0,0,0,12,800
DUNWOODY,2627,435,43,3,10,64,0,555,362,20,12,17,76,0,487,23,4,0,0,3,0,30,1072
DUNWOODY ELEM,1654,557,57,6,10,102,0,732,253,26,5,8,52,0,344,25,2,0,0,2,0,29,1105
DUNWOODY LIBRARY,2205,870,81,1,8,110,0,1070,282,31,3,16,29,0,361,23,1,0,0,2,0,26,1457
EAST LAKE ELEM,3096,107,3,18,6,0,0,134,759,51,304,188,6,8,1316,20,1,3,0,0,0,24,1474
EMBRY HILLS,1633,280,21,5,126,5,0,437,301,25,21,149,12,0,508,28,3,0,6,0,0,37,982
EMORY ROAD,875,62,16,2,14,0,0,94,170,48,21,40,3,0,282,4,0,0,1,0,0,5,381
EMORY SOUTH,2939,322,28,20,35,15,0,420,717,55,67,144,21,2,1006,23,1,0,0,1,0,25,1451
EPWORTH,3353,396,14,16,16,1,0,443,2065,73,152,264,13,2,2569,51,1,1,1,0,0,54,3066
EVANSDALE ELEM,2329,354,37,7,116,11,0,525,454,25,35,163,20,2,699,27,1,0,7,1,0,36,1260
FAIRINGTON ELEM,3536,32,3,8,4,1,0,48,818,49,281,201,86,5,1440,6,1,1,1,1,0,10,1498
FERNBANK ELEM,2029,243,17,29,63,2,0,354,643,62,101,249,9,3,1067,16,2,0,4,0,0,22,1443
FLAKES MILL FIRE STATION,1534,26,2,2,3,0,0,33,497,15,68,217,2,1,800,3,1,1,1,0,0,6,839
FLAT ROCK ELEM,2357,34,5,4,7,1,0,51,705,23,224,235,64,6,1257,4,0,1,3,1,0,9,1317
FLAT SHOALS,1666,8,1,1,15,0,1,26,311,38,55,346,3,11,764,4,0,1,4,0,0,9,799
FLAT SHOALS ELEM,1743,15,2,2,9,0,0,28,414,22,70,291,3,4,804,6,0,0,5,0,0,11,843
FLAT SHOALS LIBRARY,1956,13,3,0,3,0,0,19,464,23,80,251,10,10,838,5,0,0,3,0,1,9,866
FLAT SHOALS PARKWAY,2766,31,4,4,19,0,0,58,727,45,172,589,10,4,1547,10,0,1,3,0,0,14,1619
FREEDOM MIDDLE,2282,67,11,44,13,0,0,135,543,26,347,49,25,3,993,6,1,2,0,1,0,10,1138
GEORGETOWN SQUARE,3434,505,30,7,11,100,0,653,432,31,18,26,109,0,616,38,0,0,0,3,0,41,1310
GLENHAVEN,1275,56,6,12,6,0,0,80,329,13,170,39,6,2,559,4,1,2,0,0,0,7,646
GLENNWOOD,1706,107,12,11,21,0,0,151,566,31,65,152,2,0,816,16,0,0,3,0,0,19,986
GLENWOOD ROAD,1528,29,3,9,3,2,0,46,331,24,167,52,25,4,603,6,0,4,1,0,0,11,660
GRESHAM ROAD,2426,50,3,3,7,0,0,63,649,36,152,280,5,2,1124,17,0,0,2,0,0,19,1206
HAMBRICK ELEM,2536,91,11,44,21,0,0,167,559,33,333,68,7,3,1003,17,1,4,1,0,0,23,1193
HARRIS-MARGARET HARRIS ED,1924,165,9,4,18,18,1,215,430,20,24,70,34,1,579,17,2,0,1,1,0,21,815
HARRIS-NARVIE J. HARRIS ELEM,2978,18,0,7,16,0,0,41,819,32,163,555,8,13,1590,7,0,1,6,0,0,14,1645
HAWTHORNE ELEM,3335,407,45,8,108,23,0,591,694,26,36,170,90,3,1019,29,1,0,4,2,0,36,1646
HENDERSON MILL ELEM,2456,388,26,12,220,10,0,656,460,34,34,213,11,2,754,21,2,0,6,1,0,30,1440
HUGH HOWELL,1482,321,25,20,145,2,0,513,268,18,51,153,2,0,492,14,1,0,4,0,0,19,1024
HUNTLEY HILLS ELEM,2550,283,32,5,7,92,1,420,429,19,18,23,180,1,670,39,0,0,0,9,0,48,1138
IDLEWOOD ELEM,1836,146,6,16,41,1,1,211,360,20,126,132,3,1,642,8,0,2,2,0,0,12,865
INDIAN CREEK ELEM,1583,51,8,16,3,0,0,78,273,15,202,17,1,7,515,7,2,4,0,0,0,13,606
JOHNSON ESTATES,1018,165,8,4,20,6,0,203,319,25,28,71,6,1,450,9,0,0,2,0,0,11,664
JOLLY ELEM,2175,56,4,12,8,0,2,82,416,13,165,81,5,2,682,8,0,2,0,0,0,10,774
KELLEY CHAPEL ROAD,1087,18,3,5,1,0,1,28,335,23,104,187,5,16,670,2,0,0,0,0,0,2,700
KELLEY LAKE ELEM,2307,32,0,5,8,0,0,45,494,40,190,315,2,5,1046,5,1,2,0,0,0,8,1099
KING-ML KING JR HIGH,3355,22,6,5,20,1,0,54,846,65,294,761,32,4,2002,2,0,0,7,0,0,9,2065
KINGSLEY ELEM,2139,737,59,9,16,151,0,972,283,46,10,16,78,1,434,36,1,0,0,3,0,40,1446
KNOLLWOOD ELEM,1875,38,4,11,2,0,0,55,534,21,239,43,3,4,844,14,1,2,0,0,0,17,916
KITTREDGE ELEM,1874,366,36,3,7,230,0,642,265,23,8,10,175,3,484,29,1,0,0,15,0,45,1171
LAKESIDE HIGH,2669,500,69,14,231,10,0,824,590,54,15,205,23,0,887,32,2,0,5,0,0,39,1750
LAVISTA,2108,269,12,5,27,38,0,351,410,30,40,51,41,2,574,22,5,1,1,0,0,29,954
LAVISTA ROAD,1752,282,20,10,29,11,1,353,465,31,28,73,14,1,612,27,0,1,1,1,0,30,995
LIN-MARY LIN ELEM,2567,0,17,16,32,3,0,68,6,55,80,125,4,1,271,0,3,1,6,0,0,10,349
LITHONIA,1018,28,5,3,1,0,0,37,234,27,73,21,25,0,380,6,1,0,0,0,0,7,424
LITHONIA HIGH,2379,20,1,2,2,2,0,27,650,23,213,82,117,3,1088,9,2,0,1,0,0,12,1127
LIVSEY ELEM,1235,247,13,4,158,2,0,424,214,10,1,142,5,1,373,15,0,2,8,0,0,25,822
MARBUT ELEM,3243,16,1,6,0,4,0,27,756,32,346,100,224,3,1461,10,1,1,0,2,0,14,1502
MATHIS-BOB MATHIS ELEM,2343,44,4,17,16,0,0,81,641,26,160,539,11,4,1381,11,0,0,3,0,0,14,1476
MCLENDON,1857,139,3,15,9,1,0,167,483,22,106,60,1,2,674,22,1,2,1,0,0,26,867
MCNAIR ACADEMY,1545,26,1,4,4,0,0,35,447,41,145,120,2,0,755,9,0,1,0,0,0,10,800
MCNAIR HIGH,2893,71,2,4,7,0,0,84,757,71,165,288,14,5,1300,16,0,0,0,0,0,16,1400
MCNAIR MIDDLE,1886,17,0,1,11,0,0,29,430,50,165,171,4,4,824,12,0,1,1,0,0,14,867
MCWILLIAMS,1702,22,1,6,2,4,0,35,548,18,176,167,33,1,943,3,0,1,1,3,0,8,986
