,PRECINCT_N,ajc_precinct,BEN CARSON,BERNIE SANDERS,CARLY FIORINA,CHRIS CHRISTIE,GEORGE PATAKI,HILLARY CLINTON,JEB BUSH,JOHN R. KASICH,LINDSEY GRAHAM,MARCO RUBIO,MARTIN O'MALLEY,MICHAEL STEINBERG,MIKE HUCKABEE,RAND PAUL,RICK SANTORUM,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
0,UC034,UC034,,,,,,,,,,,,,,,,,,,,,,left_only
1,RIVERDALE 2,RIVERDALE 2,,,,,,,,,,,,,,,,,,,,,,left_only
2,JONESBORO 12,JONESBORO 12,,,,,,,,,,,,,,,,,,,,,,left_only
3,RIVERDALE 12,RIVERDALE 12,,,,,,,,,,,,,,,,,,,,,,left_only
4,SC212,SC212,,,,,,,,,,,,,,,,,,,,,,left_only
5,FA01B,FA01B,,,,,,,,,,,,,,,,,,,,,,left_only
6,FA01A,FA01A,,,,,,,,,,,,,,,,,,,,,,left_only
9,PA01,PA01,,,,,,,,,,,,,,,,,,,,,,left_only
10,CH04B,CH04B,,,,,,,,,,,,,,,,,,,,,,left_only
11,JONESBORO 17,JONESBORO 17,,,,,,,,,,,,,,,,,,,,,,left_only
12,JONESBORO 2,JONESBORO 2,,,,,,,,,,,,,,,,,,,,,,left_only
13,RIVERDALE 9,RIVERDALE 9,,,,,,,,,,,,,,,,,,,,,,left_only
14,JONESBORO 16,JONESBORO 16,,,,,,,,,,,,,,,,,,,,,,left_only
15,RIVERDALE 5,RIVERDALE 5,,,,,,,,,,,,,,,,,,,,,,left_only
16,JONESBORO 3,JONESBORO 3,,,,,,,,,,,,,,,,,,,,,,left_only
17,JONESBORO 10,JONESBORO 10,,,,,,,,,,,,,,,,,,,,,,left_only
18,JONESBORO 9,JONESBORO 9,,,,,,,,,,,,,,,,,,,,,,left_only
21,JC08,JC08,,,,,,,,,,,,,,,,,,,,,,left_only
22,JC05,JC05,,,,,,,,,,,,,,,,,,,,,,left_only
23,JC04B,JC04B,,,,,,,,,,,,,,,,,,,,,,left_only
24,JC03A,JC03A,,,,,,,,,,,,,,,,,,,,,,left_only
25,JC04A,JC04A,,,,,,,,,,,,,,,,,,,,,,left_only
26,JC03B,JC03B,,,,,,,,,,,,,,,,,,,,,,left_only
27,JC06,JC06,,,,,,,,,,,,,,,,,,,,,,left_only
29,JC02,JC02,,,,,,,,,,,,,,,,,,,,,,left_only
40,JONESBORO 8,JONESBORO 8,,,,,,,,,,,,,,,,,,,,,,left_only
41,MORROW 8,MORROW 8,,,,,,,,,,,,,,,,,,,,,,left_only
42,MORROW 5,MORROW 5,,,,,,,,,,,,,,,,,,,,,,left_only
43,RIVERDALE 7,RIVERDALE 7,,,,,,,,,,,,,,,,,,,,,,left_only
44,FOREST PARK 3,FOREST PARK 3,,,,,,,,,,,,,,,,,,,,,,left_only
45,RIVERDALE 6,RIVERDALE 6,,,,,,,,,,,,,,,,,,,,,,left_only
