,Precinct,County,rep_votes,dem_votes,total,rep_p,dem_p,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,ajc_precinct,_merge
209,AVONDALE HIGH - 04,DeKalb,69.0,69.0,138.0,0.0,0.0,,,,,,,,,,,,,,,left_only
210,AVONDALE HIGH - 05,DeKalb,69.0,69.0,138.0,0.0,0.0,,,,,,,,,,,,,,,left_only
272,GLENNWOOD - 05,DeKalb,69.0,69.0,138.0,0.0,0.0,,,,,,,,,,,,,,,left_only
314,MILLER GROVE HIGH,DeKalb,69.0,69.0,138.0,0.0,0.0,,,,,,,,,,,,,,,left_only
382,WADSWORTH ELEM - 04,DeKalb,69.0,69.0,138.0,0.0,0.0,,,,,,,,,,,,,,,left_only
386,WHITEFOORD ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,,,,,,,,,,,,,,,left_only
574,AP12C,Fulton,69.0,69.0,138.0,0.0,0.0,,,,,,,,,,,,,,,left_only
589,CP06A,Fulton,69.0,69.0,138.0,0.0,0.0,,,,,,,,,,,,,,,left_only
677,SC08G,Fulton,69.0,69.0,138.0,0.0,0.0,,,,,,,,,,,,,,,left_only
903,,,,,,,,0.0,884305.0,0.27,1585.0,121UC034,121UC034,UC034,UC034,60.0,FULTON,121.0,black,49669.0000975,UC034,right_only
904,,,,,,,,10.0,849089.0,0.02,1400.0,121CH04B,121CH04B,CH04B,CH04B,60.0,FULTON,121.0,white,41282.0,CH04B,right_only
905,,,,,,,,69.0,4008147.0,0.27,1586.0,121UC035,121UC035,UC035,UC035,60.0,FULTON,121.0,black,50266.6137287,UC035,right_only
906,,,,,,,,70.0,4008245.0,0.85,1578.0,121UC01D,121UC01D,UC01D,UC01D,60.0,FULTON,121.0,black,48657.0,UC01D,right_only
907,,,,,,,,71.0,4008306.0,0.15,1520.0,121SC17B,121SC17B,SC17B,SC17B,60.0,FULTON,121.0,black,48657.0,SC17B,right_only
908,,,,,,,,143.0,4036644.0,0.76,1410.0,121CP06,121CP06,CP06,CP06,60.0,FULTON,121.0,white,57248.9999336,CP06,right_only
909,,,,,,,,145.0,4036726.0,0.08,1413.0,121CP07D,121CP07D,CP07D,CP07D,60.0,FULTON,121.0,black,35016.0,CP07D,right_only
910,,,,,,,,147.0,4770800.0,1.38,1488.0,121RW18,121RW18,RW18,RW18,60.0,FULTON,121.0,white,152029.727253,RW18,right_only
911,,,,,,,,180.0,4764210.0,2.27,1485.0,121RW15,121RW15,RW15,RW15,60.0,FULTON,121.0,white,166033.558256,RW15,right_only
912,,,,,,,,245.0,4757069.0,0.0,1573.0,121SS29B,121SS29B,SS29B,SS29B,60.0,FULTON,121.0,,103129.0,SS29B,right_only
913,,,,,,,,276.0,4572674.0,0.89,1356.0,12112B,12112B,12B,12B,60.0,FULTON,121.0,black,48162.9999502,12B,right_only
914,,,,,,,,398.0,4193708.0,3.28,635.0,067SN7B,067SN7B,SN7B,SMYRNA 7B,33.0,COBB,67.0,,114849.058097,SMYRNA 7B,right_only
915,,,,,,,,435.0,4055149.0,1.85,1338.0,12110L,12110L,10L,10L,60.0,FULTON,121.0,black,72578.9996085,10L,right_only
916,,,,,,,,447.0,4065829.0,1.78,1325.0,12109L,12109L,09L,09L,60.0,FULTON,121.0,black,40094.0606534,09L,right_only
917,,,,,,,,452.0,4074331.0,0.75,1357.0,12112C,12112C,12C,12C,60.0,FULTON,121.0,black,41225.9998394,12C,right_only
918,,,,,,,,558.0,4683453.0,1.39,893.0,089MM,089MM,MM,MEMORIAL NORTH,44.0,DEKALB,89.0,black,43097.1164635,MEMORIAL NORTH,right_only
919,,,,,,,,562.0,4683697.0,2.57,889.0,089MI,089MI,MI,MIDDLE GROVE MIDDLE,44.0,DEKALB,89.0,black,47983.0366455,MIDDLE GROVE MIDDLE,right_only
920,,,,,,,,628.0,4592246.0,0.07,1213.0,12101I,12101I,01I,01I,60.0,FULTON,121.0,black,34378.0001593,01I,right_only
921,,,,,,,,695.0,4790699.0,0.56,1392.0,121AP12C,121AP12C,AP12C,AP12D,60.0,FULTON,121.0,,85109.9573477,AP12D,right_only
922,,,,,,,,748.0,4556112.0,3.14,1371.0,12112T,12112T,12T,12T,60.0,FULTON,121.0,black,32949.4699222,12T,right_only
923,,,,,,,,752.0,4672384.0,1.28,793.0,089AI,089AI,AI,AVONDALE HIGH,44.0,DEKALB,89.0,white,86539.3731549,AVONDALE HIGH,right_only
924,,,,,,,,796.0,4622583.0,0.84,820.0,089CN,089CN,CN,COAN MIDDLE (ATL),44.0,DEKALB,89.0,white,56069.8578966,COAN MIDDLE,right_only
925,,,,,,,,853.0,4842566.0,0.07,1447.0,121JC18B,121JC18B,JC18B,JC18B,60.0,FULTON,121.0,white,117149.0,JC18B,right_only
926,,,,,,,,854.0,4842586.0,0.11,1445.0,121JC17,121JC17,JC17,JC17,60.0,FULTON,121.0,white,117142.980528,JC17,right_only
