county,dem_votes,precinct,rep_votes,total
CLAYTON,3156,ELLENWOOD,218,3374
CLAYTON,1011,FOREST PARK 1,265,1276
CLAYTON,953,FOREST PARK 2,183,1136
CLAYTON,877,FOREST PARK 3,222,1099
CLAYTON,569,FOREST PARK 4,282,851
CLAYTON,1257,FOREST PARK 5,263,1520
CLAYTON,456,FOREST PARK 6,204,660
CLAYTON,2160,JONESBORO 1,207,2367
CLAYTON,2014,JONESBORO 2,108,2122
CLAYTON,1787,JONESBORO 3,384,2171
CLAYTON,805,JONESBORO 4,172,977
CLAYTON,820,JONESBORO 5,269,1089
CLAYTON,836,JONESBORO 6,840,1676
CLAYTON,1382,JONESBORO 7,328,1710
CLAYTON,1562,JONESBORO 8,115,1677
CLAYTON,470,JONESBORO 9,131,601
CLAYTON,1221,JONESBORO 10,158,1379
CLAYTON,1656,JONESBORO 11,483,2139
CLAYTON,1322,JONESBORO 12,109,1431
CLAYTON,946,JONESBORO 13,182,1128
CLAYTON,1763,JONESBORO 14,854,2617
CLAYTON,1047,JONESBORO 15,128,1175
CLAYTON,905,JONESBORO 16,126,1031
CLAYTON,2141,JONESBORO 17,164,2305
CLAYTON,1340,JONESBORO 18,206,1546
CLAYTON,1173,LAKE CITY,154,1327
CLAYTON,1771,LOVEJOY 1,313,2084
CLAYTON,1411,LOVEJOY 2,196,1607
CLAYTON,2676,LOVEJOY 3,572,3248
CLAYTON,2014,LOVEJOY 4,232,2246
CLAYTON,1363,LOVEJOY 5,147,1510
CLAYTON,1314,MORROW 1,128,1442
CLAYTON,678,MORROW 2,338,1016
CLAYTON,1823,MORROW 3,337,2160
CLAYTON,725,MORROW 4,234,959
CLAYTON,2415,MORROW 5,407,2822
CLAYTON,1203,MORROW 6,243,1446
CLAYTON,756,MORROW 7,160,916
CLAYTON,1457,MORROW 8,114,1571
CLAYTON,607,MORROW 9,112,719
CLAYTON,1082,OAK 1,36,1118
CLAYTON,693,OAK 2,41,734
CLAYTON,1689,OAK 3,67,1756
CLAYTON,1627,OAK 4,59,1686
CLAYTON,1548,PANHANDLE 1,217,1765
CLAYTON,1204,PANHANDLE 2,456,1660
CLAYTON,1234,RIVERDALE 1,106,1340
CLAYTON,1573,RIVERDALE 2,76,1649
CLAYTON,1674,RIVERDALE 3,86,1760
CLAYTON,1738,RIVERDALE 4,192,1930
CLAYTON,1409,RIVERDALE 5,108,1517
CLAYTON,1213,RIVERDALE 6,195,1408
CLAYTON,895,RIVERDALE 7,134,1029
CLAYTON,1468,RIVERDALE 8,159,1627
CLAYTON,1225,RIVERDALE 9,146,1371
