county,dem_votes,precinct,rep_votes,total
APPLING,92,1B,684,776
APPLING,42,1C,496,538
APPLING,742,2,427,1169
APPLING,4,3A,208,212
APPLING,17,3A1,319,336
APPLING,98,3B,101,199
APPLING,154,3C,670,824
APPLING,14,4A,261,275
APPLING,7,4B,305,312
APPLING,10,4C,284,294
APPLING,83,4D,624,707
APPLING,68,5A,530,598
APPLING,79,5B,336,415
APPLING,24,5C,247,271
ATKINSON,135,Pearson County,846,981
ATKINSON,29,Axson,375,404
ATKINSON,257,Willacoochee,488,745
ATKINSON,275,Pearson City,164,439
BACON,476,Douglas,1571,2047
BACON,58,New Lacy,696,754
BACON,30,Taylor,520,550
BACON,25,Ware,328,353
BACON,18,Warnock,241,259
BAKER,32,Anna,73,105
BAKER,133,Elmodel,124,257
BAKER,105,Hoggard Mill,92,197
BAKER,74,Milford,133,207
BAKER,306,Newton,353,659
BALDWIN,524,South Milledgeville,131,655
BALDWIN,303,City Hall Annex,178,481
BALDWIN,533,Boddie,124,657
BALDWIN,167,Courthouse,127,294
BALDWIN,642,Fire Dept,227,869
BALDWIN,669,North Milledgeville,756,1425
BALDWIN,604,Meriweather,1063,1667
BALDWIN,1011,East Baldwin,1313,2324
BALDWIN,218,Scottsboro,383,601
BALDWIN,614,North Baldwin,1623,2237
BALDWIN,539,West Baldwin,608,1147
BALDWIN,532,East Hardwick,110,642
BALDWIN,1336,West Hardwick,366,1702
BALDWIN,273,Coopers,682,955
BANKS,84,Anderson,736,820
BANKS,67,Baldwin,433,500
BANKS,17,Berlin,188,205
BANKS,29,Bushville,374,403
BANKS,21,Columbia,224,245
BANKS,103,Davids,820,923
BANKS,57,Golden Hill,410,467
BANKS,21,Grove River,309,330
BANKS,48,Hollingsworth,368,416
BANKS,80,Homer,744,824
BANKS,79,Poplar Springs,839,918
BANKS,48,Washington,343,391
BANKS,30,Wilmonts,342,372
BARROW,365,01 Bethlehem Community Center,1339,1704
BARROW,423,02 Bethabra Baptist Church,1775,2198
BARROW,337,03 Bramlett Elementary School,1317,1654
BARROW,284,04 Westside Middle School,1117,1401
BARROW,645,05 Fire Station 1 (Statham),2008,2653
BARROW,278,06 Winder Barrow High School,908,1186
BARROW,490,07 Statham Elementary School,1047,1537
BARROW,328,08 First Baptist Church Winder,1444,1772
BARROW,417,09 Lions Club,1634,2051
BARROW,577,10 Leisure Services Center,761,1338
BARROW,466,11 Apalachee High School,1277,1743
BARROW,287,12 Midway United Methodist Church,1272,1559
BARROW,329,13 Winder Community Center,978,1307
BARROW,124,14 Cedar Creek Baptist Church,577,701
BARROW,295,15 County Line Elementary School,1604,1899
BARROW,935,16 The Church at Winder,2047,2982
BARTOW,565,ADAIRSVILLE,2834,3399
BARTOW,432,ALLATOONA,1623,2055
BARTOW,1084,CARTERSVILLE EAST,2302,3386
BARTOW,1190,CARTERSVILLE WEST,2929,4119
BARTOW,613,BEAVERS DRIVE,2446,3059
BARTOW,372,CENTER,1825,2197
BARTOW,289,EMERSON,1379,1668
BARTOW,420,EUHARLEE,1659,2079
BARTOW,60,FOLSOM,697,757
BARTOW,222,KINGSTON,1251,1473
BARTOW,648,MISSION ROAD,2519,3167
BARTOW,131,PINE LOG,1082,1213
BARTOW,159,TAYLORSVILLE,1479,1638
BARTOW,204,WHITE,1326,1530
BARTOW,935,ZENA DRIVE,1871,2806
BARTOW,734,CASSVILLE,1999,2733
BARTOW,146,WOODLAND HIGH,658,804
BEN HILL,1114,East,1088,2202
BEN HILL,984,West,2646,3630
BERRIEN,48,West Berrien,625,673
BERRIEN,159,Ray City,837,996
BERRIEN,561,Nashville,2904,3465
BERRIEN,77,Enigma,515,592
BERRIEN,196,Alapaha,527,723
BIBB,949,EAST MACON 1,26,975
BIBB,1993,EAST MACON 2,100,2093
BIBB,1282,EAST MACON 3,487,1769
BIBB,1229,EAST MACON 4,63,1292
BIBB,1120,EAST MACON 5,317,1437
BIBB,2669,GODFREY 1,189,2858
BIBB,767,GODFREY 2,67,834
BIBB,1500,GODFREY 3,153,1653
BIBB,885,GODFREY 4,103,988
BIBB,2183,GODFREY 5,285,2468
BIBB,1547,HAZZARD 1,230,1777
BIBB,1166,HAZZARD 2,1123,2289
BIBB,2659,HAZZARD 3,1106,3765
BIBB,443,HAZZARD 4,1000,1443
BIBB,709,HAZZARD 5,999,1708
BIBB,427,HOWARD 1,657,1084
BIBB,101,HOWARD 2 - 02,340,441
BIBB,747,HOWARD 2 - 08,1429,2176
BIBB,2169,HOWARD 3,3096,5265
BIBB,446,HOWARD 4,585,1031
BIBB,457,HOWARD 5,459,916
BIBB,523,HOWARD 6,813,1336
BIBB,566,HOWARD 7,1180,1746
BIBB,1313,RUTLAND 1,2296,3609
BIBB,640,RUTLAND 2,1374,2014
BIBB,1225,VINEVILLE 1,575,1800
BIBB,829,VINEVILLE 2,281,1110
BIBB,1471,VINEVILLE 3,122,1593
BIBB,1937,VINEVILLE 4,223,2160
BIBB,555,VINEVILLE 5,910,1465
BIBB,825,VINEVILLE 6,937,1762
BIBB,554,WARRIOR 1,1130,1684
BIBB,705,WARRIOR 2,1330,2035
BLECKLEY,1094,FAIRGROUND,3717,4811
BRANTLEY,135,Hoboken,1861,1996
BRANTLEY,274,Nahunta,2018,2292
BRANTLEY,210,Waynesville,1682,1892
BROOKS,1362,Quitman,803,2165
BROOKS,51,Barwick,172,223
BROOKS,346,Dixie,313,659
BROOKS,234,Briggs,1001,1235
BROOKS,85,Pavo,249,334
BROOKS,58,Nankin,387,445
BROOKS,368,Morven,754,1122
