county,dem_votes,precinct,rep_votes,total
APPLING,30,1A,155,185
APPLING,18,1A1,194,212
APPLING,111,1B,618,729
APPLING,41,1C,469,510
APPLING,6,1D,81,87
APPLING,796,2,353,1149
APPLING,11,3A,191,202
APPLING,125,3B,100,225
APPLING,286,3C,666,952
APPLING,15,4A,252,267
APPLING,9,4B,315,324
APPLING,13,4C,281,294
APPLING,80,4D,608,688
APPLING,86,5A,485,571
APPLING,102,5B,256,358
APPLING,29,5C,209,238
ATKINSON,226,Pearson County,856,1082
ATKINSON,62,Axson,395,457
ATKINSON,289,Willacoochee,509,798
ATKINSON,353,Pearson City,178,531
BACON,599,Douglas,1447,2046
BACON,79,New Lacy,620,699
BACON,54,Taylor,504,558
BACON,37,Ware,299,336
BACON,22,Warnock,223,245
BAKER,36,Anna,77,113
BAKER,175,Elmodel,134,309
BAKER,127,Hoggard Mill,84,211
BAKER,103,Milford,124,227
BAKER,353,Newton,366,719
BALDWIN,751,South Milledgeville,213,964
BALDWIN,284,City Hall Annex,133,417
BALDWIN,333,Boddie,136,469
BALDWIN,248,Courthouse,234,482
BALDWIN,611,Fire Dept,208,819
BALDWIN,668,North Milledgeville,634,1302
BALDWIN,624,Meriwether,1065,1689
BALDWIN,1067,East Baldwin,1267,2334
BALDWIN,253,Scottsboro,374,627
BALDWIN,636,North Baldwin,1614,2250
BALDWIN,615,West Baldwin,573,1188
BALDWIN,577,East Hardwick,112,689
BALDWIN,1515,West Hardwick,382,1897
BALDWIN,301,Coopers,644,945
BANKS,92,Anderson,643,735
BANKS,55,Baldwin,358,413
BANKS,15,Berlin,193,208
BANKS,47,Bushville,309,356
BANKS,22,Columbia,198,220
BANKS,127,Davids,702,829
BANKS,60,Golden Hill,377,437
BANKS,26,Grove River,279,305
BANKS,50,Hollingsworth,305,355
BANKS,93,Homer,617,710
BANKS,85,Poplar Springs,766,851
BANKS,43,Washington,324,367
BANKS,65,Wilmonts,283,348
BARROW,339,01 Bethlehem Community Center,1220,1559
BARROW,275,02 Bethabra Baptist Church,1557,1832
BARROW,279,03 Bramlett Elementary School,1252,1531
BARROW,262,04 Westside Middle School,1008,1270
BARROW,620,05 Fire Station 1 (Statham),1722,2342
BARROW,266,06 Winder Barrow High School,850,1116
BARROW,474,07 Statham Elementary School,946,1420
BARROW,288,08 Holsenbeck Elementary School,1217,1505
BARROW,370,09 Lions Club,1407,1777
BARROW,622,10 Leisure Services Center,670,1292
BARROW,402,11 Apalachee High School,1051,1453
BARROW,249,12 Midway United Methodist Church,1189,1438
BARROW,332,13 Winder Community Center,912,1244
BARROW,123,14 Cedar Creek Baptist Church,565,688
BARROW,259,15 County Line Elementary School,1390,1649
BARROW,868,16 Bethlehem First Baptist Church,1769,2637
BARTOW,635,ADAIRSVILLE,2466,3101
BARTOW,435,ALLATOONA,1412,1847
BARTOW,1078,CARTERSVILLE EAST,2105,3183
BARTOW,1140,CARTERSVILLE WEST,2769,3909
BARTOW,593,BEAVERS DRIVE,2225,2818
BARTOW,333,CENTER,1684,2017
BARTOW,321,EMERSON,1160,1481
BARTOW,409,EUHARLEE,1483,1892
BARTOW,62,FOLSOM,599,661
BARTOW,257,KINGSTON,1049,1306
BARTOW,704,MISSION ROAD,2251,2955
BARTOW,182,PINE LOG,1000,1182
