,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,ajc_precinct
0,884305,0.27,1585,121UC034,121UC034,UC034,UC034,60,FULTON,121,black,49669.0000975,UC034
1,906458,1.42,489,063RD02,063RD02,RD02,RIVERDALE 2,31,CLAYTON,63,black,48828.1436927,RIVERDALE 2
2,906514,1.25,460,063JB12,063JB12,JB12,JONESBORO 12,31,CLAYTON,63,black,52807.9999916,JONESBORO 12
3,906550,1.38,499,063RD12,063RD12,RD12,RIVERDALE 12,31,CLAYTON,63,black,56430.6573469,RIVERDALE 12
4,865539,2.71,1527,121SC212,121SC212,SC212,SC212,60,FULTON,121,black,49669.0,SC212
5,865657,1.93,1424,121FA01B,121FA01B,FA01B,FA01B,60,FULTON,121,black,49669.0,FA01B
6,856612,15.12,1423,121FA01A,121FA01A,FA01A,FA01A,60,FULTON,121,black,60801.4212202,FA01A
7,4914136,2.82,1659,1352,1352,2,ROCKBRIDGE A,67,GWINNETT,135,black,66640.9990353,ROCKBRIDGE A
8,4914201,3.08,1732,13575,13575,75,ROCKBRIDGE C,67,GWINNETT,135,black,68494.6886219,ROCKBRIDGE C
9,848913,11.04,1469,121PA01,121PA01,PA01,PA01,60,FULTON,121,white,45172.5612156,PA01
10,849089,0.02,1400,121CH04B,121CH04B,CH04B,CH04B,60,FULTON,121,white,41282.0,CH04B
11,1060127,1.93,465,063JB17,063JB17,JB17,JONESBORO 17,31,CLAYTON,63,black,43596.1683036,JONESBORO 17
12,1060189,1.49,450,063JB02,063JB02,JB02,JONESBORO 2,31,CLAYTON,63,black,49034.3307719,JONESBORO 2
13,1060238,1.33,496,063RD09,063RD09,RD09,RIVERDALE 9,31,CLAYTON,63,black,50495.8311885,RIVERDALE 9
14,1060297,0.98,464,063JB16,063JB16,JB16,JONESBORO 16,31,CLAYTON,63,black,40743.0448871,JONESBORO 16
15,1060357,1.12,492,063RD05,063RD05,RD05,RIVERDALE 5,31,CLAYTON,63,black,50020.9999236,RIVERDALE 5
16,1060412,4.09,451,063JB03,063JB03,JB03,JONESBORO 3,31,CLAYTON,63,black,56598.5908975,JONESBORO 3
17,1060513,1.51,458,063JB10,063JB10,JB10,JONESBORO 10,31,CLAYTON,63,black,44499.2552632,JONESBORO 10
18,1060578,1.26,457,063JB09,063JB09,JB09,JONESBORO 9,31,CLAYTON,63,black,35822.5347114,JONESBORO 9
19,4876383,2.44,847,089FG,089FG,FG,FLAT ROCK ELEM,44,DEKALB,89,black,64793.0,FLAT ROCK ELEM
20,4876418,8.53,812,089CF,089CF,CF,CANDLER-MURPHEY CAND,44,DEKALB,89,black,64793.0000217,CANDLER-MURPHEY CAND
21,4865051,1.23,1435,121JC08,121JC08,JC08,JC08,60,FULTON,121,white,126335.99752,JC08
22,4865113,0.72,1432,121JC05,121JC05,JC05,JC05,60,FULTON,121,,98246.0388369,JC05
23,4865156,0.13,1431,121JC04B,121JC04B,JC04B,JC04B,60,FULTON,121,white,113558.0,JC04B
24,4865181,0.16,1428,121JC03A,121JC03A,JC03A,JC03A,60,FULTON,121,,98246.0004352,JC03A
25,4865211,1.44,1430,121JC04A,121JC04A,JC04A,JC04A,60,FULTON,121,white,163061.374152,JC04A
26,4865253,0.56,1429,121JC03B,121JC03B,JC03B,JC03B,60,FULTON,121,,98246.0002512,JC03B
27,4865282,1.73,1433,121JC06,121JC06,JC06,JC06,60,FULTON,121,white,126336.000022,JC06
28,4865324,2.33,1768,135111,135111,111,DULUTH H,67,GWINNETT,135,,76509.2838063,DULUTH H
