,DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge,income_bin
0,121UC034,49669.0000975,black,UC034,UC034,36.0,2.0,15.0,17.0,0.0,0.0,both,low
1,063RD02,48828.1436927,black,RIVERDALE 2,RIVERDALE 2,2329.0,62.0,1021.0,1093.0,0.0,0.0,both,low
2,063JB12,52807.9999916,black,JONESBORO 12,JONESBORO 12,2062.0,83.0,864.0,957.0,0.0,0.0,both,mid
3,063RD12,56430.6573469,black,RIVERDALE 12,RIVERDALE 12,2214.0,92.0,1075.0,1178.0,0.0,0.0,both,mid
4,121SC212,49669.0,black,SC212,SC212,2250.0,55.0,1007.0,1066.0,0.0,0.0,both,low
5,121FA01B,49669.0,black,FA01B,FA01B,506.0,9.0,227.0,241.0,0.0,0.0,both,low
6,121FA01A,60801.4212202,black,FA01A,FA01A,6066.0,391.0,2580.0,2992.0,0.0,0.0,both,mid
9,121PA01,45172.5612156,white,PA01,PA01,1916.0,57.0,213.0,271.0,0.0,0.0,both,low
11,063JB17,43596.1683036,black,JONESBORO 17,JONESBORO 17,3337.0,120.0,1453.0,1591.0,0.0,0.0,both,low
12,063JB02,49034.3307719,black,JONESBORO 2,JONESBORO 2,3076.0,85.0,1392.0,1487.0,0.0,0.0,both,low
13,063RD09,50495.8311885,black,RIVERDALE 9,RIVERDALE 9,2022.0,105.0,839.0,956.0,0.0,0.0,both,mid
14,063JB16,40743.0448871,black,JONESBORO 16,JONESBORO 16,1572.0,78.0,570.0,667.0,0.0,0.0,both,low
15,063RD05,50020.9999236,black,RIVERDALE 5,RIVERDALE 5,2175.0,106.0,932.0,1051.0,0.0,0.0,both,mid
16,063JB03,56598.5908975,black,JONESBORO 3,JONESBORO 3,2850.0,289.0,1216.0,1526.0,0.0,0.0,both,mid
17,063JB10,44499.2552632,black,JONESBORO 10,JONESBORO 10,2241.0,115.0,786.0,920.0,0.0,0.0,both,low
18,063JB09,35822.5347114,black,JONESBORO 9,JONESBORO 9,1049.0,95.0,321.0,428.0,0.0,0.0,both,low
19,089FG,64793.0,black,FLAT ROCK ELEM,FLAT ROCK ELEM,2357.0,51.0,1257.0,1317.0,0.0,0.0,both,mid
20,089CF,64793.0000217,black,CANDLER-MURPHEY CANDLER ELEM,CANDLER-MURPHEY CANDLER ELEM,2267.0,114.0,1108.0,1229.0,0.0,0.0,both,mid
21,121JC08,126335.99752,white,JC08,JC08,2333.0,756.0,459.0,1242.0,0.0,0.0,both,high
22,121JC05,98246.0388369,,JC05,JC05,1795.0,447.0,312.0,772.0,0.0,0.0,both,mid
23,121JC04B,113558.0,white,JC04B,JC04B,209.0,51.0,36.0,88.0,0.0,0.0,both,high
24,121JC03A,98246.0004352,,JC03A,JC03A,462.0,136.0,76.0,213.0,0.0,0.0,both,mid
25,121JC04A,163061.374152,white,JC04A,JC04A,3539.0,1042.0,620.0,1683.0,0.0,0.0,both,high
26,121JC03B,98246.0002512,,JC03B,JC03B,1156.0,269.0,240.0,520.0,0.0,0.0,both,mid
27,121JC06,126336.000022,white,JC06,JC06,2210.0,740.0,293.0,1044.0,0.0,0.0,both,high
29,121JC02,119965.050347,,JC02,JC02,1383.0,362.0,243.0,614.0,0.0,0.0,both,high
30,089FE,65591.1473802,black,FLAT SHOALS PARKWAY,FLAT SHOALS PARKWAY,2766.0,58.0,1547.0,1619.0,0.0,0.0,both,mid
31,089CG,72421.3486141,black,CHAPEL HILL ELEM,CHAPEL HILL ELEM,2585.0,53.0,1454.0,1517.0,0.0,0.0,both,mid
32,089KD,75793.7897241,black,KING-ML KING JR HIGH,KING-ML KING JR HIGH,3355.0,54.0,2002.0,2065.0,0.0,0.0,both,mid
33,089BJ,69589.6873835,black,BROWNS MILL ELEM,BROWNS MILL ELEM,3026.0,80.0,1748.0,1843.0,0.0,0.0,both,mid
34,089OV,51142.8983879,black,OAK VIEW ELEM,OAK VIEW ELEM,3621.0,51.0,1825.0,1887.0,0.0,0.0,both,mid
36,089FK,74727.9999779,black,FLAKES MILL FIRE STATION,FLAKES MILL FIRE STATION,1534.0,33.0,800.0,839.0,0.0,0.0,both,mid
37,089SB,70105.1177822,white,SCOTT,SCOTT,2045.0,267.0,878.0,1170.0,0.0,0.0,both,mid
39,089CJ,79524.7953418,white,CLAIRMONT ROAD,CLAIRMONT ROAD,2676.0,378.0,965.0,1374.0,0.0,0.0,both,mid
40,063JB08,44427.2567272,black,JONESBORO 8,JONESBORO 8,2620.0,60.0,907.0,975.0,0.0,0.0,both,low
41,063MO8,54253.9085824,black,MORROW 8,MORROW 8,2143.0,87.0,1098.0,1193.0,0.0,0.0,both,mid
42,063MO5,64404.8017229,black,MORROW 5,MORROW 5,3588.0,325.0,1684.0,2037.0,0.0,0.0,both,mid
43,063RD07,39854.7245755,black,RIVERDALE 7,RIVERDALE 7,1766.0,96.0,524.0,636.0,0.0,0.0,both,low
44,063FP3,35993.1132663,,FOREST PARK 3,FOREST PARK 3,1628.0,149.0,540.0,699.0,0.0,0.0,both,low
45,063RD06,36949.3305338,black,RIVERDALE 6,RIVERDALE 6,2371.0,148.0,705.0,867.0,0.0,0.0,both,low
46,063JB15,35178.5895145,black,JONESBORO 15,JONESBORO 15,1955.0,114.0,621.0,749.0,0.0,0.0,both,low
