Governor,,,,,,,,,,,,,,,,,
,,J. NATHAN DEAL (I) R,,,,,JASON J. CARTER (D),,,,,ANDREW T. HUNT (L),,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Total
ELLENWOOD,4329,77,20,74,0,171,1068,47,1164,5,2284,19,4,7,0,30,2485
FOREST PARK 1,2148,106,8,56,0,170,418,12,164,1,595,17,1,11,0,29,794
FOREST PARK 2,1815,109,14,32,0,155,421,16,191,1,629,8,0,6,0,14,798
FOREST PARK 3,1628,90,12,47,0,149,320,30,190,0,540,10,0,0,0,10,699
FOREST PARK 4,1276,136,1,75,1,213,237,8,130,0,375,13,0,12,0,25,613
FOREST PARK 5,2507,148,8,61,0,217,468,19,218,0,705,16,0,2,0,18,940
FOREST PARK 6,1011,88,9,66,0,163,178,12,127,0,317,4,0,1,0,5,485
JONESBORO 1,3515,88,12,65,0,165,774,45,604,0,1423,15,1,10,0,26,1614
JONESBORO 2,3076,58,2,25,0,85,660,34,697,1,1392,9,0,1,0,10,1487
JONESBORO 3,2850,167,9,113,0,289,550,22,641,3,1216,10,3,8,0,21,1526
JONESBORO 4,1566,63,9,41,0,113,303,15,202,0,520,7,0,4,0,11,644
JONESBORO 5,1532,147,10,66,0,223,320,14,203,0,537,6,1,1,0,8,768
JONESBORO 6,2009,400,37,256,0,693,277,21,253,0,551,12,4,4,0,20,1264
JONESBORO 7,2340,149,21,126,0,296,500,25,405,0,930,11,2,3,0,16,1242
JONESBORO 8,2620,37,4,19,0,60,580,19,306,2,907,5,0,3,0,8,975
JONESBORO 9,1049,68,8,19,0,95,192,10,119,0,321,9,0,3,0,12,428
JONESBORO 10,2241,74,7,33,1,115,476,24,285,1,786,11,1,7,0,19,920
JONESBORO 11,2840,240,17,182,0,439,621,28,495,1,1145,16,0,11,0,27,1611
JONESBORO 12,2062,53,4,26,0,83,521,12,331,0,864,6,0,4,0,10,957
JONESBORO 13,1336,100,13,41,0,154,358,13,273,1,645,8,0,6,0,14,813
JONESBORO 14,3390,358,42,284,0,684,654,41,595,0,1290,22,3,8,0,33,2007
JONESBORO 15,1955,52,5,57,0,114,354,11,255,1,621,8,0,6,0,14,749
JONESBORO 16,1572,50,7,21,0,78,373,11,185,1,570,12,1,6,0,19,667
JONESBORO 17,3337,69,5,46,0,120,754,41,657,1,1453,10,0,8,0,18,1591
JONESBORO 18,2263,99,3,71,1,174,484,16,381,1,882,15,0,5,0,20,1076
LAKE CITY,2027,89,3,34,0,126,397,10,246,1,654,10,2,7,0,19,799
LOVEJOY 1,2716,121,6,142,0,269,634,30,574,1,1239,20,0,3,0,23,1531
LOVEJOY 2,2257,64,17,60,0,141,423,17,490,6,936,8,0,3,0,11,1088
LOVEJOY 3,4240,214,18,173,0,405,755,38,758,2,1553,8,5,11,0,24,1982
LOVEJOY 4,2983,74,8,77,0,159,652,21,693,2,1368,10,1,6,0,17,1544
LOVEJOY 5,2207,65,5,38,0,108,488,17,445,1,951,8,0,7,0,15,1074
MORROW 1,2104,82,5,25,0,112,598,16,263,0,877,9,0,5,0,14,1003
MORROW 2,1475,129,11,134,0,274,223,5,190,0,418,7,0,7,0,14,706
MORROW 3,3265,148,13,77,0,238,719,20,466,3,1208,19,0,5,0,24,1470
MORROW 4,1464,103,9,49,0,161,291,13,176,0,480,11,0,4,0,15,656
MORROW 5,3588,131,18,176,0,325,732,31,920,1,1684,13,1,14,0,28,2037
MORROW 6,1994,118,13,62,0,193,456,18,322,1,797,8,2,4,0,14,1004
MORROW 7,1452,85,7,45,0,137,297,6,184,0,487,10,0,1,0,11,635
MORROW 8,2143,51,3,33,0,87,566,16,515,1,1098,7,0,1,0,8,1193
MORROW 9,1030,46,2,41,0,89,232,13,186,0,431,7,1,4,0,12,532
OAK 1,1608,16,0,11,0,27,401,15,189,2,607,6,0,0,0,6,640
OAK 2,1039,24,4,5,0,33,260,13,104,0,377,5,0,1,0,6,416
OAK 3,2856,37,1,23,1,62,631,15,315,1,962,5,0,3,0,8,1032
OAK 4,2394,33,2,18,1,54,682,27,327,0,1036,5,1,3,0,9,1099
PANHANDLE 1,2293,119,7,45,0,171,617,31,496,0,1144,8,0,2,0,10,1325
PANHANDLE 2,2043,228,7,131,1,367,408,13,364,0,785,8,2,2,0,12,1164
RIVERDALE 1,1764,30,11,47,0,88,407,25,513,1,946,5,0,2,0,7,1041
RIVERDALE 2,2329,40,1,21,0,62,614,18,385,4,1021,7,1,2,0,10,1093
RIVERDALE 3,2580,46,4,25,0,75,657,24,478,0,1159,5,1,8,0,14,1248
RIVERDALE 4,3183,63,10,65,0,138,659,51,471,3,1184,9,0,3,0,12,1334
RIVERDALE 5,2175,66,8,32,0,106,549,20,360,3,932,7,1,5,0,13,1051
RIVERDALE 6,2371,93,9,46,0,148,428,24,253,0,705,9,0,5,0,14,867
RIVERDALE 7,1766,61,3,32,0,96,345,4,175,0,524,12,1,3,0,16,636
RIVERDALE 8,2115,74,15,48,0,137,548,32,554,1,1135,9,0,8,0,17,1289
RIVERDALE 9,2022,55,9,41,0,105,478,21,339,1,839,9,1,2,0,12,956
RIVERDALE 10,1942,13,0,12,0,25,418,11,224,2,655,4,0,2,0,6,686
RIVERDALE 11,1394,35,4,30,0,69,394,13,337,1,745,7,0,4,0,11,825
RIVERDALE 12,2214,65,6,21,0,92,601,31,442,1,1075,8,0,3,0,11,1178
