"United States Senator, Chambliss",,,,,,,,,,,,,,,,,,,,
,,DAVID A. PERDUE (R),,,,,,M. MICHELLE NUNN (D),,,,,,AMANDA C. SWAFFORD (L),,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Total
01A,2625,86,10,7,16,0,119,909,23,86,204,13,1235,22,0,2,3,0,27,1381
01B,3124,193,7,4,12,1,217,1212,21,94,162,5,1494,41,0,1,0,0,42,1753
01C1,812,8,0,1,1,0,10,208,8,27,31,2,276,1,0,1,0,0,2,288
01C2,205,0,0,0,0,0,0,36,2,2,2,0,42,0,0,0,0,0,0,42
01D,825,22,0,2,3,0,27,209,8,34,125,2,378,2,0,0,0,0,2,407
01E,2288,156,5,4,41,0,206,699,17,66,313,3,1098,22,1,0,4,1,28,1332
01F,960,4,0,1,0,0,5,215,1,11,27,1,255,2,0,2,0,0,4,264
01G,1578,27,4,0,4,0,35,415,10,38,132,10,605,10,0,1,1,0,12,652
01H,626,4,0,0,0,0,4,144,8,34,27,3,216,0,0,0,0,0,0,220
01I,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01J,1925,18,0,2,1,0,21,531,27,74,102,10,744,7,0,1,0,0,8,773
01P,977,6,1,0,0,0,7,342,18,14,44,3,421,3,0,0,0,0,3,431
01R,1129,4,0,0,0,0,4,289,8,21,24,6,348,2,0,0,0,0,2,354
01S,1360,9,0,1,0,0,10,425,13,35,69,3,545,3,0,0,0,0,3,558
01T,1145,34,1,4,3,1,43,305,10,22,38,11,386,11,1,0,1,0,13,442
02A,3102,244,18,31,17,0,310,736,43,128,57,10,974,23,1,0,0,1,25,1309
02B,2871,79,3,7,3,6,98,440,10,142,35,21,648,6,0,2,2,0,10,756
02C,1573,44,1,5,3,2,55,427,14,79,35,22,577,9,0,1,1,2,13,645
