Governor,,,,,,,,,,,,,,,,,
,,J. NATHAN DEAL (I)(R,,,,,JASON J. CARTER (D),,,,,ANDREW T. HUNT (L),,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Total
001 Harbins A,4016,842,43,413,5,1303,426,20,297,4,747,58,3,11,0,72,2122
002 Rockbridge A,2685,262,25,128,2,417,541,18,353,19,931,23,0,5,0,28,1376
003 Dacula,3307,571,25,312,1,909,459,14,287,6,766,33,3,7,1,44,1719
004 Suwanee A,1300,221,19,75,3,318,146,9,64,5,224,12,0,1,0,13,555
005 Baycreek A,2249,617,51,199,1,868,294,10,164,2,470,18,1,3,1,23,1361
006 Goodwins A,2879,574,39,117,1,731,459,16,178,1,654,45,2,7,1,55,1440
007 Duluth A,3545,777,44,169,8,998,506,29,205,3,743,50,0,4,1,55,1796
008 Duncans A,3536,1098,72,351,2,1523,283,21,134,2,440,43,1,9,0,53,2016
009 Pucketts A,3549,878,70,437,2,1387,269,21,172,1,463,31,2,10,0,43,1893
010 Cates A,1934,453,50,206,4,713,178,14,140,0,332,17,1,5,0,23,1068
011 Berkshire A,1680,223,21,22,3,269,288,12,89,5,394,17,0,1,0,18,681
012 Berkshire B,3567,288,47,193,4,532,561,28,411,11,1011,36,2,8,0,46,1589
013 Duncans C,2380,855,31,197,3,1086,182,6,73,1,262,31,2,3,0,36,1384
014 Garners A,2870,861,73,178,2,1114,396,22,109,2,529,47,2,3,0,52,1695
015 Lawrenceville A,2697,356,41,249,1,647,264,20,187,4,475,20,1,13,0,34,1156
016 Lawrenceville B,3360,453,30,183,2,668,589,17,388,1,995,28,5,3,0,36,1699
017 Martins A,2109,185,11,32,4,232,410,17,181,6,614,11,0,1,1,13,859
018 Martins B,2180,319,18,75,1,413,400,13,120,6,539,17,0,6,0,23,975
019 Martins C,1839,377,25,74,3,479,330,14,71,7,422,25,0,3,0,28,929
020 Pinckneyville A,1846,107,5,22,0,134,401,9,92,12,514,21,0,2,0,23,671
021 Pinckneyville B,2221,157,11,69,0,237,283,12,178,6,479,19,2,5,0,26,742
022 Pinckneyville C,1357,454,25,35,1,515,288,6,47,0,341,25,2,1,1,29,885
