,v_id,avg_income,race
0,063EW1,55772,black
1,063FP1,39772,black
2,063FP2,39196,black
3,063FP3,40214,black
4,063FP4,45909,black
5,063FP5,38031,
6,063FP6,44360,
7,063JB01,54801,black
8,063JB02,48911,black
9,063JB03,49749,black
10,063JB04,37116,black
11,063JB05,69130,black
12,063JB06,95494,white
13,063JB07,63803,black
14,063JB08,47459,black
15,063JB09,36321,
16,063JB10,42891,black
17,063JB11,70799,black
18,063JB12,51060,black
19,063JB13,62975,black
20,063JB14,72645,black
21,063JB15,41310,black
22,063JB16,44644,black
23,063JB17,42415,black
24,063JB18,56380,black
25,063LC1,47051,black
26,063LJ1,54255,black
27,063LJ2,55644,black
28,063LJ3,68385,black
29,063LJ4,57914,black
30,063LJ5,53662,black
31,063MO1,43038,black
32,063MO2,47506,black
33,063MO3,51610,black
34,063MO4,53941,black
35,063MO5,62479,black
36,063MO6,60486,black
37,063MO7,51658,black
38,063MO8,60025,black
39,063MO9,50694,black
40,063OAK1,39880,black
41,063OAK2,47505,black
42,063OAK3,38539,black
43,063OAK4,47995,black
44,063PH1,73155,black
45,063PH2,73153,black
46,063RD01,61449,black
47,063RD02,45682,black
48,063RD03,50131,black
49,063RD04,51116,black
50,063RD05,49601,black
51,063RD06,38543,black
52,063RD07,41924,black
53,063RD08,65003,black
54,063RD09,52196,black
55,063RD10,36016,black
56,063RD11,67740,black
57,063RD12,55731,black
58,067AC1A,89520,white
59,067AC1B,52656,white
60,067AC1C,74406,white
61,067AD01,90413,white
62,067AU1A,61033,black
63,067BF02,82760,white
64,067BF03,80591,white
65,067BG01,73774,white
66,067BG02,104425,white
67,067BK01,86559,white
68,067BR01,77787,
69,067BR02,86068,white
70,067BT01,52106,black
71,067BT02,42908,black
72,067BW01,86462,white
73,067CA01,66735,
74,067CH02,106103,white
75,067CH03,96701,white
76,067CK01,53513,white
77,067CL01,64970,black
78,067CL02,68217,black
79,067CO01,67193,black
80,067CR01,128597,white
81,067DC01,134977,white
82,067DI01,50714,
83,067DL01,103056,white
84,067DO01,125279,white
85,067DU01,125833,white
86,067DV01,103145,white
87,067EA01,132482,white
88,067EA02,98963,white
89,067EL01,67155,white
90,067EL02,64370,white
91,067EL03,92987,white
92,067EL04,67129,white
93,067EL05,102537,white
94,067EP01,61055,white
95,067FO01,59842,
96,067FO02,52895,
97,067FO04,44584,
98,067FO05,39693,
99,067FP01,136145,white
100,067FR01,142126,white
101,067FY01,122735,white
102,067GM01,111733,white
103,067GT01,84035,white
104,067HL01,75094,
105,067HR01,134778,white
106,067HT01,133473,white
107,067HY01,93892,white
108,067KE1A,67986,white
109,067KE2A,87964,white
110,067KE2B,88519,white
111,067KE3A,72716,white
112,067KE4A,68286,white
113,067KE5A,80916,white
114,067KE5B,86661,white
115,067KL01,93125,white
116,067KP01,128193,white
117,067KP02,101368,white
118,067KP03,137711,white
119,067LA01,120011,white
120,067LI01,135298,white
121,067LM01,111910,white
122,067LM02,142786,white
123,067LM03,121507,white
124,067LM04,130324,white
125,067LW01,92366,white
126,067MA01,73757,white
127,067MA02,55164,black
128,067MA03,100218,white
129,067MA04,96620,white
130,067MB01,137690,white
131,067MC01,71150,
132,067MD01,124587,white
133,067ME01,74844,white
134,067MK01,106040,white
135,067ML01,93575,white
136,067MR1A,47238,
137,067MR2A,87329,white
138,067MR2B,63486,
139,067MR3A,52952,
140,067MR4A,90286,white
141,067MR4B,66129,white
142,067MR4C,89728,white
143,067MR5A,51583,
