AREA,COUNTY,COUNTY_NAM,CTYSOSID,DATA,DISTRICT,FIPS2,ID,PRECINCT_I,PRECINCT_N,income_r_1,income_rac
0.27,60,FULTON,121UC034,1585,121UC034,121,884305,UC034,UC034,49669.0000975,black
1.42,31,CLAYTON,063RD02,489,063RD02,063,906458,RD02,RIVERDALE 2,48828.1436927,black
1.25,31,CLAYTON,063JB12,460,063JB12,063,906514,JB12,JONESBORO 12,52807.9999916,black
1.38,31,CLAYTON,063RD12,499,063RD12,063,906550,RD12,RIVERDALE 12,56430.6573469,black
2.71,60,FULTON,121SC212,1527,121SC212,121,865539,SC212,SC212,49669.0,black
1.93,60,FULTON,121FA01B,1424,121FA01B,121,865657,FA01B,FA01B,49669.0,black
15.12,60,FULTON,121FA01A,1423,121FA01A,121,856612,FA01A,FA01A,60801.4212202,black
2.82,67,GWINNETT,1352,1659,1352,135,4914136,2,ROCKBRIDGE A,66640.9990353,black
3.08,67,GWINNETT,13575,1732,13575,135,4914201,75,ROCKBRIDGE C,68494.6886219,black
11.04,60,FULTON,121PA01,1469,121PA01,121,848913,PA01,PA01,45172.5612156,white
0.02,60,FULTON,121CH04B,1400,121CH04B,121,849089,CH04B,CH04B,41282.0,white
1.93,31,CLAYTON,063JB17,465,063JB17,063,1060127,JB17,JONESBORO 17,43596.1683036,black
1.49,31,CLAYTON,063JB02,450,063JB02,063,1060189,JB02,JONESBORO 2,49034.3307719,black
1.33,31,CLAYTON,063RD09,496,063RD09,063,1060238,RD09,RIVERDALE 9,50495.8311885,black
0.98,31,CLAYTON,063JB16,464,063JB16,063,1060297,JB16,JONESBORO 16,40743.0448871,black
1.12,31,CLAYTON,063RD05,492,063RD05,063,1060357,RD05,RIVERDALE 5,50020.9999236,black
4.09,31,CLAYTON,063JB03,451,063JB03,063,1060412,JB03,JONESBORO 3,56598.5908975,black
1.51,31,CLAYTON,063JB10,458,063JB10,063,1060513,JB10,JONESBORO 10,44499.2552632,black
1.26,31,CLAYTON,063JB09,457,063JB09,063,1060578,JB09,JONESBORO 9,35822.5347114,black
2.44,44,DEKALB,089FG,847,089FG,089,4876383,FG,FLAT ROCK ELEM,64793.0,black
8.53,44,DEKALB,089CF,812,089CF,089,4876418,CF,CANDLER-MURPHEY CAND,64793.0000217,black
1.23,60,FULTON,121JC08,1435,121JC08,121,4865051,JC08,JC08,126335.99752,white
0.72,60,FULTON,121JC05,1432,121JC05,121,4865113,JC05,JC05,98246.0388369,
0.13,60,FULTON,121JC04B,1431,121JC04B,121,4865156,JC04B,JC04B,113558.0,white
0.16,60,FULTON,121JC03A,1428,121JC03A,121,4865181,JC03A,JC03A,98246.0004352,
1.44,60,FULTON,121JC04A,1430,121JC04A,121,4865211,JC04A,JC04A,163061.374152,white
0.56,60,FULTON,121JC03B,1429,121JC03B,121,4865253,JC03B,JC03B,98246.0002512,
1.73,60,FULTON,121JC06,1433,121JC06,121,4865282,JC06,JC06,126336.000022,white
2.33,67,GWINNETT,135111,1768,135111,135,4865324,111,DULUTH H,76509.2838063,
2.66,60,FULTON,121JC02,1427,121JC02,121,4865372,JC02,JC02,119965.050347,
1.47,44,DEKALB,089FE,846,089FE,089,4655028,FE,FLAT SHOALS PARKWAY,65591.1473802,black
1.21,44,DEKALB,089CG,813,089CG,089,4655092,CG,CHAPEL HILL ELEM,72421.3486141,black
3.45,44,DEKALB,089KD,871,089KD,089,4655353,KD,KING-ML KING JR HIGH,75793.7897241,black
2.46,44,DEKALB,089BJ,803,089BJ,089,4655418,BJ,BROWNS MILL ELEM,69589.6873835,black
1.98,44,DEKALB,089OV,912,089OV,089,4646997,OV,OAK VIEW ELEM,51142.8983879,black
3.26,44,DEKALB,089HH,862,089HH,089,4647062,HH,NARVIE J HARRIS ELEM,59598.6970728,black
1.67,44,DEKALB,089FK,849,089FK,089,4647130,FK,FLAKES MILL FIRE STA,74727.9999779,black
0.79,44,DEKALB,089SB,937,089SB,089,4637993,SB,SCOTT,70105.1177822,white
0.87,44,DEKALB,089MG,887,089MG,089,4638066,MG,MEDLOCK,69707.7390984,white
1.03,44,DEKALB,089CJ,816,089CJ,089,4638128,CJ,CLAIRMONT ROAD,79524.7953418,white
1.59,31,CLAYTON,063JB08,456,063JB08,063,4638195,JB08,JONESBORO 8,44427.2567272,black
1.29,31,CLAYTON,063MO8,480,063MO8,063,4638260,MO8,MORROW 8,54253.9085824,black
2.92,31,CLAYTON,063MO5,477,063MO5,063,4638309,MO5,MORROW 5,64404.8017229,black
1.9,31,CLAYTON,063RD07,494,063RD07,063,4544214,RD07,RIVERDALE 7,39854.7245755,black
4.62,31,CLAYTON,063FP3,445,063FP3,063,4544279,FP3,FOREST PARK 3,35993.1132663,
1.68,31,CLAYTON,063RD06,493,063RD06,063,4544380,RD06,RIVERDALE 6,36949.3305338,black
2.31,31,CLAYTON,063JB15,463,063JB15,063,4544453,JB15,JONESBORO 15,35178.5895145,black
2.33,31,CLAYTON,063FP5,447,063FP5,063,4544524,FP5,FOREST PARK 5,37037.8752304,
0.86,31,CLAYTON,063FP6,448,063FP6,063,4544594,FP6,FOREST PARK 6,46613.8230662,
1.88,31,CLAYTON,063RD04,491,063RD04,063,4538463,RD04,RIVERDALE 4,49299.9556957,black
0.78,60,FULTON,12111J,1349,12111J,121,4030419,11J,11J,41628.0000181,black
3.18,60,FULTON,121SC23A,1529,121SC23A,121,4030469,SC23A,SC23A,56054.9410052,black
1.17,31,CLAYTON,063RD11,498,063RD11,063,4030538,RD11,RIVERDALE 11,65591.2016586,black
0.97,60,FULTON,121SC27,1531,121SC27,121,4030602,SC27,SC27,43809.1670036,black
0.38,60,FULTON,121CP083,1416,121CP083,121,4030651,CP083,CP083,41166.0,black
0.2,60,FULTON,121CP08A,1418,121CP08A,121,4030710,CP08A,CP08A,57248.9999496,white
1.94,31,CLAYTON,063RD08,495,063RD08,063,4030748,RD08,RIVERDALE 8,62179.274513,black
3.46,60,FULTON,121SC08B,1504,121SC08B,121,4013924,SC08B,SC08B,43010.1486789,black
1.22,60,FULTON,121SC29A,1532,121SC29A,121,4014046,SC29A,SC29A,49669.0001547,black
0.71,60,FULTON,121SC23B,1530,121SC23B,121,4014094,SC23B,SC23B,54597.9959849,black
0.95,60,FULTON,121SC09B,1511,121SC09B,121,4014125,SC09B,SC09B,46959.0854889,black
0.81,60,FULTON,121SC11B,1514,121SC11B,121,4014175,SC11B,SC11B,56759.9999777,black
0.83,60,FULTON,121SC11A,1513,121SC11A,121,4014221,SC11A,SC11A,56759.9999747,black
0.17,60,FULTON,121SC08D,1506,121SC08D,121,4014346,SC08D,SC08D,39694.0,black
0.55,60,FULTON,121UC01B,1576,121UC01B,121,4014370,UC01B,UC01B,39848.998953,black
1.28,60,FULTON,121SC09A,1510,121SC09A,121,4014446,SC09A,SC09A,44086.6969134,black
2.42,60,FULTON,121UC01A,1575,121UC01A,121,4007941,UC01A,UC01A,49338.6179548,black
2.28,60,FULTON,121UC031,1582,121UC031,121,4008004,UC031,UC031,51926.3173636,black
0.23,60,FULTON,121SC08E,1507,121SC08E,121,4008090,SC08E,SC08E,49346.9978534,black
0.27,60,FULTON,121UC035,1586,121UC035,121,4008147,UC035,UC035,50266.6137287,black
0.85,60,FULTON,121UC01D,1578,121UC01D,121,4008245,UC01D,UC01D,48657.0,black
0.15,60,FULTON,121SC17B,1520,121SC17B,121,4008306,SC17B,SC17B,48657.0,black
11.0,60,FULTON,121SC07A,1501,121SC07A,121,3974577,SC07A,SC07A,64043.8404756,black
17.58,60,FULTON,121CH03,1398,121CH03,121,3886504,CH03,CH03,41282.0,white
5.24,60,FULTON,121CH02,1397,121CH02,121,3886642,CH02,CH02,41282.0000023,white
2.77,60,FULTON,121CH01,1396,121CH01,121,3886700,CH01,CH01,41282.0,white
17.33,60,FULTON,121SC04,1497,121SC04,121,3886746,SC04,SC04,51949.8440986,white
18.69,60,FULTON,121CH05,1401,121CH05,121,797909,CH05,CH05,41282.0,white
6.8,60,FULTON,121CH04A,1399,121CH04A,121,798082,CH04A,CH04A,41282.0,white
2.69,31,CLAYTON,063JB18,466,063JB18,063,1073521,JB18,JONESBORO 18,52205.8454371,black
2.9,31,CLAYTON,063JB11,459,063JB11,063,1073600,JB11,JONESBORO 11,71803.0289449,black
2.02,31,CLAYTON,063JB07,455,063JB07,063,1073694,JB07,JONESBORO 7,61414.1036329,black
3.84,31,CLAYTON,063JB06,454,063JB06,063,1073760,JB06,JONESBORO 6,98786.0904393,white
0.14,60,FULTON,121UC032,1583,121UC032,121,890832,UC032,UC032,49669.0000862,black
1.76,60,FULTON,121SC211,1526,121SC211,121,890867,SC211,SC211,54300.2067363,black
1.94,31,CLAYTON,063JB01,449,063JB01,063,898570,JB01,JONESBORO 1,39933.0779979,black
1.68,31,CLAYTON,063PH1,486,063PH1,063,1053163,PH1,PANHANDLE 1,71320.0,black
2.08,31,CLAYTON,063JB13,461,063JB13,063,1053201,JB13,JONESBORO 13,61686.8245944,black
1.85,31,CLAYTON,063LJ4,471,063LJ4,063,1053254,LJ4,LOVEJOY 4,62823.9968421,black
1.17,31,CLAYTON,063LJ5,472,063LJ5,063,1053297,LJ5,LOVEJOY 5,48898.9998072,black
10.67,31,CLAYTON,063PH2,487,063PH2,063,1044861,PH2,PANHANDLE 2,71320.0,black
1.49,31,CLAYTON,063JB04,452,063JB04,063,1067981,JB04,JONESBORO 4,37524.6059607,black
7.56,31,CLAYTON,063LJ3,470,063LJ3,063,1068024,LJ3,LOVEJOY 3,66907.0979587,black
6.59,31,CLAYTON,063LJ1,468,063LJ1,063,1068127,LJ1,LOVEJOY 1,50463.5165331,black
4.84,31,CLAYTON,063LJ2,469,063LJ2,063,1068221,LJ2,LOVEJOY 2,59069.9955964,black
1.42,31,CLAYTON,063JB05,453,063JB05,063,1068289,JB05,JONESBORO 5,62825.0,black
3.61,31,CLAYTON,063JB14,462,063JB14,063,1068337,JB14,JONESBORO 14,66969.206291,black
4.55,67,GWINNETT,135147,1804,135147,135,5075546,147,BAYCREEK I,90842.5664644,
7.52,67,GWINNETT,13580,1737,13580,135,5075606,80,BAYCREEK C,84393.7784348,
2.27,67,GWINNETT,13590,1747,13590,135,5075667,90,LAWRENCEVILLE I,57021.6103245,
2.33,67,GWINNETT,13585,1742,13585,135,5075729,85,LAWRENCEVILLE H,88378.1611122,white
1.38,67,GWINNETT,135132,1789,135132,135,5075788,132,LAWRENCEVILLE K,87845.014055,white
4.06,67,GWINNETT,13560,1717,13560,135,5075831,60,LAWRENCEVILLE D,62617.0986675,
3.18,67,GWINNETT,13542,1699,13542,135,5075925,42,LAWRENCEVILLE C,86150.1992045,white
4.27,67,GWINNETT,1359,1666,1359,135,5219882,9,PUCKETTS A,80975.999975,white
4.39,67,GWINNETT,135135,1792,135135,135,5220026,135,PUCKETTS C,90506.7657347,white
6.33,67,GWINNETT,1353,1660,1353,135,5093428,3,DACULA,88376.2428555,white
2.43,67,GWINNETT,135152,1809,135152,135,5093509,152,ROCKYCREEK C,92688.0017271,white
2.39,67,GWINNETT,135137,1794,135137,135,5093552,137,ROCKYCREEK B,80511.0777688,white
3.01,67,GWINNETT,135154,1811,135154,135,5093594,154,PUCKETTS D,80791.9673805,white
3.03,67,GWINNETT,1358,1665,1358,135,5093659,8,DUNCANS A,110889.981861,white
1.6,67,GWINNETT,13513,1670,13513,135,5093729,13,DUNCANS C,111087.0,white
4.15,60,FULTON,121RW09,1479,121RW09,121,5093769,RW09,RW09,176443.563528,white
3.41,67,GWINNETT,135108,1765,135108,135,5066269,108,BAYCREEK E,80886.0366707,
5.08,67,GWINNETT,135145,1802,135145,135,5066342,145,BAYCREEK G,76761.3788658,white
7.92,67,GWINNETT,135146,1803,135146,135,5066508,146,BAYCREEK H,82443.0556252,white
