County Name,County Code,County Precinct,Precinct Description,Combo#,Cong,Senat,House,Judic,Ward,Schol,Watbd,Supcm,Schob,Fire,Cityl,Commi,Munib,
APPLING,001,1A,1A,00102,012,019,156,001,,1,,,,,,1,,
APPLING,001,1A1,1A1,00102,012,019,156,001,,1,,,,,,1,,
APPLING,001,1B,1B,00102,012,019,156,001,,1,,,,,,1,,
APPLING,001,1C,1C,00102,012,019,156,001,,1,,,,,,1,,
APPLING,001,1D,1D,00102,012,019,156,001,,1,,,,,,1,,
APPLING,001,1D,1D,00103,012,019,156,001,,1,,,,,LRG,1,,
APPLING,001,2,2,00104,012,019,156,001,,2,,,,,,2,,
APPLING,001,2,2,00105,012,019,156,001,1,2,,,,,,2,,
APPLING,001,2,2,00106,012,019,156,001,2,2,,,,,,2,,
APPLING,001,2,2,00107,012,019,156,001,6,2,,,,,,2,,
APPLING,001,2,2,00202,012,019,156,001,3,2,,,,,,2,,
APPLING,001,3A,3A,00109,012,019,156,001,,3,,,,,,3,,
APPLING,001,3A1,3A1,00109,012,019,156,001,,3,,,,,,3,,
APPLING,001,3B,3B,00110,012,019,178,001,,3,,,,,LRG,3,,
APPLING,001,3B,3B,00201,012,019,178,001,,3,,,,,,3,,
APPLING,001,3C,3C,00109,012,019,156,001,,3,,,,,,3,,
APPLING,001,3C,3C,00111,012,019,156,001,2,3,,,,,,3,,
APPLING,001,3C,3C,00112,012,019,156,001,3,3,,,,,,3,,
APPLING,001,3C,3C,00113,012,019,156,001,4,3,,,,,,3,,
APPLING,001,3C,3C,00114,012,019,156,001,5,3,,,,,,3,,
APPLING,001,3C,3C,00115,012,019,156,001,6,3,,,,,,3,,
APPLING,001,4A,4A,00116,012,019,178,001,,4,,,,,,4,,
APPLING,001,4B,4B,00116,012,019,178,001,,4,,,,,,4,,
APPLING,001,4C,4C,00116,012,019,178,001,,4,,,,,,4,,
APPLING,001,4D,4D,00116,012,019,178,001,,4,,,,,,4,,
APPLING,001,4D,4D,00117,012,019,178,001,4,4,,,,,,4,,
APPLING,001,5A,5A,00118,012,019,156,001,,5,,,,,,5,,
APPLING,001,5A,5A,00119,012,019,156,001,5,5,,,,,,5,,
APPLING,001,5A,5A,00120,012,019,156,001,6,5,,,,,,5,,
APPLING,001,5B,5B,00118,012,019,156,001,,5,,,,,,5,,
APPLING,001,5B,5B,00121,012,019,156,001,,5,,,,,LRG,5,,
APPLING,001,5C,5C,00118,012,019,156,001,,5,,,,,,5,,
APPLING,001,88888,88888,00000,99999,99999,99999,99999,,,,,,,,99999,,
APPLING,001,99999,99999,00000,99999,99999,99999,99999,,,,,,,,99999,,
ATKINSON,002,0001,PEARSON COUNTY,00003,008,007,176,002,,3,,,,,,3,,
ATKINSON,002,0001,PEARSON COUNTY,00005,008,007,176,002,,4,,,,,,4,,
ATKINSON,002,0001,PEARSON COUNTY,00008,008,007,176,002,,5,,,,,,5,,
ATKINSON,002,0001,PEARSON COUNTY,00011,008,007,176,002,,2,,,,,,2,,
ATKINSON,002,0002,AXSON,00008,008,007,176,002,,5,,,,,,5,,
ATKINSON,002,0003,WILLACOOCHEE,00001,008,007,176,002,,1,,,,,LRG,1,,
ATKINSON,002,0003,WILLACOOCHEE,00003,008,007,176,002,,3,,,,,,3,,
ATKINSON,002,0003,WILLACOOCHEE,00012,008,007,176,002,,1,,,,,,1,,
ATKINSON,002,0004,PEARSON CITY,00002,008,007,176,002,,2,,,,,LRG,2,,
ATKINSON,002,0004,PEARSON CITY,00004,008,007,176,002,,4,,,,,LRG,4,,
ATKINSON,002,88888,88888,00000,99999,99999,99999,99999,,,,,,,,99999,,
ATKINSON,002,99999,99999,00000,99999,99999,99999,99999,,,,,,,,99999,,
BACON,003,88888,88888,00000,99999,99999,99999,99999,,,,,,,,99999,,
