DISTRICT,income,race
121UC034,49669.0000975,black
063RD02,48828.1436927,black
063JB12,52807.9999916,black
063RD12,56430.6573469,black
121SC212,49669.0,black
121FA01B,49669.0,black
121FA01A,60801.4212202,black
1352,66640.9990353,black
13575,68494.6886219,black
121PA01,45172.5612156,white
121CH04B,41282.0,white
063JB17,43596.1683036,black
063JB02,49034.3307719,black
063RD09,50495.8311885,black
063JB16,40743.0448871,black
063RD05,50020.9999236,black
063JB03,56598.5908975,black
063JB10,44499.2552632,black
063JB09,35822.5347114,black
089FG,64793.0,black
089CF,64793.0000217,black
121JC08,126335.99752,white
121JC05,98246.0388369,
121JC04B,113558.0,white
121JC03A,98246.0004352,
121JC04A,163061.374152,white
121JC03B,98246.0002512,
121JC06,126336.000022,white
135111,76509.2838063,
121JC02,119965.050347,
089FE,65591.1473802,black
089CG,72421.3486141,black
089KD,75793.7897241,black
089BJ,69589.6873835,black
089OV,51142.8983879,black
089HH,59598.6970728,black
089FK,74727.9999779,black
089SB,70105.1177822,white
089MG,69707.7390984,white
089CJ,79524.7953418,white
063JB08,44427.2567272,black
063MO8,54253.9085824,black
063MO5,64404.8017229,black
063RD07,39854.7245755,black
063FP3,35993.1132663,
063RD06,36949.3305338,black
063JB15,35178.5895145,black
063FP5,37037.8752304,
063FP6,46613.8230662,
063RD04,49299.9556957,black
12111J,41628.0000181,black
121SC23A,56054.9410052,black
063RD11,65591.2016586,black
121SC27,43809.1670036,black
121CP083,41166.0,black
121CP08A,57248.9999496,white
063RD08,62179.274513,black
121SC08B,43010.1486789,black
121SC29A,49669.0001547,black
121SC23B,54597.9959849,black
121SC09B,46959.0854889,black
121SC11B,56759.9999777,black
121SC11A,56759.9999747,black
121SC08D,39694.0,black
121UC01B,39848.998953,black
121SC09A,44086.6969134,black
121UC01A,49338.6179548,black
121UC031,51926.3173636,black
121SC08E,49346.9978534,black
121UC035,50266.6137287,black
121UC01D,48657.0,black
121SC17B,48657.0,black
121SC07A,64043.8404756,black
121CH03,41282.0,white
121CH02,41282.0000023,white
121CH01,41282.0,white
121SC04,51949.8440986,white
121CH05,41282.0,white
121CH04A,41282.0,white
063JB18,52205.8454371,black
063JB11,71803.0289449,black
063JB07,61414.1036329,black
063JB06,98786.0904393,white
121UC032,49669.0000862,black
121SC211,54300.2067363,black
063JB01,39933.0779979,black
063PH1,71320.0,black
063JB13,61686.8245944,black
063LJ4,62823.9968421,black
063LJ5,48898.9998072,black
063PH2,71320.0,black
063JB04,37524.6059607,black
063LJ3,66907.0979587,black
063LJ1,50463.5165331,black
063LJ2,59069.9955964,black
063JB05,62825.0,black
063JB14,66969.206291,black
135147,90842.5664644,
13580,84393.7784348,
13590,57021.6103245,
13585,88378.1611122,white
135132,87845.014055,white
13560,62617.0986675,
13542,86150.1992045,white
1359,80975.999975,white
135135,90506.7657347,white
1353,88376.2428555,white
135152,92688.0017271,white
135137,80511.0777688,white
135154,80791.9673805,white
1358,110889.981861,white
13513,111087.0,white
121RW09,176443.563528,white
135108,80886.0366707,
135145,76761.3788658,white
135146,82443.0556252,white
13591,94098.1579451,white
135133,82440.026504,white
13528,103858.05682,white
135129,111273.950701,white
13539,111722.999983,white
135104,74483.9951314,black
13576,74483.9999396,black
13552,86326.5441964,white
1351,77447.9999908,white
135151,77448.0000003,white
067WL01,136873.844336,white
121RW07B,45170.9301991,hispanic
121AP03,57454.0000093,
121RW05,58003.9855617,
121AP021,110781.941078,white
121RW06,93606.2385029,white
121RW13,103843.601204,white
121AP01D,81158.1907624,white
121AP02B,61654.999889,
121AP022,61655.0002753,
121AP01B,84909.9999854,
063RD01,59697.5995614,black
063RD03,48284.7791155,black
063OAK4,50172.3189563,black
063OAK2,46756.5878746,black
063RD10,31847.5402106,black
063OAK3,34426.8627647,black
121CP06,57248.9999336,white
121CP05B,35056.3167721,black
121CP07D,35016.0,black
121RW08,104907.832885,white
121RW18,152029.727253,white
121RW16,110849.313211,white
121RW12,113046.672824,white
089DI,159717.823872,white
089AD,157989.300633,white
089MQ,146753.47041,white
121SS15B,72017.9998374,
121SS17,46878.6732202,white
063OAK1,40769.3914333,black
121CP02,79794.9668548,
121CP01B,79794.9992581,
067VG01,88765.7888437,white
12109F,92955.4619794,white
12108N2,221381.421359,white
12108N1,221299.000193,white
12108F1,226070.090638,white
12108A,263565.203108,white
12108D,255725.654679,white
067CA01,67115.7864348,
067TM01,62734.6678864,
067SO02,109556.046759,white
121SS09A,66325.2756171,white
067SO03,166386.08086,white
121SS16,58034.0000791,
121AP09A,105645.403973,white
