DISTRICT,income,race,Precinct Description
121UC034,49669.0000975,black,UC034
063RD02,48828.1436927,black,RIVERDALE 2
063JB12,52807.9999916,black,JONESBORO 12
063RD12,56430.6573469,black,RIVERDALE 12
121SC212,49669.0,black,SC212
121FA01B,49669.0,black,FA01B
121FA01A,60801.4212202,black,FA01A
1352,66640.9990353,black,ROCKBRIDGE A
13575,68494.6886219,black,ROCKBRIDGE C
121PA01,45172.5612156,white,PA01
121CH04B,41282.0,white,CH04B
063JB17,43596.1683036,black,JONESBORO 17
063JB02,49034.3307719,black,JONESBORO 2
063RD09,50495.8311885,black,RIVERDALE 9
063JB16,40743.0448871,black,JONESBORO 16
063RD05,50020.9999236,black,RIVERDALE 5
063JB03,56598.5908975,black,JONESBORO 3
063JB10,44499.2552632,black,JONESBORO 10
063JB09,35822.5347114,black,JONESBORO 9
089FG,64793.0,black,FLAT ROCK ELEM
089CF,64793.0000217,black,CANDLER-MURPHEY CANDLER ELEM
121JC08,126335.99752,white,JC08
121JC05,98246.0388369,,JC05
121JC04B,113558.0,white,JC04B
121JC03A,98246.0004352,,JC03A
121JC04A,163061.374152,white,JC04A
121JC03B,98246.0002512,,JC03B
121JC06,126336.000022,white,JC06
135111,76509.2838063,,DULUTH H
121JC02,119965.050347,,JC02
089FE,65591.1473802,black,FLAT SHOALS PARKWAY
089CG,72421.3486141,black,CHAPEL HILL ELEM
089KD,75793.7897241,black,KING-ML KING JR HIGH
089BJ,69589.6873835,black,BROWNS MILL ELEM
089OV,51142.8983879,black,OAK VIEW ELEM
089HH,59598.6970728,black,NARVIE J HARRIS ELEM
089FK,74727.9999779,black,FLAKES MILL FIRE STATION
089SB,70105.1177822,white,SCOTT
089MG,69707.7390984,white,MEDLOCK
089CJ,79524.7953418,white,CLAIRMONT ROAD
063JB08,44427.2567272,black,JONESBORO 8
063MO8,54253.9085824,black,MORROW 8
063MO5,64404.8017229,black,MORROW 5
063RD07,39854.7245755,black,RIVERDALE 7
063FP3,35993.1132663,,FOREST PARK 3
063RD06,36949.3305338,black,RIVERDALE 6
063JB15,35178.5895145,black,JONESBORO 15
063FP5,37037.8752304,,FOREST PARK 5
063FP6,46613.8230662,,FOREST PARK 6
063RD04,49299.9556957,black,RIVERDALE 4
12111J,41628.0000181,black,11J
121SC23A,56054.9410052,black,SC23A
063RD11,65591.2016586,black,RIVERDALE 11
121SC27,43809.1670036,black,SC27
121CP083,41166.0,black,CP083
121CP08A,57248.9999496,white,CP08A
063RD08,62179.274513,black,RIVERDALE 8
121SC08B,43010.1486789,black,SC08B
121SC29A,49669.0001547,black,SC29A
121SC23B,54597.9959849,black,SC23B
121SC09B,46959.0854889,black,SC09B
121SC11B,56759.9999777,black,SC11B
121SC11A,56759.9999747,black,SC11A
121SC08D,39694.0,black,SC08D
121UC01B,39848.998953,black,UC01B
121SC09A,44086.6969134,black,SC09A
121UC01A,49338.6179548,black,UC01A
121UC031,51926.3173636,black,UC031
121SC08E,49346.9978534,black,SC08E
121UC035,50266.6137287,black,UC035
121UC01D,48657.0,black,UC01D
121SC17B,48657.0,black,SC17B
121SC07A,64043.8404756,black,SC07A
121CH03,41282.0,white,CH03
121CH02,41282.0000023,white,CH02
121CH01,41282.0,white,CH01
121SC04,51949.8440986,white,SC04
121CH05,41282.0,white,CH05
121CH04A,41282.0,white,CH04A
063JB18,52205.8454371,black,JONESBORO 18
063JB11,71803.0289449,black,JONESBORO 11
063JB07,61414.1036329,black,JONESBORO 7
063JB06,98786.0904393,white,JONESBORO 6
121UC032,49669.0000862,black,UC032
121SC211,54300.2067363,black,SC211
063JB01,39933.0779979,black,JONESBORO 1
063PH1,71320.0,black,PANHANDLE 1
063JB13,61686.8245944,black,JONESBORO 13
063LJ4,62823.9968421,black,LOVEJOY 4
063LJ5,48898.9998072,black,LOVEJOY 5
063PH2,71320.0,black,PANHANDLE 2
063JB04,37524.6059607,black,JONESBORO 4
063LJ3,66907.0979587,black,LOVEJOY 3
063LJ1,50463.5165331,black,LOVEJOY 1
063LJ2,59069.9955964,black,LOVEJOY 2
063JB05,62825.0,black,JONESBORO 5
063JB14,66969.206291,black,JONESBORO 14
135147,90842.5664644,,BAYCREEK I
13580,84393.7784348,,BAYCREEK C
13590,57021.6103245,,LAWRENCEVILLE I
13585,88378.1611122,white,LAWRENCEVILLE H
135132,87845.014055,white,LAWRENCEVILLE K
