,Precinct,Precincts,dem_p,dem_votes,registered_v,rep_p,rep_votes,total,County Name,County Code,County Precinct,Precinct Description,Combo#,Cong,Senat,House,Judic,Ward,Schol,Watbd,Supcm,Schob,Fire,Cityl,Commi,Munib,Unnamed: 18,_merge
0,ELLENWOOD,,0,2284,4329,0,171,2485,CLAYTON,31.0,EW1,ELLENWOOD,438.0,5.0,44.0,76.0,6.0,,8.0,,,,,,1.0,,,both
1,FOREST PARK 1,,0,595,2148,0,170,794,CLAYTON,31.0,FP1,FOREST PARK 1,402.0,5.0,34.0,60.0,6.0,,4.0,,,,,,2.0,,,both
2,FOREST PARK 1,,0,595,2148,0,170,794,CLAYTON,31.0,FP1,FOREST PARK 1,403.0,5.0,34.0,60.0,6.0,,4.0,,,,,1,2.0,,,both
3,FOREST PARK 1,,0,595,2148,0,170,794,CLAYTON,31.0,FP1,FOREST PARK 1,404.0,5.0,34.0,60.0,6.0,,4.0,,,,,2,2.0,,,both
4,FOREST PARK 1,,0,595,2148,0,170,794,CLAYTON,31.0,FP1,FOREST PARK 1,405.0,5.0,34.0,60.0,6.0,,4.0,,,,,3,2.0,,,both
5,FOREST PARK 1,,0,595,2148,0,170,794,CLAYTON,31.0,FP1,FOREST PARK 1,406.0,5.0,34.0,60.0,6.0,,4.0,,,,,4,2.0,,,both
6,FOREST PARK 2,,0,629,1815,0,155,798,CLAYTON,31.0,FP2,FOREST PARK 2,407.0,5.0,34.0,60.0,6.0,,8.0,,,,,,1.0,,,both
7,FOREST PARK 2,,0,629,1815,0,155,798,CLAYTON,31.0,FP2,FOREST PARK 2,408.0,5.0,34.0,60.0,6.0,,8.0,,,,,3,1.0,,,both
8,FOREST PARK 2,,0,629,1815,0,155,798,CLAYTON,31.0,FP2,FOREST PARK 2,478.0,5.0,34.0,60.0,6.0,,4.0,,,,,,1.0,,,both
9,FOREST PARK 2,,0,629,1815,0,155,798,CLAYTON,31.0,FP2,FOREST PARK 2,479.0,5.0,34.0,60.0,6.0,,4.0,,,,,3,1.0,,,both
10,FOREST PARK 2,,0,629,1815,0,155,798,CLAYTON,31.0,FP2,FOREST PARK 2,480.0,5.0,34.0,60.0,6.0,,4.0,,,,,1,1.0,,,both
11,FOREST PARK 3,,0,540,1628,0,149,699,CLAYTON,31.0,FP3,FOREST PARK 3,405.0,5.0,34.0,60.0,6.0,,4.0,,,,,3,2.0,,,both
