,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,Precinct,County,JEB BUSH,BEN CARSON,_merge
0,884305.0,0.27,1585.0,121UC034,121UC034,UC034,UC034,60.0,FULTON,121.0,black,49669.0000975,,,,,left_only
10,849089.0,0.02,1400.0,121CH04B,121CH04B,CH04B,CH04B,60.0,FULTON,121.0,white,41282.0,,,,,left_only
35,4647062.0,3.26,862.0,089HH,089HH,HH,NARVIE J HARRIS ELEM,44.0,DEKALB,89.0,black,59598.6970728,,,,,left_only
38,4638066.0,0.87,887.0,089MG,089MG,MG,MEDLOCK,44.0,DEKALB,89.0,white,69707.7390984,,,,,left_only
69,4008147.0,0.27,1586.0,121UC035,121UC035,UC035,UC035,60.0,FULTON,121.0,black,50266.6137287,,,,,left_only
70,4008245.0,0.85,1578.0,121UC01D,121UC01D,UC01D,UC01D,60.0,FULTON,121.0,black,48657.0,,,,,left_only
71,4008306.0,0.15,1520.0,121SC17B,121SC17B,SC17B,SC17B,60.0,FULTON,121.0,black,48657.0,,,,,left_only
126,4313752.0,1.3,649.0,067WL01,067WL01,WL01,WILLEO 01,33.0,COBB,67.0,white,136873.844336,,,,,left_only
143,4036644.0,0.76,1410.0,121CP06,121CP06,CP06,CP06,60.0,FULTON,121.0,white,57248.9999336,,,,,left_only
145,4036726.0,0.08,1413.0,121CP07D,121CP07D,CP07D,CP07D,60.0,FULTON,121.0,black,35016.0,,,,,left_only
147,4770800.0,1.38,1488.0,121RW18,121RW18,RW18,RW18,60.0,FULTON,121.0,white,152029.727253,,,,,left_only
152,4771060.0,1.09,897.0,089MQ,089MQ,MQ,MOUNT VERNON EAST,44.0,DEKALB,89.0,white,146753.47041,,,,,left_only
180,4764210.0,2.27,1485.0,121RW15,121RW15,RW15,RW15,60.0,FULTON,121.0,white,166033.558256,,,,,left_only
