,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
10,10.0,849089.0,0.02,1400.0,121CH04B,121CH04B,CH04B,CH04B,60.0,FULTON,121.0,white,41282.0,CH04B,,,,,,,,left_only
35,35.0,4647062.0,3.26,862.0,089HH,089HH,HH,NARVIE J HARRIS ELEM,44.0,DEKALB,89.0,black,59598.0,NARVIE J HARRIS ELEM,,,,,,,,left_only
38,38.0,4638066.0,0.87,887.0,089MG,089MG,MG,MEDLOCK,44.0,DEKALB,89.0,white,69707.0,MEDLOCK,,,,,,,,left_only
54,54.0,4030651.0,0.38,1416.0,121CP083,121CP083,CP083,CP083,60.0,FULTON,121.0,black,41166.0,CP083,,,,,,,,left_only
55,55.0,4030710.0,0.2,1418.0,121CP08A,121CP08A,CP08A,CP08A,60.0,FULTON,121.0,white,57248.0,CP08A,,,,,,,,left_only
70,70.0,4008245.0,0.85,1578.0,121UC01D,121UC01D,UC01D,UC01D,60.0,FULTON,121.0,black,48657.0,UC01D,,,,,,,,left_only
71,71.0,4008306.0,0.15,1520.0,121SC17B,121SC17B,SC17B,SC17B,60.0,FULTON,121.0,black,48657.0,SC17B,,,,,,,,left_only
126,126.0,4313752.0,1.3,649.0,067WL01,067WL01,WL01,WILLEO 01,33.0,COBB,67.0,white,136873.0,WILLEO 01,,,,,,,,left_only
145,145.0,4036726.0,0.08,1413.0,121CP07D,121CP07D,CP07D,CP07D,60.0,FULTON,121.0,black,35016.0,CP07D,,,,,,,,left_only
152,152.0,4771060.0,1.09,897.0,089MQ,089MQ,MQ,MOUNT VERNON EAST (D,44.0,DEKALB,89.0,white,146753.0,MOUNT VERNON EAST,,,,,,,,left_only
213,213.0,4302856.0,1.99,597.0,067MT04,067MT04,MT04,MT BETHEL 04,33.0,COBB,67.0,white,209538.0,MT BETHEL 04,,,,,,,,left_only
239,239.0,4756800.0,3.24,595.0,067MT01,067MT01,MT01,MT BETHEL 01,33.0,COBB,67.0,white,157721.0,MT BETHEL 01,,,,,,,,left_only
245,245.0,4757069.0,0.0,1573.0,121SS29B,121SS29B,SS29B,SS29B,60.0,FULTON,121.0,,103129.0,SS29B,,,,,,,,left_only
259,259.0,4587898.0,0.16,1246.0,12103P2,12103P2,03P2,03P2,60.0,FULTON,121.0,black,21209.0,03P2,,,,,,,,left_only
308,308.0,4310313.0,1.73,624.0,067SF01,067SF01,SF01,SHALLOWFORD FALLS 01,33.0,COBB,67.0,white,137689.0,SHALLOWFORD FALLS 01,,,,,,,,left_only
343,343.0,4749740.0,1.54,596.0,067MT03,067MT03,MT03,MT BETHEL 03,33.0,COBB,67.0,white,168311.0,MT BETHEL 03,,,,,,,,left_only
352,352.0,3992064.0,0.02,1505.0,121SC08C,121SC08C,SC08C,SC08C,60.0,FULTON,121.0,black,48657.0,SC08C,,,,,,,,left_only
387,387.0,3950938.0,1.6,643.0,067VA01,067VA01,VA01,VAUGHAN 01,33.0,COBB,67.0,white,133633.0,VAUGHAN 01,,,,,,,,left_only
400,400.0,4060753.0,4.58,551.0,067HL01,067HL01,HL01,HARMONY-LELAND 01,33.0,COBB,67.0,,80364.0,HARMONY-LELAND 01,,,,,,,,left_only
414,414.0,4019733.0,0.77,1579.0,121UC01E,121UC01E,UC01E,UC01E,60.0,FULTON,121.0,black,48657.0,UC01E,,,,,,,,left_only
443,443.0,4065666.0,0.58,1331.0,12110E,12110E,10E,10E,60.0,FULTON,121.0,black,33518.0,10E,,,,,,,,left_only
474,474.0,4295661.0,1.89,564.0,067LA01,067LA01,LA01,LASSITER 01,33.0,COBB,67.0,white,135333.0,LASSITER 01,,,,,,,,left_only
476,476.0,4295798.0,1.7,619.0,067RM01,067RM01,RM01,ROCKY MOUNT 01,33.0,COBB,67.0,white,107844.0,ROCKY MOUNT 01,,,,,,,,left_only
557,557.0,4683409.0,0.69,894.0,089MN,089MN,MN,MEMORIAL SOUTH,44.0,DEKALB,89.0,black,41417.0,MEMORIAL SOUTH,,,,,,,,left_only
558,558.0,4683453.0,1.39,893.0,089MM,089MM,MM,MEMORIAL NORTH,44.0,DEKALB,89.0,black,43097.0,MEMORIAL NORTH,,,,,,,,left_only
562,562.0,4683697.0,2.57,889.0,089MI,089MI,MI,MIDDLE GROVE MIDDLE,44.0,DEKALB,89.0,black,47983.0,MIDDLE GROVE MIDDLE,,,,,,,,left_only
564,564.0,4897053.0,5.86,939.0,089SD,089SD,SD,STONE MOUNTAIN ELEM,44.0,DEKALB,89.0,black,71286.0,STONE MOUNTAIN ELEM,,,,,,,,left_only
571,571.0,4678058.0,0.34,826.0,089CT,089CT,CT,COVINGTON HWY,44.0,DEKALB,89.0,black,27600.0,COVINGTON HWY,,,,,,,,left_only
628,628.0,4592246.0,0.07,1213.0,12101I,12101I,01I,01I,60.0,FULTON,121.0,black,34378.0,01I,,,,,,,,left_only
630,630.0,4592355.0,0.03,1269.0,12105C,12105C,05C,05C,60.0,FULTON,121.0,black,34376.0,05C,,,,,,,,left_only
656,656.0,4696648.0,1.08,881.0,089MA,089MA,MA,MILLER-ELDRIDGE L MI,44.0,DEKALB,89.0,black,61031.0,MILLER-ELDRIDGE L MI,,,,,,,,left_only
671,671.0,4627356.0,0.88,841.0,089EG,089EG,EG,EMORY SOUTH,44.0,DEKALB,89.0,white,119116.0,EMORY SOUTH,,,,,,,,left_only
