DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge
1352,66640.9990353,black,ROCKBRIDGE A,,,,,,,,left_only
13575,68494.6886219,black,ROCKBRIDGE C,,,,,,,,left_only
121CH04B,41282.0,white,CH04B,,,,,,,,left_only
135111,76509.2838063,,DULUTH H,,,,,,,,left_only
089HH,59598.6970728,black,NARVIE J HARRIS ELEM,,,,,,,,left_only
089MG,69707.7390984,white,MEDLOCK,,,,,,,,left_only
121CP083,41166.0,black,CP083,,,,,,,,left_only
121CP08A,57248.9999496,white,CP08A,,,,,,,,left_only
121UC01D,48657.0,black,UC01D,,,,,,,,left_only
121SC17B,48657.0,black,SC17B,,,,,,,,left_only
135147,90842.5664644,,BAYCREEK I,,,,,,,,left_only
13580,84393.7784348,,BAYCREEK C,,,,,,,,left_only
13590,57021.6103245,,LAWRENCEVILLE I,,,,,,,,left_only
13585,88378.1611122,white,LAWRENCEVILLE H,,,,,,,,left_only
135132,87845.014055,white,LAWRENCEVILLE K,,,,,,,,left_only
13560,62617.0986675,,LAWRENCEVILLE D,,,,,,,,left_only
13542,86150.1992045,white,LAWRENCEVILLE C,,,,,,,,left_only
1359,80975.999975,white,PUCKETTS A,,,,,,,,left_only
135135,90506.7657347,white,PUCKETTS C,,,,,,,,left_only
1353,88376.2428555,white,DACULA,,,,,,,,left_only
135152,92688.0017271,white,ROCKYCREEK C,,,,,,,,left_only
135137,80511.0777688,white,ROCKYCREEK B,,,,,,,,left_only
135154,80791.9673805,white,PUCKETTS D,,,,,,,,left_only
1358,110889.981861,white,DUNCANS A,,,,,,,,left_only
13513,111087.0,white,DUNCANS C,,,,,,,,left_only
135108,80886.0366707,,BAYCREEK E,,,,,,,,left_only
135145,76761.3788658,white,BAYCREEK G,,,,,,,,left_only
135146,82443.0556252,white,BAYCREEK H,,,,,,,,left_only
13591,94098.1579451,white,BAYCREEK D,,,,,,,,left_only
135133,82440.026504,white,HARBINS B,,,,,,,,left_only
13528,103858.05682,white,ROCKYCREEK A,,,,,,,,left_only
135129,111273.950701,white,DUNCANS B,,,,,,,,left_only
13539,111722.999983,white,DUNCANS D,,,,,,,,left_only
135104,74483.9951314,black,ROCKBRIDGE F,,,,,,,,left_only
13576,74483.9999396,black,ROCKBRIDGE D,,,,,,,,left_only
13552,86326.5441964,white,BERKSHIRE G,,,,,,,,left_only
1351,77447.9999908,white,HARBINS A,,,,,,,,left_only
135151,77448.0000003,white,HARBINS C,,,,,,,,left_only
067WL01,136873.844336,white,WILLEO 01,,,,,,,,left_only
121CP07D,35016.0,black,CP07D,,,,,,,,left_only
089DI,159717.823872,white,DUNWOODY LIBRARY (DUN),,,,,,,,left_only
089AD,157989.300633,white,AUSTIN (DUN),,,,,,,,left_only
089MQ,146753.47041,white,MOUNT VERNON EAST (DUN),,,,,,,,left_only
067VG01,88765.7888437,white,VININGS 01,,,,,,,,left_only
067CA01,67115.7864348,,CHATTAHOOCHEE 01,,,,,,,,left_only
067TM01,62734.6678864,,TERRELL MILL 01,,,,,,,,left_only
067SO02,109556.046759,white,SOPE CREEK 02,,,,,,,,left_only
067SO03,166386.08086,white,SOPE CREEK 03,,,,,,,,left_only
135121,112622.830828,white,PINCKNEYVILLE X,,,,,,,,left_only
13540,88833.7062525,,PINCKNEYVILLE H,,,,,,,,left_only
13599,63661.8072709,,PINCKNEYVILLE T,,,,,,,,left_only
067RW01,135308.349366,white,ROSWELL 01,,,,,,,,left_only
135155,120739.198901,white,SUWANEE G,,,,,,,,left_only
135140,145658.999772,white,SUWANEE H,,,,,,,,left_only
13517,59083.7728671,,MARTINS A,,,,,,,,left_only
13577,67035.1992435,,GOODWINS C,,,,,,,,left_only
13597,83664.9144076,,GOODWINS E,,,,,,,,left_only
067LM02,132393.217757,white,LOST MOUNTAIN 02,,,,,,,,left_only
067FR01,140268.115179,white,FORD 01,,,,,,,,left_only
067DU01,122343.99999,white,DURHAM 01,,,,,,,,left_only
067KP03,123383.605978,white,KEMP 03,,,,,,,,left_only
067FY01,121066.425676,white,FREY 01,,,,,,,,left_only
067LM04,130492.169301,white,LOST MOUNTAIN 04,,,,,,,,left_only
067MS01,105760.970971,white,MARS HILL 01,,,,,,,,left_only
067LW01,99747.7968572,white,LEWIS 01,,,,,,,,left_only
135131,145658.999952,white,SUWANEE E,,,,,,,,left_only
1354,100037.072778,white,SUWANEE A,,,,,,,,left_only
13598,86616.2120716,white,GOODWINS F,,,,,,,,left_only
135142,108954.871969,,SUWANEE F,,,,,,,,left_only
135100,108992.821252,,SUWANEE B,,,,,,,,left_only
13530,70953.6404458,,CATES C,,,,,,,,left_only
13570,102252.99995,white,GOODWINS B,,,,,,,,left_only
13526,82901.170437,,HOG MOUNTAIN A,,,,,,,,left_only
13531,89986.5605277,white,HOG MOUNTAIN D,,,,,,,,left_only
135136,80519.2148583,white,HOG MOUNTAIN C,,,,,,,,left_only
13567,80968.0378222,white,PUCKETTS E,,,,,,,,left_only
13571,80776.9390566,,LAWRENCEVILLE F,,,,,,,,left_only
135144,70796.5579162,,LAWRENCEVILLE M,,,,,,,,left_only
13527,86588.316059,white,HOG MOUNTAIN B,,,,,,,,left_only
067FP01,130850.90241,white,FULLERS PARK 01,,,,,,,,left_only
067SM01,125454.990659,white,SEWELL MILL 01,,,,,,,,left_only
067MD01,126857.326326,white,MURDOCK 01,,,,,,,,left_only
067MT04,209538.999635,white,MT BETHEL 04,,,,,,,,left_only
067EA01,122972.150886,white,EASTSIDE 01,,,,,,,,left_only
067DO01,135135.423006,white,DODGEN 01,,,,,,,,left_only
067CR01,126045.486549,white,CHESTNUT RIDGE 01,,,,,,,,left_only
067RW02,153556.991168,white,ROSWELL 02,,,,,,,,left_only
067WG02,84696.1926927,white,WADE GREEN 02,,,,,,,,left_only
067BG02,101215.728602,white,BIG SHANTY 02,,,,,,,,left_only
067PT01,111668.999885,white,PITNER 01,,,,,,,,left_only
067CK01,57427.9083144,white,CHALKER 01,,,,,,,,left_only
067PR01,87389.9386063,white,PALMER 01,,,,,,,,left_only
067BF03,77375.5927994,white,BELLS FERRY 03,,,,,,,,left_only
067MT01,157721.753009,white,MT BETHEL 01,,,,,,,,left_only
067TR01,157506.254459,white,TIMBER RIDGE 01,,,,,,,,left_only
121SS29B,103129.0,,SS29B,,,,,,,,left_only
12103P2,21209.0,black,03P2,,,,,,,,left_only
13555,64396.6603751,white,SUGAR HILL D,,,,,,,,left_only
135102,79498.6926708,white,PUCKETTS B,,,,,,,,left_only
13524,73604.6428598,,SUGAR HILL A,,,,,,,,left_only
