,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
914,,,,,,,,,,,,,,TOTALS:,129300.0,9897.0,51510.0,62287.0,0.0,0.0,CLAYTON,right_only
915,,,,,,,,,,,,,,TOTALS:,402020.0,118613.0,88349.0,213075.0,0.0,0.0,COBB,right_only
916,,,,,,,,,,,,,,TOTALS:,404094.0,44676.0,162274.0,210639.0,0.0,0.0,DEKALB,right_only
917,,,,,,,,,,,,,,TOTALS:,561266.0,90427.0,173523.0,267542.0,0.0,0.0,FULTON,right_only
918,,,,,,,,,,,,,,TOTALS:,396271.0,107746.0,85137.0,198205.0,0.0,0.0,GWINNETT,right_only
919,,,,,,,,,,,,,,HARMONY LELAND 01,4198.0,460.0,1631.0,2134.0,0.0,0.0,COBB,right_only
920,,,,,,,,,,,,,,LASSSITER 01,3046.0,1249.0,439.0,1740.0,0.0,0.0,COBB,right_only
921,,,,,,,,,,,,,,MOUNT BETHEL 01,3626.0,1638.0,593.0,2297.0,0.0,0.0,COBB,right_only
922,,,,,,,,,,,,,,MOUNT BETHEL 03,2507.0,1004.0,440.0,1489.0,0.0,0.0,COBB,right_only
923,,,,,,,,,,,,,,MOUNT BETHEL 04,2647.0,1164.0,497.0,1703.0,0.0,0.0,COBB,right_only
924,,,,,,,,,,,,,,ROCKY MOUNTAIN 01,2805.0,1096.0,483.0,1627.0,0.0,0.0,COBB,right_only
925,,,,,,,,,,,,,,SHALLOWFORD FALL 01,2817.0,1229.0,546.0,1828.0,0.0,0.0,COBB,right_only
926,,,,,,,,,,,,,,VAUGHN 01,2690.0,1137.0,357.0,1534.0,0.0,0.0,COBB,right_only
927,,,,,,,,,,,,,,WILEO 01,2539.0,1065.0,434.0,1535.0,0.0,0.0,COBB,right_only
928,,,,,,,,,,,,,,ASHFORD PARK ELEM,2042.0,734.0,445.0,1224.0,0.0,0.0,DEKALB,right_only
929,,,,,,,,,,,,,,ASHFORD PARKSIDE,2526.0,743.0,544.0,1318.0,0.0,0.0,DEKALB,right_only
