Precinct,County,DAVID A. PERDUE (R),M. MICHELLE NUNN (D)
ELLENWOOD,Clayton,154,2321
FOREST PARK 1,Clayton,173,621
FOREST PARK 2,Clayton,147,642
FOREST PARK 3,Clayton,155,535
FOREST PARK 4,Clayton,215,387
FOREST PARK 5,Clayton,209,728
FOREST PARK 6,Clayton,150,329
JONESBORO 1,Clayton,143,1464
JONESBORO 2,Clayton,68,1432
JONESBORO 3,Clayton,289,1236
JONESBORO 4,Clayton,103,533
JONESBORO 5,Clayton,215,549
JONESBORO 6,Clayton,689,568
JONESBORO 7,Clayton,303,953
JONESBORO 8,Clayton,55,932
JONESBORO 9,Clayton,96,331
JONESBORO 10,Clayton,102,819
JONESBORO 11,Clayton,419,1181
JONESBORO 12,Clayton,69,883
JONESBORO 13,Clayton,152,654
JONESBORO 14,Clayton,672,1312
JONESBORO 15,Clayton,111,633
JONESBORO 16,Clayton,74,584
JONESBORO 17,Clayton,111,1491
JONESBORO 18,Clayton,170,912
LAKE CITY,Clayton,119,681
LOVEJOY 1,Clayton,264,1258
LOVEJOY 2,Clayton,131,969
LOVEJOY 3,Clayton,400,1591
LOVEJOY 4,Clayton,143,1406
LOVEJOY 5,Clayton,91,992
MORROW 1,Clayton,93,916
MORROW 2,Clayton,271,423
MORROW 3,Clayton,221,1250
MORROW 4,Clayton,156,497
MORROW 5,Clayton,303,1731
MORROW 6,Clayton,178,822
MORROW 7,Clayton,133,496
MORROW 8,Clayton,80,1104
MORROW 9,Clayton,80,439
OAK 1,Clayton,19,624
OAK 2,Clayton,23,395
OAK 3,Clayton,38,1007
OAK 4,Clayton,38,1060
PANHANDLE 1,Clayton,164,1165
PANHANDLE 2,Clayton,357,805
RIVERDALE 1,Clayton,85,956
RIVERDALE 2,Clayton,58,1046
RIVERDALE 3,Clayton,57,1184
RIVERDALE 4,Clayton,122,1213
RIVERDALE 5,Clayton,85,962
RIVERDALE 6,Clayton,139,733
RIVERDALE 7,Clayton,87,544
RIVERDALE 8,Clayton,126,1163
RIVERDALE 9,Clayton,89,867
RIVERDALE 10,Clayton,17,679
RIVERDALE 11,Clayton,66,759
RIVERDALE 12,Clayton,75,1109
ACWORTH 1A,Cobb,1104,805
ACWORTH 1B,Cobb,1050,609
ACWORTH 1C,Cobb,666,819
ADDISON 01,Cobb,712,402
AUSTELL 1A,Cobb,346,1247
BELLS FERRY 02,Cobb,794,487
BELLS FERRY 03,Cobb,1528,738
BIG SHANTY 01,Cobb,649,288
BIG SHANTY 02,Cobb,871,431
BAKER 01,Cobb,819,685
BIRNEY 01,Cobb,455,496
BIRNEY 02,Cobb,713,863
BRYANT 01,Cobb,51,865
BRYANT 02,Cobb,77,1432
BLACKWELL 01,Cobb,671,409
CHATTAHOOCHEE 01,Cobb,435,997
CHEATHAM HILL 02,Cobb,1013,407
CHEATHAM HILL 03,Cobb,1232,699
CHALKER 01,Cobb,754,595
CLARKDALE 01,Cobb,284,361
CLARKDALE 02,Cobb,646,1313
COOPER 01,Cobb,444,1250
CHESTNUT RIDGE 01,Cobb,1282,475
DICKERSON 01,Cobb,1048,503
DOBBINS 01,Cobb,197,670
DOWELL 01,Cobb,905,628
DODGEN 01,Cobb,804,328
DURHAM 01,Cobb,1559,402
DAVIS 01,Cobb,630,300
EASTSIDE 01,Cobb,1123,505
EASTSIDE 02,Cobb,1561,728
ELIZABETH 01,Cobb,451,539
ELIZABETH 02,Cobb,689,356
ELIZABETH 03,Cobb,974,460
ELIZABETH 04,Cobb,512,497
ELIZABETH 05,Cobb,847,549
EAST PIEDMONT 01,Cobb,489,414
FAIR OAKS 01,Cobb,435,946
FAIR OAKS 02,Cobb,453,814
FAIR OAKS 04,Cobb,325,347
FAIR OAKS 05,Cobb,196,229
FULLERS PARK 01,Cobb,1171,604
FORD 01,Cobb,1114,301
FREY 01,Cobb,793,295
GARRISON MILL 01,Cobb,968,417
GRITTERS 01,Cobb,1121,601
HARMONY LELAND 01,Cobb,442,1669
HARRISON 01,Cobb,1054,292
HIGHTOWER 01,Cobb,1485,701
HAYES 01,Cobb,1377,471
KENNESAW 1A,Cobb,472,300
KENNESAW 2A,Cobb,848,541
KENNESAW 3A,Cobb,701,909
KENNESAW 4A,Cobb,747,566
KENNESAW 5A,Cobb,1301,963
KELL 01,Cobb,639,284
KEMP 01,Cobb,799,247
KEMP 02,Cobb,1179,650
KEMP 03,Cobb,1532,402
LASSSITER 01,Cobb,1268,435
LINDLEY 01,Cobb,636,1295
LOST MOUNTAIN 01,Cobb,1180,464
LOST MOUNTAIN 02,Cobb,1623,382
LOST MOUNTAIN 03,Cobb,1662,647
LOST MOUNTAIN 04,Cobb,936,309
LEWIS 01,Cobb,490,228
MABLETON 01,Cobb,752,1212
MABLETON 02,Cobb,344,575
MABLETON 03,Cobb,652,577
MABLETON 04,Cobb,493,293
MABRY 01,Cobb,716,245
MACLAND 01,Cobb,504,975
