,DISTRICT,income,race,Precinct Description,Precinct,County,MITT ROMNEY (R),BARACK OBAMA (I)(D),_merge
0,121UC034,49669.0000975,black,UC034,,,,,left_only
10,121CH04B,41282.0,white,CH04B,,,,,left_only
35,089HH,59598.6970728,black,NARVIE J HARRIS ELEM,,,,,left_only
38,089MG,69707.7390984,white,MEDLOCK,,,,,left_only
39,089CJ,79524.7953418,white,CLAIRMONT ROAD,,,,,left_only
55,121CP08A,57248.9999496,white,CP08A,,,,,left_only
69,121UC035,50266.6137287,black,UC035,,,,,left_only
70,121UC01D,48657.0,black,UC01D,,,,,left_only
71,121SC17B,48657.0,black,SC17B,,,,,left_only
127,121RW07B,45170.9301991,hispanic,RW07B,,,,,left_only
145,121CP07D,35016.0,black,CP07D,,,,,left_only
149,121RW12,113046.672824,white,RW12,,,,,left_only
150,089DI,159717.823872,white,DUNWOODY LIBRARY (DUN),,,,,left_only
151,089AD,157989.300633,white,AUSTIN (DUN),,,,,left_only
152,089MQ,146753.47041,white,MOUNT VERNON EAST (DUN),,,,,left_only
168,121SS09A,66325.2756171,white,SS09A,,,,,left_only
225,12104J,25242.292842,black,04J,,,,,left_only
229,12109G1,67895.0182723,white,09G1,,,,,left_only
231,12109H,67895.0,white,09H,,,,,left_only
238,12106I,69900.5230237,,06I,,,,,left_only
260,12104F,49896.5106383,white,04F,,,,,left_only
261,12103P1A,53680.0186107,white,03P1A,,,,,left_only
262,12103I,66113.854176,,03I,,,,,left_only
265,121ML023,177681.167199,white,ML023,,,,,left_only
266,121ML022,190427.0,white,ML022,,,,,left_only
268,121ML04A,163189.779537,white,ML04A,,,,,left_only
270,121ML024,190426.999955,white,ML024,,,,,left_only
271,121ML04B,177112.076944,white,ML04B,,,,,left_only
272,121ML021,187591.470592,white,ML021,,,,,left_only
275,121ML05B,190427.0,white,ML05B,,,,,left_only
281,12112K,29682.5130538,black,12K,,,,,left_only
282,12112N,28004.0125754,black,12N,,,,,left_only
287,12110K,40334.9878689,black,10K,,,,,left_only
309,121ML05A,169334.0,white,ML05A,,,,,left_only
310,121ML06A,89105.4961093,white,ML06A,,,,,left_only
311,121AP12B,163711.151849,white,AP12B,,,,,left_only
312,121ML05C,131507.554028,white,ML05C,,,,,left_only
313,121ML04C,184433.58675,white,ML04C,,,,,left_only
314,121ML071,190427.0,white,ML071,,,,,left_only
315,121ML06B,87754.0786291,white,ML06B,,,,,left_only
316,121SS09B,107793.915474,white,SS09B,,,,,left_only
335,121ML072,190427.0,white,ML072,,,,,left_only
337,089CE,73394.4072516,,CHAMBLEE (CHA),,,,,left_only
338,089HF,65928.9603339,,HUNTLEY HILLS ELEM (CHA),,,,,left_only
339,089PB,59632.0001897,,PEACHTREE MIDDLE (DUN),,,,,left_only
340,089DG,145869.000002,white,DUNWOODY HIGH (DUN),,,,,left_only
341,089CH,72004.6906385,white,CHESNUT ELEM (DUN),,,,,left_only
342,089TG,102101.255157,white,TILLY MILL ROAD (DUN),,,,,left_only
349,121SC05D,87960.7627183,black,SC05D,,,,,left_only
365,12104C,35651.9998104,black,04C,,,,,left_only
369,12109I,40775.9999983,black,09I,,,,,left_only
406,121EP01,42070.8213304,black,EP01,,,,,left_only
414,121UC01E,48657.1903879,black,UC01E,,,,,left_only
437,12110B,72579.0,black,10B,,,,,left_only
438,12110I,71919.2251782,black,10I,,,,,left_only
440,121EP02,43866.7971891,black,EP02,,,,,left_only
451,12112I,28534.9013759,black,12I,,,,,left_only
540,089KE,58064.2778009,black,KNOLLWOOD,,,,,left_only
541,089WA,39815.870019,black,WADSWORTH,,,,,left_only
547,089BF,58317.6675457,,BROCKETT ELEM (TUC),,,,,left_only
560,089SS,60566.2389816,black,SNAPFINGER ROAD S,,,,,left_only
562,089MI,47983.0366455,black,MILLER GROVE,,,,,left_only
571,089CT,27600.0000297,black,COVINGTON HWY,,,,,left_only
576,089CK,37306.7694379,black,CLARKSTON (CLA),,,,,left_only
601,121SS08D,108525.020545,white,SS08D,,,,,left_only
606,12106Q,74875.0001423,white,06Q,,,,,left_only
614,089LD,48247.0,black,LITHONIA (LIT),,,,,left_only
621,12103F,86784.2560239,white,03F,,,,,left_only
624,12106N,109896.950179,white,06N,,,,,left_only
627,12105J,42941.585985,black,05J,,,,,left_only
628,12101I,34378.0001593,black,01I,,,,,left_only
631,12105K,30532.5617551,black,05K,,,,,left_only
632,12105D,52260.4903887,,05D,,,,,left_only
633,12105F,29512.0,white,05F,,,,,left_only
