,income,precinct_n,race
0,49669.0000975,UC034,black
1,48828.1436927,RIVERDALE 2,black
2,52807.9999916,JONESBORO 12,black
3,56430.6573469,RIVERDALE 12,black
4,49669.0,SC212,black
5,49669.0,FA01B,black
6,60801.4212202,FA01A,black
7,66640.9990353,ROCKBRIDGE A,black
8,68494.6886219,ROCKBRIDGE C,black
9,45172.5612156,PA01,white
10,41282.0,CH04B,white
11,43596.1683036,JONESBORO 17,black
12,49034.3307719,JONESBORO 2,black
13,50495.8311885,RIVERDALE 9,black
14,40743.0448871,JONESBORO 16,black
15,50020.9999236,RIVERDALE 5,black
16,56598.5908975,JONESBORO 3,black
17,44499.2552632,JONESBORO 10,black
18,35822.5347114,JONESBORO 9,black
19,64793.0,FLAT ROCK ELEM,black
20,64793.0000217,CANDLER-MURPHEY CAND,black
21,126335.99752,JC08,white
22,98246.0388369,JC05,
23,113558.0,JC04B,white
24,98246.0004352,JC03A,
25,163061.374152,JC04A,white
26,98246.0002512,JC03B,
27,126336.000022,JC06,white
28,76509.2838063,DULUTH H,
29,119965.050347,JC02,
30,65591.1473802,FLAT SHOALS PARKWAY,black
31,72421.3486141,CHAPEL HILL ELEM,black
32,75793.7897241,KING-ML KING JR HIGH,black
33,69589.6873835,BROWNS MILL ELEM,black
34,51142.8983879,OAK VIEW ELEM,black
35,59598.6970728,NARVIE J HARRIS ELEM,black
36,74727.9999779,FLAKES MILL FIRE STA,black
37,70105.1177822,SCOTT,white
38,69707.7390984,MEDLOCK,white
39,79524.7953418,CLAIRMONT ROAD,white
40,44427.2567272,JONESBORO 8,black
41,54253.9085824,MORROW 8,black
42,64404.8017229,MORROW 5,black
43,39854.7245755,RIVERDALE 7,black
44,35993.1132663,FOREST PARK 3,
45,36949.3305338,RIVERDALE 6,black
46,35178.5895145,JONESBORO 15,black
47,37037.8752304,FOREST PARK 5,
48,46613.8230662,FOREST PARK 6,
49,49299.9556957,RIVERDALE 4,black
50,41628.0000181,11J,black
51,56054.9410052,SC23A,black
52,65591.2016586,RIVERDALE 11,black
53,43809.1670036,SC27,black
54,41166.0,CP083,black
55,57248.9999496,CP08A,white
56,62179.274513,RIVERDALE 8,black
57,43010.1486789,SC08B,black
58,49669.0001547,SC29A,black
59,54597.9959849,SC23B,black
60,46959.0854889,SC09B,black
61,56759.9999777,SC11B,black
62,56759.9999747,SC11A,black
63,39694.0,SC08D,black
64,39848.998953,UC01B,black
65,44086.6969134,SC09A,black
66,49338.6179548,UC01A,black
67,51926.3173636,UC031,black
68,49346.9978534,SC08E,black
69,50266.6137287,UC035,black
70,48657.0,UC01D,black
71,48657.0,SC17B,black
72,64043.8404756,SC07A,black
73,41282.0,CH03,white
74,41282.0000023,CH02,white
75,41282.0,CH01,white
76,51949.8440986,SC04,white
77,41282.0,CH05,white
78,41282.0,CH04A,white
79,52205.8454371,JONESBORO 18,black
80,71803.0289449,JONESBORO 11,black
81,61414.1036329,JONESBORO 7,black
82,98786.0904393,JONESBORO 6,white
83,49669.0000862,UC032,black
