,DISTRICT,income,race,Precinct Description,Precinct,prec,County,MITT ROMNEY (R),BARACK OBAMA (I)(D)
0,063RD02,48828.1436927,black,RIVERDALE 2,RIVERDALE 2,RIVERDALE 2,Clayton,64,1691
1,063JB12,52807.9999916,black,JONESBORO 12,JONESBORO 12,JONESBORO 12,Clayton,116,1359
2,063RD12,56430.6573469,black,RIVERDALE 12,RIVERDALE 12,RIVERDALE 12,Clayton,108,1686
3,121SC212,49669.0,black,SC212,SC212,SC212,Fulton,94,1407
4,121FA01B,49669.0,black,FA01B,FA01B,FA01B,Fulton,20,337
5,121FA01A,60801.4212202,black,FA01A,FA01A,FA01A,Fulton,583,3852
6,1352,66640.9990353,black,ROCKBRIDGE A,ROCKBRIDGE A,ROCKBRIDGE A,Gwinnett,652,1330
7,13575,68494.6886219,black,ROCKBRIDGE C,ROCKBRIDGE C,ROCKBRIDGE C,Gwinnett,700,2019
8,121PA01,45172.5612156,white,PA01,PA01,PA01,Fulton,366,1067
9,063JB17,43596.1683036,black,JONESBORO 17,JONESBORO 17,JONESBORO 17,Clayton,176,2259
10,063JB02,49034.3307719,black,JONESBORO 2,JONESBORO 2,JONESBORO 2,Clayton,92,2179
11,063RD09,50495.8311885,black,RIVERDALE 9,RIVERDALE 9,RIVERDALE 9,Clayton,152,1362
12,063JB16,40743.0448871,black,JONESBORO 16,JONESBORO 16,JONESBORO 16,Clayton,144,978
13,063RD05,50020.9999236,black,RIVERDALE 5,RIVERDALE 5,RIVERDALE 5,Clayton,95,1557
14,063JB03,56598.5908975,black,JONESBORO 3,JONESBORO 3,JONESBORO 3,Clayton,394,1738
15,063JB10,44499.2552632,black,JONESBORO 10,JONESBORO 10,JONESBORO 10,Clayton,177,1381
16,063JB09,35822.5347114,black,JONESBORO 9,JONESBORO 9,JONESBORO 9,Clayton,144,489
17,089FG,64793.0,black,FLAT ROCK ELEM,FLAT ROCK ELEM,FLAT ROCK ELEM,DeKalb,54,1853
18,089CF,64793.0000217,black,CANDLER-MURPHEY CANDLER ELEM,CANDLER-MURPHEY CANDLER ELEM,CANDLER-MURPHEY CANDLER ELEM,DeKalb,137,1630
19,121JC08,126335.99752,white,JC08,JC08,JC08,Fulton,1078,648
20,121JC05,98246.0388369,,JC05,JC05,JC05,Fulton,784,535
21,121JC04B,113558.0,white,JC04B,JC04B,JC04B,Fulton,85,65
22,121JC03A,98246.0004352,,JC03A,JC03A,JC03A,Fulton,191,103
23,121JC04A,163061.374152,white,JC04A,JC04A,JC04A,Fulton,1727,926
24,121JC03B,98246.0002512,,JC03B,JC03B,JC03B,Fulton,446,399
25,121JC06,126336.000022,white,JC06,JC06,JC06,Fulton,1129,442
26,135111,76509.2838063,,DULUTH H,DULUTH H,DULUTH H,Gwinnett,896,555
27,121JC02,119965.050347,,JC02,JC02,JC02,Fulton,448,310
28,089FE,65591.1473802,black,FLAT SHOALS PARKWAY,FLAT SHOALS PARKWAY,FLAT SHOALS PARKWAY,DeKalb,51,2210
29,089CG,72421.3486141,black,CHAPEL HILL ELEM,CHAPEL HILL ELEM,CHAPEL HILL ELEM,DeKalb,41,2104
30,089KD,75793.7897241,black,KING-ML KING JR HIGH,KING-ML KING JR HIGH,KING-ML KING JR HIGH,DeKalb,41,2702
31,089BJ,69589.6873835,black,BROWNS MILL ELEM,BROWNS MILL ELEM,BROWNS MILL ELEM,DeKalb,82,2437
32,089OV,51142.8983879,black,OAK VIEW ELEM,OAK VIEW ELEM,OAK VIEW ELEM,DeKalb,41,2796
33,089FK,74727.9999779,black,FLAKES MILL FIRE STATION,FLAKES MILL FIRE STATION,FLAKES MILL FIRE STATION,DeKalb,34,1176
34,089SB,70105.1177822,white,SCOTT,SCOTT,SCOTT,DeKalb,442,1084
35,063JB08,44427.2567272,black,JONESBORO 8,JONESBORO 8,JONESBORO 8,Clayton,138,1634
36,063MO8,54253.9085824,black,MORROW 8,MORROW 8,MORROW 8,Clayton,112,1561
37,063MO5,64404.8017229,black,MORROW 5,MORROW 5,MORROW 5,Clayton,442,2427
38,063RD07,39854.7245755,black,RIVERDALE 7,RIVERDALE 7,RIVERDALE 7,Clayton,143,962
39,063FP3,35993.1132663,,FOREST PARK 3,FOREST PARK 3,FOREST PARK 3,Clayton,250,850
40,063RD06,36949.3305338,black,RIVERDALE 6,RIVERDALE 6,RIVERDALE 6,Clayton,242,1338
41,063JB15,35178.5895145,black,JONESBORO 15,JONESBORO 15,JONESBORO 15,Clayton,148,1125
42,063FP5,37037.8752304,,FOREST PARK 5,FOREST PARK 5,FOREST PARK 5,Clayton,316,1286
43,063FP6,46613.8230662,,FOREST PARK 6,FOREST PARK 6,FOREST PARK 6,Clayton,220,497
44,063RD04,49299.9556957,black,RIVERDALE 4,RIVERDALE 4,RIVERDALE 4,Clayton,224,2047
45,12111J,41628.0000181,black,11J,11J,11J,Fulton,14,1078
46,121SC23A,56054.9410052,black,SC23A,SC23A,SC23A,Fulton,76,2980
47,063RD11,65591.2016586,black,RIVERDALE 11,RIVERDALE 11,RIVERDALE 11,Clayton,70,1119
48,121SC27,43809.1670036,black,SC27,SC27,SC27,Fulton,32,1391
49,121CP083,41166.0,black,CP083,CP083,CP083,Fulton,0,327
50,063RD08,62179.274513,black,RIVERDALE 8,RIVERDALE 8,RIVERDALE 8,Clayton,173,1553
51,121SC08B,43010.1486789,black,SC08B,SC08B,SC08B,Fulton,73,2023
52,121SC29A,49669.0001547,black,SC29A,SC29A,SC29A,Fulton,24,1739
53,121SC23B,54597.9959849,black,SC23B,SC23B,SC23B,Fulton,14,300
54,121SC09B,46959.0854889,black,SC09B,SC09B,SC09B,Fulton,19,1029
55,121SC11B,56759.9999777,black,SC11B,SC11B,SC11B,Fulton,11,941
56,121SC11A,56759.9999747,black,SC11A,SC11A,SC11A,Fulton,18,1009
57,121SC08D,39694.0,black,SC08D,SC08D,SC08D,Fulton,5,301
58,121UC01B,39848.998953,black,UC01B,UC01B,UC01B,Fulton,4,149
59,121SC09A,44086.6969134,black,SC09A,SC09A,SC09A,Fulton,57,1868
60,121UC01A,49338.6179548,black,UC01A,UC01A,UC01A,Fulton,58,1995
61,121UC031,51926.3173636,black,UC031,UC031,UC031,Fulton,116,740
62,121SC08E,49346.9978534,black,SC08E,SC08E,SC08E,Fulton,1,187
63,121SC07A,64043.8404756,black,SC07A,SC07A,SC07A,Fulton,359,2566
64,121CH03,41282.0,white,CH03,CH03,CH03,Fulton,173,60
65,121CH02,41282.0000023,white,CH02,CH02,CH02,Fulton,94,120
66,121CH01,41282.0,white,CH01,CH01,CH01,Fulton,39,95
67,121SC04,51949.8440986,white,SC04,SC04,SC04,Fulton,316,330
68,121CH05,41282.0,white,CH05,CH05,CH05,Fulton,235,43
69,121CH04A,41282.0,white,CH04A,CH04A,CH04A,Fulton,195,100
70,063JB18,52205.8454371,black,JONESBORO 18,JONESBORO 18,JONESBORO 18,Clayton,244,1401
71,063JB11,71803.0289449,black,JONESBORO 11,JONESBORO 11,JONESBORO 11,Clayton,614,1670
72,063JB07,61414.1036329,black,JONESBORO 7,JONESBORO 7,JONESBORO 7,Clayton,402,1465
73,063JB06,98786.0904393,white,JONESBORO 6,JONESBORO 6,JONESBORO 6,Clayton,973,696
74,121UC032,49669.0000862,black,UC032,UC032,UC032,Fulton,205,222
75,121SC211,54300.2067363,black,SC211,SC211,SC211,Fulton,20,546
76,063JB01,39933.0779979,black,JONESBORO 1,JONESBORO 1,JONESBORO 1,Clayton,217,2371
77,063PH1,71320.0,black,PANHANDLE 1,PANHANDLE 1,PANHANDLE 1,Clayton,246,1569
78,063JB13,61686.8245944,black,JONESBORO 13,JONESBORO 13,JONESBORO 13,Clayton,195,840
79,063LJ4,62823.9968421,black,LOVEJOY 4,LOVEJOY 4,LOVEJOY 4,Clayton,237,2100
