Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county
ELLENWOOD,4862,239,3313,3558,0.0671725688589,0.9311410905,CLAYTON
FOREST PARK 1,2754,304,1000,1311,0.231884057971,0.762776506484,CLAYTON
FOREST PARK 2,2202,234,1000,1246,0.187800963082,0.802568218299,CLAYTON
FOREST PARK 3,2048,250,850,1101,0.227066303361,0.772025431426,CLAYTON
FOREST PARK 4,1588,328,621,962,0.340956340956,0.64553014553,CLAYTON
FOREST PARK 5,3173,316,1286,1615,0.195665634675,0.796284829721,CLAYTON
FOREST PARK 6,1230,220,497,721,0.305131761442,0.68932038835,CLAYTON
JONESBORO 1,4045,217,2371,2598,0.0835257890685,0.912625096228,CLAYTON
JONESBORO 2,3722,92,2179,2277,0.040404040404,0.956960913483,CLAYTON
JONESBORO 3,3323,394,1738,2148,0.183426443203,0.809124767225,CLAYTON
JONESBORO 4,2041,187,882,1076,0.173791821561,0.81970260223,CLAYTON
JONESBORO 5,1763,329,839,1177,0.279524214104,0.712829226848,CLAYTON
JONESBORO 6,2224,973,696,1691,0.575399172088,0.41159077469,CLAYTON
JONESBORO 7,2771,402,1465,1876,0.214285714286,0.78091684435,CLAYTON
JONESBORO 8,3312,138,1634,1780,0.0775280898876,0.91797752809,CLAYTON
JONESBORO 9,1290,144,489,637,0.226059654631,0.767660910518,CLAYTON
JONESBORO 10,2795,177,1381,1567,0.112954690491,0.88130185067,CLAYTON
JONESBORO 11,3305,614,1670,2303,0.266608771168,0.725141120278,CLAYTON
JONESBORO 12,2429,116,1359,1476,0.0785907859079,0.920731707317,CLAYTON
JONESBORO 13,1426,195,840,1038,0.187861271676,0.809248554913,CLAYTON
JONESBORO 14,3739,987,1786,2787,0.354144241119,0.640832436311,CLAYTON
JONESBORO 15,2562,148,1125,1279,0.115715402658,0.879593432369,CLAYTON
JONESBORO 16,1884,144,978,1132,0.127208480565,0.863957597173,CLAYTON
JONESBORO 17,3969,176,2259,2439,0.0721607216072,0.926199261993,CLAYTON
JONESBORO 18,2644,244,1401,1656,0.147342995169,0.846014492754,CLAYTON
LAKE CITY,2554,181,1175,1367,0.132406730066,0.859546452085,CLAYTON
LOVEJOY 1,3141,360,1722,2095,0.171837708831,0.821957040573,CLAYTON
LOVEJOY 2,2696,198,1482,1687,0.117368109069,0.878482513337,CLAYTON
LOVEJOY 3,5009,640,2535,3186,0.200878844947,0.795668549906,CLAYTON
LOVEJOY 4,3473,237,2100,2343,0.101152368758,0.89628681178,CLAYTON
LOVEJOY 5,2633,151,1449,1602,0.0942571785268,0.904494382022,CLAYTON
MORROW 1,2561,153,1364,1524,0.100393700787,0.89501312336,CLAYTON
MORROW 2,1781,443,631,1080,0.410185185185,0.584259259259,CLAYTON
MORROW 3,3900,365,1948,2327,0.156854318865,0.837129351096,CLAYTON
MORROW 4,1759,242,790,1038,0.233140655106,0.761078998073,CLAYTON
MORROW 5,4066,442,2427,2884,0.153259361997,0.841539528433,CLAYTON
MORROW 6,2408,270,1287,1562,0.1728553137,0.823943661972,CLAYTON
